image,seed,bit_accuracy
000000272364.png,0,0.968750
000000272364.png,1,1.000000
000000272364.png,2,1.000000
000000272364.png,3,0.937500
000000272364.png,4,0.968750
000000272364.png,5,0.968750
000000272364.png,6,1.000000
000000272364.png,7,1.000000
000000272364.png,8,1.000000
000000272364.png,9,0.843750
000000352900.png,0,0.968750
000000352900.png,1,1.000000
000000352900.png,2,1.000000
000000352900.png,3,1.000000
000000352900.png,4,0.968750
000000352900.png,5,0.968750
000000352900.png,6,1.000000
000000352900.png,7,1.000000
000000352900.png,8,1.000000
000000352900.png,9,0.875000
000000464089.png,0,0.968750
000000464089.png,1,1.000000
000000464089.png,2,1.000000
000000464089.png,3,1.000000
000000464089.png,4,0.968750
000000464089.png,5,0.968750
000000464089.png,6,1.000000
000000464089.png,7,1.000000
000000464089.png,8,0.968750
000000464089.png,9,0.843750
000000466256.png,0,0.968750
000000466256.png,1,1.000000
000000466256.png,2,1.000000
000000466256.png,3,1.000000
000000466256.png,4,0.968750
000000466256.png,5,0.968750
000000466256.png,6,1.000000
000000466256.png,7,1.000000
000000466256.png,8,1.000000
000000466256.png,9,0.875000
000000466567.png,0,0.968750
000000466567.png,1,1.000000
000000466567.png,2,1.000000
000000466567.png,3,0.968750
000000466567.png,4,0.937500
000000466567.png,5,0.968750
000000466567.png,6,1.000000
000000466567.png,7,1.000000
000000466567.png,8,1.000000
000000466567.png,9,0.843750
000000507575.png,0,1.000000
000000507575.png,1,0.968750
000000507575.png,2,1.000000
000000507575.png,3,1.000000
000000507575.png,4,0.968750
000000507575.png,5,0.968750
000000507575.png,6,1.000000
000000507575.png,7,1.000000
000000507575.png,8,1.000000
000000507575.png,9,0.843750
