mode,image,message,predicted,bit_accuracy,psnr,mask_ratio,num_detected_messages
single,000000005529.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.8091,0.5,
single,000000021167.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.9316,0.5,
single,000000022705.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.4504,0.5,
single,000000025228.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.6822,0.5,
single,000000027620.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.5190,0.5,
single,000000039405.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,12.4858,0.5,
single,000000075612.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.4867,0.5,
single,000000083531.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.3235,0.5,
single,000000088848.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.4385,0.5,
single,000000089648.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.6704,0.5,
single,000000092177.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.8774,0.5,
single,000000098392.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.9479,0.5,
single,000000098520.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.5190,0.5,
single,000000107554.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.7505,0.5,
single,000000121673.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.3391,0.5,
single,000000134322.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,12.5308,0.5,
single,000000150649.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.0572,0.5,
single,000000154000.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.8825,0.5,
single,000000186632.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.7126,0.5,
single,000000201775.png,11001100011110100101101111001011,11001100011110100101101111001011,1.000000,11.0746,0.5,
single,000000205647.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.2772,0.5,
single,000000207306.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.8572,0.5,
single,000000210299.png,11001100011110100101101111001011,11001100011110100101101111001011,1.000000,11.5152,0.5,
single,000000219440.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,12.1514,0.5,
single,000000230166.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.3199,0.5,
single,000000249180.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.3091,0.5,
single,000000260657.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.7486,0.5,
single,000000262938.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.5770,0.5,
single,000000263299.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.5399,0.5,
single,000000319617.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.2636,0.5,
single,000000322895.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.8521,0.5,
single,000000326128.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.7141,0.5,
single,000000341681.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,10.7112,0.5,
single,000000358427.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.7720,0.5,
single,000000360137.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,12.2402,0.5,
single,000000397681.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.7634,0.5,
single,000000400573.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.2293,0.5,
single,000000401250.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,10.7781,0.5,
single,000000426372.png,11001100011110100101101111001011,11001100011110100101101111001011,1.000000,12.2456,0.5,
single,000000437351.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.9050,0.5,
single,000000477805.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,12.9543,0.5,
single,000000508730.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.4659,0.5,
single,000000517056.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.8147,0.5,
single,000000517687.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,12.0281,0.5,
single,000000523957.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.8389,0.5,
single,000000533145.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,12.2075,0.5,
single,000000562243.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,12.2525,0.5,
single,000000563470.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.2801,0.5,
single,000000573258.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,12.0693,0.5,
single,000000575243.png,11001100011110100101101111001011,11001100011110100101001111001011,0.968750,11.9473,0.5,
multi,000000005529.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001011010|10110101100111000110001100111001,1.000000,16.0369,0.1,2
multi,000000021167.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001001010|10110101100111000110001100111001,1.000000,15.5297,0.1,2
multi,000000022705.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001001010|10110101100111000110001100111001,1.000000,15.0714,0.1,2
multi,000000025228.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001001010|10110101100111000110001100111001|11100100100111000110001100010011,1.000000,15.4008,0.1,3
multi,000000027620.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101010100111001001011010,1.000000,15.3274,0.1,2
multi,000000039405.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001001010|10110101100111000110001100111001,1.000000,16.3988,0.1,2
multi,000000075612.png,11000100101010100111001001011010|10110101100111000110001100111001,11110101100111000010001100111001|11000100101010100111001001011010,1.000000,15.3359,0.1,2
multi,000000083531.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001011010|10110101100111000110001100111001,1.000000,15.7504,0.1,2
multi,000000088848.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001001010|10110101100111000110001100111001,1.000000,15.5477,0.1,2
multi,000000089648.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101010100111001001011010,1.000000,15.4883,0.1,2
multi,000000092177.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101010100111001001001010,1.000000,16.0044,0.1,2
multi,000000098392.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101110100111001001011010,1.000000,16.0092,0.1,2
multi,000000098520.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001011010|10110101100111000110001100111001,1.000000,15.9500,0.1,2
multi,000000107554.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101010100111001001001010,1.000000,15.8250,0.1,2
multi,000000121673.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101010100111001001001010,1.000000,15.7691,0.1,2
multi,000000134322.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001001010|11110101100111000110001100101001,0.968750,16.3266,0.1,2
multi,000000150649.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101010100111001001011010,1.000000,15.0150,0.1,2
multi,000000154000.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001011010|10110101100111000110001100101001,1.000000,15.8670,0.1,2
multi,000000186632.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001001010|10110101100111000110001100111001,1.000000,16.0235,0.1,2
multi,000000201775.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001011010|10110101100111000110001100111001,1.000000,15.0259,0.1,2
multi,000000205647.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101010100111001001011010,1.000000,15.4791,0.1,2
multi,000000207306.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001001010|10110101100111000110001100111001,1.000000,15.5169,0.1,2
multi,000000210299.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000010001100111001|11000100101010100111001001001010,0.968750,15.7947,0.1,2
multi,000000219440.png,11000100101010100111001001011010|10110101100111000110001100111001,11100100100111100111001101111011|11110100100111000010001100010011,0.812500,16.2588,0.1,2
multi,000000230166.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101110100111001001001011,1.000000,15.0177,0.1,2
multi,000000249180.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101010100111001001011010,1.000000,15.2441,0.1,2
multi,000000260657.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001011010|10110101100111000110001100111001,1.000000,16.1620,0.1,2
multi,000000262938.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000010001100111001|11000100101010100111001001011010,1.000000,15.3957,0.1,2
multi,000000263299.png,11000100101010100111001001011010|10110101100111000110001100111001,11000100101010100111001001001010|10110101100111000110001100111001,1.000000,15.6712,0.1,2
multi,000000319617.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101110100111001001001010,1.000000,15.3365,0.1,2
multi,000000322895.png,11000100101010100111001001011010|10110101100111000110001100111001,10110101100111000110001100111001|11000100101010100111001001001010,1.000000,16.2464,0.1,2
