image,scheme,area_percent,block_count,scaling_w,attack,message,predicted,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
000000005529.png,single_center_50pct,50,1,2.5000,none,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,10.3474,10.3474,34832,0
000000005529.png,single_center_50pct,50,1,2.5000,remove_center_40,01001010111000010011001110000100,01001010011000010011001110000100,0.968750,0,10.3474,17.0605,9281,0
000000005529.png,single_center_50pct,50,1,2.5000,black_center_40,01001010111000010011001110000100,01001010011000010011001110000100,0.968750,0,10.3474,7.0045,35108,0
000000005529.png,single_center_50pct,50,1,2.5000,crop_top_left_50,01001010111000010011001110000100,00000100010000000000000000000000,0.593750,0,10.3474,7.7351,31649,0
000000005529.png,single_center_50pct,50,1,2.5000,crop_bottom_right_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,10.3474,9.2977,32328,0
000000005529.png,single_center_50pct,50,1,2.5000,crop_center_50,01001010111000010011001110000100,00000000010000000000000010000000,0.656250,0,10.3474,6.9340,65536,0
000000005529.png,single_center_50pct,50,1,2.5000,jpeg_q30,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,10.3474,13.0315,35977,0
000000005529.png,single_center_50pct,50,1,2.5000,jpeg_q20,01001010111000010011001110000100,01001010011000010011001110000100,0.968750,0,10.3474,13.2821,36635,0
000000005529.png,single_center_50pct,50,1,2.5000,resize_0.25_jpeg_q50,01001010111000010011001110000100,01101000110000010011001110000100,0.906250,0,10.3474,14.6311,36447,0
000000005529.png,distributed_q10_5block,10,5,2.5000,none,01001010111000010011001110000100,00000000010000000001000000000000,0.656250,0,17.2884,17.2884,6695,0
000000005529.png,distributed_q10_5block,10,5,2.5000,remove_center_40,01001010111000010011001110000100,00001000011000000001000000000000,0.718750,0,17.2884,18.2201,5327,0
000000005529.png,distributed_q10_5block,10,5,2.5000,black_center_40,01001010111000010011001110000100,00001000011000000001000100000000,0.750000,0,17.2884,7.1062,5257,0
