scheme,area_percent,block_count,mean_psnr_watermarked,mean_selected_attack_accuracy,worst_selected_attack_accuracy,none_mean,remove_center_40_mean,black_center_40_mean,crop_top_left_50_mean,crop_bottom_right_50_mean,crop_center_50_mean,jpeg_q30_mean,jpeg_q20_mean,resize_0.25_jpeg_q50_mean
distributed_q10_5block,10,5,17.3177,0.687187,0.530625,0.726250,0.781875,0.795000,0.530625,0.555625,0.543750,0.834375,0.747500,0.708750
distributed_q10_9block,10,9,17.3607,0.584531,0.402500,0.600000,0.650000,0.659375,0.533125,0.540625,0.402500,0.698750,0.605000,0.586875
distributed_q20_5block,20,5,14.2466,0.801328,0.518750,0.945625,0.991875,0.996250,0.518750,0.544375,0.550000,0.983750,0.944375,0.881250
distributed_q20_9block,20,9,14.2761,0.781875,0.526875,0.914375,0.982500,0.992500,0.555625,0.526875,0.539375,0.950000,0.881875,0.826250
distributed_q25_5block,25,5,13.2766,0.804688,0.470625,0.983750,0.997500,0.999375,0.519375,0.470625,0.575625,0.996875,0.977500,0.900625
distributed_q25_9block,25,9,13.2731,0.802812,0.521875,0.945000,0.996875,0.997500,0.521875,0.548750,0.540625,0.990000,0.946250,0.880625
distributed_q30_5block,30,5,12.4596,0.820937,0.542500,0.990625,0.998750,0.999375,0.542500,0.543125,0.589375,1.000000,0.998750,0.895625
distributed_q30_9block,30,9,12.4879,0.818750,0.556875,0.976875,0.995000,0.998125,0.556875,0.564375,0.566250,0.997500,0.975000,0.896875
distributed_q50_5block,50,5,10.2653,0.820625,0.527500,0.999375,1.000000,1.000000,0.527500,0.546875,0.590000,1.000000,0.998125,0.902500
distributed_q50_9block,50,9,10.3010,0.807656,0.472500,1.000000,0.998750,0.999375,0.472500,0.528750,0.566250,1.000000,0.998125,0.897500
single_center_50pct,50,1,10.1916,0.830547,0.582500,1.000000,0.976250,0.990000,0.582500,0.585625,0.639375,0.998750,0.988125,0.883750
