scheme,area_percent,block_count,attack,mean_bit_accuracy,min_bit_accuracy,message_success_rate,mean_psnr_watermarked,num_images
distributed_q10_5block,10,5,black_center_40,0.795000,0.593750,0.000000,17.3177,50
distributed_q10_5block,10,5,crop_bottom_right_50,0.555625,0.000000,0.000000,17.3177,50
distributed_q10_5block,10,5,crop_center_50,0.543750,0.000000,0.000000,17.3177,50
distributed_q10_5block,10,5,crop_top_left_50,0.530625,0.000000,0.000000,17.3177,50
distributed_q10_5block,10,5,jpeg_q20,0.747500,0.625000,0.000000,17.3177,50
distributed_q10_5block,10,5,jpeg_q30,0.834375,0.625000,0.000000,17.3177,50
distributed_q10_5block,10,5,none,0.726250,0.625000,0.000000,17.3177,50
distributed_q10_5block,10,5,remove_center_40,0.781875,0.625000,0.000000,17.3177,50
distributed_q10_5block,10,5,resize_0.25_jpeg_q50,0.708750,0.593750,0.000000,17.3177,50
distributed_q10_9block,10,9,black_center_40,0.659375,0.593750,0.000000,17.3607,50
distributed_q10_9block,10,9,crop_bottom_right_50,0.540625,0.000000,0.000000,17.3607,50
distributed_q10_9block,10,9,crop_center_50,0.402500,0.000000,0.000000,17.3607,50
distributed_q10_9block,10,9,crop_top_left_50,0.533125,0.000000,0.000000,17.3607,50
distributed_q10_9block,10,9,jpeg_q20,0.605000,0.000000,0.000000,17.3607,50
distributed_q10_9block,10,9,jpeg_q30,0.698750,0.000000,0.000000,17.3607,50
distributed_q10_9block,10,9,none,0.600000,0.593750,0.000000,17.3607,50
distributed_q10_9block,10,9,remove_center_40,0.650000,0.593750,0.000000,17.3607,50
distributed_q10_9block,10,9,resize_0.25_jpeg_q50,0.586875,0.000000,0.000000,17.3607,50
distributed_q20_5block,20,5,black_center_40,0.996250,0.937500,0.920000,14.2466,50
distributed_q20_5block,20,5,crop_bottom_right_50,0.544375,0.000000,0.000000,14.2466,50
distributed_q20_5block,20,5,crop_center_50,0.550000,0.000000,0.000000,14.2466,50
distributed_q20_5block,20,5,crop_top_left_50,0.518750,0.000000,0.000000,14.2466,50
distributed_q20_5block,20,5,jpeg_q20,0.944375,0.843750,0.200000,14.2466,50
distributed_q20_5block,20,5,jpeg_q30,0.983750,0.875000,0.580000,14.2466,50
distributed_q20_5block,20,5,none,0.945625,0.906250,0.140000,14.2466,50
distributed_q20_5block,20,5,remove_center_40,0.991875,0.937500,0.800000,14.2466,50
distributed_q20_5block,20,5,resize_0.25_jpeg_q50,0.881250,0.781250,0.000000,14.2466,50
distributed_q20_9block,20,9,black_center_40,0.992500,0.937500,0.780000,14.2761,50
distributed_q20_9block,20,9,crop_bottom_right_50,0.526875,0.000000,0.000000,14.2761,50
distributed_q20_9block,20,9,crop_center_50,0.539375,0.000000,0.000000,14.2761,50
distributed_q20_9block,20,9,crop_top_left_50,0.555625,0.000000,0.000000,14.2761,50
distributed_q20_9block,20,9,jpeg_q20,0.881875,0.781250,0.020000,14.2761,50
distributed_q20_9block,20,9,jpeg_q30,0.950000,0.875000,0.180000,14.2761,50
distributed_q20_9block,20,9,none,0.914375,0.812500,0.000000,14.2761,50
distributed_q20_9block,20,9,remove_center_40,0.982500,0.906250,0.580000,14.2761,50
distributed_q20_9block,20,9,resize_0.25_jpeg_q50,0.826250,0.656250,0.000000,14.2761,50
distributed_q25_5block,25,5,black_center_40,0.999375,0.968750,0.980000,13.2766,50
distributed_q25_5block,25,5,crop_bottom_right_50,0.470625,0.000000,0.000000,13.2766,50
distributed_q25_5block,25,5,crop_center_50,0.575625,0.000000,0.000000,13.2766,50
distributed_q25_5block,25,5,crop_top_left_50,0.519375,0.000000,0.000000,13.2766,50
distributed_q25_5block,25,5,jpeg_q20,0.977500,0.875000,0.500000,13.2766,50
distributed_q25_5block,25,5,jpeg_q30,0.996875,0.968750,0.900000,13.2766,50
distributed_q25_5block,25,5,none,0.983750,0.906250,0.600000,13.2766,50
distributed_q25_5block,25,5,remove_center_40,0.997500,0.968750,0.920000,13.2766,50
distributed_q25_5block,25,5,resize_0.25_jpeg_q50,0.900625,0.812500,0.000000,13.2766,50
distributed_q25_9block,25,9,black_center_40,0.997500,0.968750,0.920000,13.2731,50
distributed_q25_9block,25,9,crop_bottom_right_50,0.548750,0.000000,0.000000,13.2731,50
distributed_q25_9block,25,9,crop_center_50,0.540625,0.000000,0.000000,13.2731,50
distributed_q25_9block,25,9,crop_top_left_50,0.521875,0.000000,0.000000,13.2731,50
distributed_q25_9block,25,9,jpeg_q20,0.946250,0.812500,0.140000,13.2731,50
distributed_q25_9block,25,9,jpeg_q30,0.990000,0.937500,0.720000,13.2731,50
distributed_q25_9block,25,9,none,0.945000,0.875000,0.060000,13.2731,50
distributed_q25_9block,25,9,remove_center_40,0.996875,0.937500,0.920000,13.2731,50
distributed_q25_9block,25,9,resize_0.25_jpeg_q50,0.880625,0.718750,0.000000,13.2731,50
distributed_q30_5block,30,5,black_center_40,0.999375,0.968750,0.980000,12.4596,50
distributed_q30_5block,30,5,crop_bottom_right_50,0.543125,0.000000,0.000000,12.4596,50
distributed_q30_5block,30,5,crop_center_50,0.589375,0.531250,0.000000,12.4596,50
distributed_q30_5block,30,5,crop_top_left_50,0.542500,0.000000,0.000000,12.4596,50
distributed_q30_5block,30,5,jpeg_q20,0.998750,0.968750,0.960000,12.4596,50
distributed_q30_5block,30,5,jpeg_q30,1.000000,1.000000,1.000000,12.4596,50
distributed_q30_5block,30,5,none,0.990625,0.937500,0.800000,12.4596,50
distributed_q30_5block,30,5,remove_center_40,0.998750,0.937500,0.980000,12.4596,50
distributed_q30_5block,30,5,resize_0.25_jpeg_q50,0.895625,0.812500,0.000000,12.4596,50
distributed_q30_9block,30,9,black_center_40,0.998125,0.968750,0.940000,12.4879,50
distributed_q30_9block,30,9,crop_bottom_right_50,0.564375,0.000000,0.000000,12.4879,50
