scheme,attack,mean_bit_accuracy,min_bit_accuracy,message_success_rate,mean_psnr_watermarked,num_images
coverage_default_q30_s2.5,bright_contrast_jpeg80,0.993125,0.937500,0.820000,12.4391,50
coverage_default_q30_s2.5,brightness_1.5,0.952500,0.843750,0.260000,12.4391,50
coverage_default_q30_s2.5,contrast_1.5,0.943750,0.843750,0.120000,12.4391,50
coverage_default_q30_s2.5,gaussian_blur_1.2,1.000000,1.000000,1.000000,12.4391,50
coverage_default_q30_s2.5,jpeg_q30,0.999375,0.968750,0.980000,12.4391,50
coverage_default_q30_s2.5,jpeg_q50,1.000000,1.000000,1.000000,12.4391,50
coverage_default_q30_s2.5,median_filter_3,0.980000,0.906250,0.480000,12.4391,50
coverage_default_q30_s2.5,none,0.895000,0.875000,0.000000,12.4391,50
coverage_default_q30_s2.5,resize_0.5_jpeg50,0.998750,0.968750,0.960000,12.4391,50
coverage_default_q30_s2.5,saturation_1.5,0.936875,0.875000,0.040000,12.4391,50
coverage_default_q30_s2.5,saturation_sharpness_webp80,0.996250,0.968750,0.880000,12.4391,50
coverage_default_q30_s2.5,sharpness_2.0,0.958750,0.875000,0.220000,12.4391,50
coverage_default_q30_s2.5,webp_q50,1.000000,1.000000,1.000000,12.4391,50
coverage_default_q30_s2.5,webp_q80,1.000000,1.000000,1.000000,12.4391,50
coverage_robust_q50_s2.5,bright_contrast_jpeg80,1.000000,1.000000,1.000000,10.2436,50
coverage_robust_q50_s2.5,brightness_1.5,0.975625,0.875000,0.500000,10.2436,50
coverage_robust_q50_s2.5,contrast_1.5,0.974375,0.906250,0.440000,10.2436,50
coverage_robust_q50_s2.5,gaussian_blur_1.2,1.000000,1.000000,1.000000,10.2436,50
coverage_robust_q50_s2.5,jpeg_q30,0.998125,0.968750,0.940000,10.2436,50
coverage_robust_q50_s2.5,jpeg_q50,1.000000,1.000000,1.000000,10.2436,50
coverage_robust_q50_s2.5,median_filter_3,0.991875,0.937500,0.760000,10.2436,50
coverage_robust_q50_s2.5,none,0.921250,0.843750,0.000000,10.2436,50
coverage_robust_q50_s2.5,resize_0.5_jpeg50,0.995625,0.968750,0.860000,10.2436,50
coverage_robust_q50_s2.5,saturation_1.5,0.968750,0.906250,0.380000,10.2436,50
coverage_robust_q50_s2.5,saturation_sharpness_webp80,1.000000,1.000000,1.000000,10.2436,50
coverage_robust_q50_s2.5,sharpness_2.0,0.978750,0.937500,0.500000,10.2436,50
coverage_robust_q50_s2.5,webp_q50,1.000000,1.000000,1.000000,10.2436,50
coverage_robust_q50_s2.5,webp_q80,1.000000,1.000000,1.000000,10.2436,50
coverage_robust_strong_q50_s3.0,bright_contrast_jpeg80,1.000000,1.000000,1.000000,9.1932,50
coverage_robust_strong_q50_s3.0,brightness_1.5,0.965000,0.875000,0.320000,9.1932,50
coverage_robust_strong_q50_s3.0,contrast_1.5,0.958125,0.875000,0.220000,9.1932,50
coverage_robust_strong_q50_s3.0,gaussian_blur_1.2,1.000000,1.000000,1.000000,9.1932,50
coverage_robust_strong_q50_s3.0,jpeg_q30,0.998750,0.968750,0.960000,9.1932,50
coverage_robust_strong_q50_s3.0,jpeg_q50,1.000000,1.000000,1.000000,9.1932,50
coverage_robust_strong_q50_s3.0,median_filter_3,0.982500,0.937500,0.480000,9.1932,50
coverage_robust_strong_q50_s3.0,none,0.872500,0.843750,0.000000,9.1932,50
coverage_robust_strong_q50_s3.0,resize_0.5_jpeg50,0.996250,0.968750,0.880000,9.1932,50
coverage_robust_strong_q50_s3.0,saturation_1.5,0.956250,0.875000,0.180000,9.1932,50
coverage_robust_strong_q50_s3.0,saturation_sharpness_webp80,1.000000,1.000000,1.000000,9.1932,50
coverage_robust_strong_q50_s3.0,sharpness_2.0,0.966875,0.906250,0.340000,9.1932,50
coverage_robust_strong_q50_s3.0,webp_q50,1.000000,1.000000,1.000000,9.1932,50
coverage_robust_strong_q50_s3.0,webp_q80,1.000000,1.000000,1.000000,9.1932,50
coverage_strong_q30_s3.0,bright_contrast_jpeg80,0.988750,0.937500,0.660000,11.3867,50
coverage_strong_q30_s3.0,brightness_1.5,0.934375,0.875000,0.080000,11.3867,50
coverage_strong_q30_s3.0,contrast_1.5,0.923750,0.875000,0.000000,11.3867,50
coverage_strong_q30_s3.0,gaussian_blur_1.2,0.999375,0.968750,0.980000,11.3867,50
