scheme,area_percent,block_count,mean_psnr_watermarked,mean_selected_attack_accuracy,worst_selected_attack_accuracy,none_mean,remove_center_40_mean,black_center_40_mean,crop_top_left_50_mean,crop_bottom_right_50_mean,crop_center_50_mean,jpeg_q30_mean,jpeg_q20_mean,resize_0.25_jpeg_q50_mean
distributed_q10_5block,10,5,17.2714,0.704687,0.475000,0.681250,0.812500,0.831250,0.587500,0.475000,0.587500,0.843750,0.743750,0.756250
distributed_q10_9block,10,9,17.2981,0.508594,0.118750,0.593750,0.618750,0.631250,0.475000,0.593750,0.118750,0.687500,0.375000,0.568750
distributed_q20_5block,20,5,14.1839,0.820312,0.587500,0.931250,1.000000,1.000000,0.593750,0.593750,0.587500,0.956250,0.962500,0.868750
distributed_q20_9block,20,9,14.2080,0.767187,0.475000,0.906250,0.987500,1.000000,0.475000,0.475000,0.475000,0.956250,0.912500,0.856250
distributed_q25_5block,25,5,13.2006,0.784375,0.350000,0.981250,1.000000,1.000000,0.468750,0.350000,0.593750,0.993750,0.975000,0.893750
distributed_q25_9block,25,9,13.2030,0.800781,0.475000,0.937500,1.000000,1.000000,0.475000,0.475000,0.593750,0.975000,0.981250,0.906250
distributed_q30_5block,30,5,12.3759,0.816406,0.468750,0.987500,1.000000,1.000000,0.593750,0.468750,0.593750,1.000000,0.987500,0.887500
distributed_q30_9block,30,9,12.4283,0.835156,0.593750,0.950000,1.000000,1.000000,0.618750,0.593750,0.593750,0.987500,0.987500,0.900000
distributed_q50_5block,50,5,10.1788,0.835938,0.593750,1.000000,1.000000,1.000000,0.593750,0.593750,0.593750,1.000000,1.000000,0.906250
distributed_q50_9block,50,9,10.2346,0.817969,0.462500,1.000000,1.000000,1.000000,0.462500,0.587500,0.593750,1.000000,0.993750,0.906250
single_center_50pct,50,1,10.1144,0.828906,0.581250,1.000000,0.968750,0.987500,0.581250,0.587500,0.637500,1.000000,0.981250,0.887500
