image,scheme,area_percent,block_count,scaling_w,attack,message,predicted,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
000000347544.png,single_center_50pct,50,1,2.5000,none,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,9.8122,9.8122,34644,0
000000347544.png,single_center_50pct,50,1,2.5000,remove_center_40,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,9.8122,16.7880,9600,0
000000347544.png,single_center_50pct,50,1,2.5000,black_center_40,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,9.8122,8.3473,35321,0
000000347544.png,single_center_50pct,50,1,2.5000,crop_top_left_50,01001010111000010011001110000100,00000100000000000000000000000000,0.562500,0,9.8122,8.5259,18258,0
000000347544.png,single_center_50pct,50,1,2.5000,crop_bottom_right_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,9.8122,7.9079,19191,0
000000347544.png,single_center_50pct,50,1,2.5000,crop_center_50,01001010111000010011001110000100,00000000010000000000000000000000,0.625000,0,9.8122,6.2135,65341,0
000000347544.png,single_center_50pct,50,1,2.5000,jpeg_q30,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,9.8122,12.9245,34990,0
000000347544.png,single_center_50pct,50,1,2.5000,jpeg_q20,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,9.8122,13.1784,35770,0
000000347544.png,single_center_50pct,50,1,2.5000,resize_0.25_jpeg_q50,01001010111000010011001110000100,01101000110000000011001110000110,0.843750,0,9.8122,15.4306,35949,0
000000347544.png,distributed_q10_5block,10,5,2.5000,none,01001010111000010011001110000100,00000000000000000001000000000000,0.625000,0,17.3015,17.3015,6759,0
000000347544.png,distributed_q10_5block,10,5,2.5000,remove_center_40,01001010111000010011001110000100,00001010000000000011000100000000,0.750000,0,17.3015,18.3645,5576,0
000000347544.png,distributed_q10_5block,10,5,2.5000,black_center_40,01001010111000010011001110000100,00001010100000000011000100000100,0.812500,0,17.3015,8.5408,5664,0
000000347544.png,distributed_q10_5block,10,5,2.5000,crop_top_left_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,17.3015,10.1329,5223,0
000000347544.png,distributed_q10_5block,10,5,2.5000,crop_bottom_right_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,17.3015,9.1314,1316,0
000000347544.png,distributed_q10_5block,10,5,2.5000,crop_center_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,17.3015,9.5491,2001,0
000000347544.png,distributed_q10_5block,10,5,2.5000,jpeg_q30,01001010111000010011001110000100,00001010111000000001000100100100,0.812500,0,17.3015,19.2050,19599,0
000000347544.png,distributed_q10_5block,10,5,2.5000,jpeg_q20,01001010111000010011001110000100,00001000111000000000000000000000,0.718750,0,17.3015,19.2497,15032,0
000000347544.png,distributed_q10_5block,10,5,2.5000,resize_0.25_jpeg_q50,01001010111000010011001110000100,00001000100000000001000110000100,0.781250,0,17.3015,19.9264,15948,0
000000347544.png,distributed_q10_9block,10,9,2.5000,none,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,17.4033,17.4033,6074,0
000000347544.png,distributed_q10_9block,10,9,2.5000,remove_center_40,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,17.4033,17.9478,6024,0
000000347544.png,distributed_q10_9block,10,9,2.5000,black_center_40,01001010111000010011001110000100,00000010000000000000000000000000,0.625000,0,17.4033,8.4955,5939,0
000000347544.png,distributed_q10_9block,10,9,2.5000,crop_top_left_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,17.4033,10.1539,5587,0
000000347544.png,distributed_q10_9block,10,9,2.5000,crop_bottom_right_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,17.4033,9.1274,2155,0
000000347544.png,distributed_q10_9block,10,9,2.5000,crop_center_50,01001010111000010011001110000100,00000000000000000000000000000000,0.000000,0,17.4033,9.7088,0,1
000000347544.png,distributed_q10_9block,10,9,2.5000,jpeg_q30,01001010111000010011001110000100,00001000000000000001000100000000,0.687500,0,17.4033,19.2921,12325,0
000000347544.png,distributed_q10_9block,10,9,2.5000,jpeg_q20,01001010111000010011001110000100,00001000111000000001000010000000,0.781250,0,17.4033,19.3611,3068,0
000000347544.png,distributed_q10_9block,10,9,2.5000,resize_0.25_jpeg_q50,01001010111000010011001110000100,00000000000000000000000000000000,0.000000,0,17.4033,20.0418,0,1
000000347544.png,distributed_q20_5block,20,5,2.5000,none,01001010111000010011001110000100,00001010110000010011001110000100,0.937500,0,14.1589,14.1589,13995,0
000000347544.png,distributed_q20_5block,20,5,2.5000,remove_center_40,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,14.1589,15.2583,10663,0
000000347544.png,distributed_q20_5block,20,5,2.5000,black_center_40,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,14.1589,8.0923,10648,0
000000347544.png,distributed_q20_5block,20,5,2.5000,crop_top_left_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,14.1589,9.4245,8531,0
000000347544.png,distributed_q20_5block,20,5,2.5000,crop_bottom_right_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,14.1589,8.6851,1818,0
000000347544.png,distributed_q20_5block,20,5,2.5000,crop_center_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,14.1589,9.1895,5681,0
000000347544.png,distributed_q20_5block,20,5,2.5000,jpeg_q30,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,14.1589,16.4545,19422,0
000000347544.png,distributed_q20_5block,20,5,2.5000,jpeg_q20,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,14.1589,16.7038,19565,0
000000347544.png,distributed_q20_5block,20,5,2.5000,resize_0.25_jpeg_q50,01001010111000010011001110000100,00001000110000010011001110000100,0.906250,0,14.1589,17.7463,19786,0
000000347544.png,distributed_q20_9block,20,9,2.5000,none,01001010111000010011001110000100,00001010010000000001001110000100,0.843750,0,14.2445,14.2445,14791,0
000000347544.png,distributed_q20_9block,20,9,2.5000,remove_center_40,01001010111000010011001110000100,01001010111000000011001110000100,0.968750,0,14.2445,14.8028,13715,0
000000347544.png,distributed_q20_9block,20,9,2.5000,black_center_40,01001010111000010011001110000100,01001010111000000011001110000100,0.968750,0,14.2445,8.0011,16788,0
000000347544.png,distributed_q20_9block,20,9,2.5000,crop_top_left_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,14.2445,9.6732,8781,0
000000347544.png,distributed_q20_9block,20,9,2.5000,crop_bottom_right_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,14.2445,8.6492,879,0
000000347544.png,distributed_q20_9block,20,9,2.5000,crop_center_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,14.2445,9.5131,1692,0
000000347544.png,distributed_q20_9block,20,9,2.5000,jpeg_q30,01001010111000010011001110000100,01001010111000000011001110000100,0.968750,0,14.2445,16.5362,25850,0
000000347544.png,distributed_q20_9block,20,9,2.5000,jpeg_q20,01001010111000010011001110000100,01001010111000000001001110000100,0.937500,0,14.2445,16.6965,28753,0
000000347544.png,distributed_q20_9block,20,9,2.5000,resize_0.25_jpeg_q50,01001010111000010011001110000100,00001010110010000011000110000100,0.843750,0,14.2445,17.7882,21934,0
000000347544.png,distributed_q25_5block,25,5,2.5000,none,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,13.1506,13.1506,18197,0
000000347544.png,distributed_q25_5block,25,5,2.5000,remove_center_40,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,13.1506,14.3606,13608,0
000000347544.png,distributed_q25_5block,25,5,2.5000,black_center_40,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,13.1506,7.9049,34179,0
000000347544.png,distributed_q25_5block,25,5,2.5000,crop_top_left_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,13.1506,9.1541,308,0
000000347544.png,distributed_q25_5block,25,5,2.5000,crop_bottom_right_50,01001010111000010011001110000100,00000000000000000000000000000000,0.000000,0,13.1506,8.5095,0,1
000000347544.png,distributed_q25_5block,25,5,2.5000,crop_center_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,13.1506,8.9891,4525,0
000000347544.png,distributed_q25_5block,25,5,2.5000,jpeg_q30,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,13.1506,15.5240,21123,0
000000347544.png,distributed_q25_5block,25,5,2.5000,jpeg_q20,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,13.1506,15.7657,22421,0
000000347544.png,distributed_q25_5block,25,5,2.5000,resize_0.25_jpeg_q50,01001010111000010011001110000100,01001010110000010011001110000100,0.968750,0,13.1506,17.0237,22263,0
000000347544.png,distributed_q25_9block,25,9,2.5000,none,01001010111000010011001110000100,00001010010000010011001110000100,0.906250,0,13.2352,13.2352,18918,0
000000347544.png,distributed_q25_9block,25,9,2.5000,remove_center_40,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,13.2352,13.7723,16467,0
000000347544.png,distributed_q25_9block,25,9,2.5000,black_center_40,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,13.2352,7.7647,26127,0
000000347544.png,distributed_q25_9block,25,9,2.5000,crop_top_left_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,13.2352,9.4225,8583,0
000000347544.png,distributed_q25_9block,25,9,2.5000,crop_bottom_right_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,13.2352,8.4607,1245,0
000000347544.png,distributed_q25_9block,25,9,2.5000,crop_center_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,13.2352,9.4318,3030,0
