scheme,area_percent,block_count,attack,mean_bit_accuracy,min_bit_accuracy,message_success_rate,mean_psnr_watermarked,num_images
distributed_q10_5block,10,5,black_center_40,0.787500,0.656250,0.000000,17.1735,5
distributed_q10_5block,10,5,crop_bottom_right_50,0.475000,0.000000,0.000000,17.1735,5
distributed_q10_5block,10,5,crop_center_50,0.343750,0.000000,0.000000,17.1735,5
distributed_q10_5block,10,5,crop_top_left_50,0.231250,0.000000,0.000000,17.1735,5
distributed_q10_5block,10,5,jpeg_q20,0.725000,0.625000,0.000000,17.1735,5
distributed_q10_5block,10,5,jpeg_q30,0.787500,0.750000,0.000000,17.1735,5
distributed_q10_5block,10,5,none,0.718750,0.656250,0.000000,17.1735,5
distributed_q10_5block,10,5,remove_center_40,0.743750,0.625000,0.000000,17.1735,5
distributed_q10_5block,10,5,resize_0.25_jpeg_q50,0.718750,0.625000,0.000000,17.1735,5
distributed_q10_9block,10,9,black_center_40,0.612500,0.593750,0.000000,17.2779,5
distributed_q10_9block,10,9,crop_bottom_right_50,0.493750,0.000000,0.000000,17.2779,5
distributed_q10_9block,10,9,crop_center_50,0.106250,0.000000,0.000000,17.2779,5
distributed_q10_9block,10,9,crop_top_left_50,0.475000,0.000000,0.000000,17.2779,5
distributed_q10_9block,10,9,jpeg_q20,0.662500,0.593750,0.000000,17.2779,5
distributed_q10_9block,10,9,jpeg_q30,0.681250,0.593750,0.000000,17.2779,5
distributed_q10_9block,10,9,none,0.581250,0.531250,0.000000,17.2779,5
distributed_q10_9block,10,9,remove_center_40,0.612500,0.562500,0.000000,17.2779,5
distributed_q10_9block,10,9,resize_0.25_jpeg_q50,0.518750,0.000000,0.000000,17.2779,5
distributed_q20_5block,20,5,black_center_40,0.981250,0.937500,0.600000,14.1275,5
distributed_q20_5block,20,5,crop_bottom_right_50,0.237500,0.000000,0.000000,14.1275,5
distributed_q20_5block,20,5,crop_center_50,0.481250,0.000000,0.000000,14.1275,5
distributed_q20_5block,20,5,crop_top_left_50,0.462500,0.000000,0.000000,14.1275,5
distributed_q20_5block,20,5,jpeg_q20,0.925000,0.875000,0.200000,14.1275,5
distributed_q20_5block,20,5,jpeg_q30,0.968750,0.937500,0.200000,14.1275,5
distributed_q20_5block,20,5,none,0.925000,0.906250,0.000000,14.1275,5
distributed_q20_5block,20,5,remove_center_40,0.968750,0.906250,0.600000,14.1275,5
distributed_q20_5block,20,5,resize_0.25_jpeg_q50,0.875000,0.812500,0.000000,14.1275,5
distributed_q20_9block,20,9,black_center_40,0.962500,0.937500,0.200000,14.1782,5
distributed_q20_9block,20,9,crop_bottom_right_50,0.456250,0.000000,0.000000,14.1782,5
distributed_q20_9block,20,9,crop_center_50,0.462500,0.000000,0.000000,14.1782,5
distributed_q20_9block,20,9,crop_top_left_50,0.231250,0.000000,0.000000,14.1782,5
distributed_q20_9block,20,9,jpeg_q20,0.875000,0.812500,0.200000,14.1782,5
distributed_q20_9block,20,9,jpeg_q30,0.956250,0.875000,0.400000,14.1782,5
distributed_q20_9block,20,9,none,0.893750,0.875000,0.000000,14.1782,5
distributed_q20_9block,20,9,remove_center_40,0.950000,0.906250,0.400000,14.1782,5
distributed_q20_9block,20,9,resize_0.25_jpeg_q50,0.862500,0.781250,0.000000,14.1782,5
distributed_q25_5block,25,5,black_center_40,0.993750,0.968750,0.800000,13.1607,5
distributed_q25_5block,25,5,crop_bottom_right_50,0.106250,0.000000,0.000000,13.1607,5
distributed_q25_5block,25,5,crop_center_50,0.481250,0.000000,0.000000,13.1607,5
distributed_q25_5block,25,5,crop_top_left_50,0.243750,0.000000,0.000000,13.1607,5
distributed_q25_5block,25,5,jpeg_q20,0.968750,0.937500,0.200000,13.1607,5
distributed_q25_5block,25,5,jpeg_q30,1.000000,1.000000,1.000000,13.1607,5
distributed_q25_5block,25,5,none,0.962500,0.937500,0.200000,13.1607,5
distributed_q25_5block,25,5,remove_center_40,0.987500,0.968750,0.600000,13.1607,5
distributed_q25_5block,25,5,resize_0.25_jpeg_q50,0.900000,0.781250,0.000000,13.1607,5
distributed_q25_9block,25,9,black_center_40,1.000000,1.000000,1.000000,13.1761,5
distributed_q25_9block,25,9,crop_bottom_right_50,0.468750,0.000000,0.000000,13.1761,5
distributed_q25_9block,25,9,crop_center_50,0.350000,0.000000,0.000000,13.1761,5
distributed_q25_9block,25,9,crop_top_left_50,0.350000,0.000000,0.000000,13.1761,5
distributed_q25_9block,25,9,jpeg_q20,0.925000,0.843750,0.200000,13.1761,5
distributed_q25_9block,25,9,jpeg_q30,0.987500,0.968750,0.600000,13.1761,5
distributed_q25_9block,25,9,none,0.937500,0.906250,0.000000,13.1761,5
distributed_q25_9block,25,9,remove_center_40,0.987500,0.937500,0.800000,13.1761,5
distributed_q25_9block,25,9,resize_0.25_jpeg_q50,0.918750,0.781250,0.200000,13.1761,5
distributed_q30_5block,30,5,black_center_40,0.987500,0.937500,0.800000,12.3527,5
distributed_q30_5block,30,5,crop_bottom_right_50,0.343750,0.000000,0.000000,12.3527,5
distributed_q30_5block,30,5,crop_center_50,0.475000,0.000000,0.000000,12.3527,5
distributed_q30_5block,30,5,crop_top_left_50,0.250000,0.000000,0.000000,12.3527,5
distributed_q30_5block,30,5,jpeg_q20,0.987500,0.968750,0.600000,12.3527,5
distributed_q30_5block,30,5,jpeg_q30,1.000000,1.000000,1.000000,12.3527,5
distributed_q30_5block,30,5,none,0.975000,0.937500,0.600000,12.3527,5
distributed_q30_5block,30,5,remove_center_40,0.981250,0.937500,0.600000,12.3527,5
distributed_q30_5block,30,5,resize_0.25_jpeg_q50,0.912500,0.875000,0.000000,12.3527,5
distributed_q30_9block,30,9,black_center_40,0.993750,0.968750,0.800000,12.3950,5
distributed_q30_9block,30,9,crop_bottom_right_50,0.362500,0.000000,0.000000,12.3950,5
distributed_q30_9block,30,9,crop_center_50,0.468750,0.000000,0.000000,12.3950,5
distributed_q30_9block,30,9,crop_top_left_50,0.468750,0.000000,0.000000,12.3950,5
distributed_q30_9block,30,9,jpeg_q20,0.981250,0.937500,0.600000,12.3950,5
distributed_q30_9block,30,9,jpeg_q30,0.993750,0.968750,0.800000,12.3950,5
distributed_q30_9block,30,9,none,0.937500,0.875000,0.000000,12.3950,5
distributed_q30_9block,30,9,remove_center_40,0.987500,0.937500,0.800000,12.3950,5
distributed_q30_9block,30,9,resize_0.25_jpeg_q50,0.912500,0.812500,0.200000,12.3950,5
distributed_q50_5block,50,5,black_center_40,1.000000,1.000000,1.000000,10.1761,5
distributed_q50_5block,50,5,crop_bottom_right_50,0.362500,0.000000,0.000000,10.1761,5
distributed_q50_5block,50,5,crop_center_50,0.450000,0.000000,0.000000,10.1761,5
distributed_q50_5block,50,5,crop_top_left_50,0.487500,0.000000,0.000000,10.1761,5
distributed_q50_5block,50,5,jpeg_q20,1.000000,1.000000,1.000000,10.1761,5
distributed_q50_5block,50,5,jpeg_q30,1.000000,1.000000,1.000000,10.1761,5
distributed_q50_5block,50,5,none,1.000000,1.000000,1.000000,10.1761,5
distributed_q50_5block,50,5,remove_center_40,1.000000,1.000000,1.000000,10.1761,5
distributed_q50_5block,50,5,resize_0.25_jpeg_q50,0.900000,0.875000,0.000000,10.1761,5
distributed_q50_9block,50,9,black_center_40,1.000000,1.000000,1.000000,10.2226,5
distributed_q50_9block,50,9,crop_bottom_right_50,0.225000,0.000000,0.000000,10.2226,5
distributed_q50_9block,50,9,crop_center_50,0.468750,0.000000,0.000000,10.2226,5
distributed_q50_9block,50,9,crop_top_left_50,0.237500,0.000000,0.000000,10.2226,5
distributed_q50_9block,50,9,jpeg_q20,1.000000,1.000000,1.000000,10.2226,5
distributed_q50_9block,50,9,jpeg_q30,1.000000,1.000000,1.000000,10.2226,5
