image,scheme,region_strategy,area_percent,block_count,scaling_w,attack,message,predicted,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
000000000139.png,single_center50_s2.5,single_center,50,1,2.5,none,1101000110001000100010011110110,11101000010001000000110011111110,0.84375,0,9.9664,9.9664,35446,0
000000000139.png,single_center50_s2.5,single_center,50,1,2.5,jpeg_q50,1101000110001000100010011110110,1101000110001000100010011110110,1.0,1,9.9664,12.6109,35437,0
000000000139.png,single_center50_s2.5,single_center,50,1,2.5,jpeg_q30,1101000110001000100010011110110,1101000110001000100010011110110,1.0,1,9.9664,12.7823,35476,0
000000000139.png,single_center50_s2.5,single_center,50,1,2.5,gaussian_blur_1.2,1101000110001000100010011110110,1101000110001000100010011110110,1.0,1,9.9664,13.3629,35097,0
000000000139.png,single_center50_s2.5,single_center,50,1,2.5,median_filter_3,1101000110001000100010011110110,11101000110001000100010011110110,0.96875,0,9.9664,10.1103,35115,0
000000000139.png,single_center50_s2.5,single_center,50,1,2.5,brightness_1.5,1101000110001000100010011110110,11101000010001000100010011111110,0.90625,0,9.9664,8.034,35317,0
000000000139.png,single_center50_s2.5,single_center,50,1,2.5,contrast_1.5,1101000110001000100010011110110,11101000010001000100010011111110,0.90625,0,9.9664,8.7127,35316,0
000000000139.png,single_center50_s2.5,single_center,50,1,2.5,saturation_1.5,1101000110001000100010011110110,11101000010001000100010011111110,0.90625,0,9.9664,8.5757,35281,0
000000000139.png,single_center50_s2.5,single_center,50,1,2.5,sharpness_2.0,1101000110001000100010011110110,1101000110001000100010011111110,0.96875,0,9.9664,9.2094,35207,0
000000000139.png,single_center50_s2.5,single_center,50,1,2.5,bright_contrast_jpeg80,1101000110001000100010011110110,1101000110001000100010011110110,1.0,1,9.9664,10.0744,35302,0
000000000139.png,single_center50_s2.5,single_center,50,1,2.5,resize_0.5_jpeg50,1101000110001000100010011110110,1101000110001000100010011110110,1.0,1,9.9664,13.2676,35304,0
000000000139.png,single_center50_s2.5,single_center,50,1,2.5,webp_q80,1101000110001000100010011110110,1101000110001000100010011110110,1.0,1,9.9664,12.6217,35313,0
000000000139.png,single_center50_s2.5,single_center,50,1,2.5,webp_q50,1101000110001000100010011110110,1101000110001000100010011110110,1.0,1,9.9664,12.6317,35278,0
000000000139.png,single_center50_s2.5,single_center,50,1,2.5,saturation_sharpness_webp80,1101000110001000100010011110110,1101000110001000100010011110110,1.0,1,9.9664,11.2736,35328,0
000000000139.png,single_center50_s3.0,single_center,50,1,3.0,none,1101000110001000100010011110110,11101000010001000000110011111110,0.84375,0,8.9857,8.9857,35595,0
000000000139.png,single_center50_s3.0,single_center,50,1,3.0,jpeg_q50,1101000110001000100010011110110,1101000110001000100010011110110,1.0,1,8.9857,11.5545,35456,0
000000000139.png,single_center50_s3.0,single_center,50,1,3.0,jpeg_q30,1101000110001000100010011110110,1101000110001000100010011110110,1.0,1,8.9857,11.7155,35596,0
000000000139.png,single_center50_s3.0,single_center,50,1,3.0,gaussian_blur_1.2,1101000110001000100010011110110,1101000110001000100010011110110,1.0,1,8.9857,12.2011,35152,0
000000000139.png,single_center50_s3.0,single_center,50,1,3.0,median_filter_3,1101000110001000100010011110110,11101000110001000100010011110110,0.96875,0,8.9857,9.0804,35122,0
000000000139.png,single_center50_s3.0,single_center,50,1,3.0,brightness_1.5,1101000110001000100010011110110,11101000010001000100010011111110,0.90625,0,8.9857,7.6177,35306,0
000000000139.png,single_center50_s3.0,single_center,50,1,3.0,contrast_1.5,1101000110001000100010011110110,11101000010001000100010011111110,0.90625,0,8.9857,8.2098,35358,0
000000000139.png,single_center50_s3.0,single_center,50,1,3.0,saturation_1.5,1101000110001000100010011110110,11101000010001000100010011111110,0.90625,0,8.9857,8.2272,35330,0
000000000139.png,single_center50_s3.0,single_center,50,1,3.0,sharpness_2.0,1101000110001000100010011110110,11101000010001000100010011111110,0.90625,0,8.9857,8.5755,35215,0
000000000139.png,single_center50_s3.0,single_center,50,1,3.0,bright_contrast_jpeg80,1101000110001000100010011110110,1101000110001000100010011110110,1.0,1,8.9857,9.8988,35307,0
000000000139.png,single_center50_s3.0,single_center,50,1,3.0,resize_0.5_jpeg50,1101000110001000100010011110110,1101000110001000100010011110110,1.0,1,8.9857,12.2339,35350,0
000000000139.png,single_center50_s3.0,single_center,50,1,3.0,webp_q80,1101000110001000100010011110110,1101000110001000100010011110110,1.0,1,8.9857,11.4924,35358,0
000000000139.png,single_center50_s3.0,single_center,50,1,3.0,webp_q50,1101000110001000100010011110110,1101000110001000100010011110110,1.0,1,8.9857,11.5301,35377,0
000000000139.png,single_center50_s3.0,single_center,50,1,3.0,saturation_sharpness_webp80,1101000110001000100010011110110,1101000110001000100010011110110,1.0,1,8.9857,10.7637,35392,0
000000000139.png,coverage_default_q30_s2.5,fixed_anchor_regions,30,5,2.5,none,1101000110001000100010011110110,11101000010001000000010011110110,0.90625,0,12.1491,12.1491,20191,0
000000000139.png,coverage_default_q30_s2.5,fixed_anchor_regions,30,5,2.5,jpeg_q50,1101000110001000100010011110110,1101000010001000100010011110110,0.96875,0,12.1491,14.7229,21058,0
000000000139.png,coverage_default_q30_s2.5,fixed_anchor_regions,30,5,2.5,jpeg_q30,1101000110001000100010011110110,1101000110001000100010011110110,1.0,1,12.1491,14.8765,21318,0
000000000139.png,coverage_default_q30_s2.5,fixed_anchor_regions,30,5,2.5,gaussian_blur_1.2,1101000110001000100010011110110,1101000110001000100010011110110,1.0,1,12.1491,15.4242,20848,0
000000000139.png,coverage_default_q30_s2.5,fixed_anchor_regions,30,5,2.5,median_filter_3,1101000110001000100010011110110,1101000010001000100010011110110,0.96875,0,12.1491,12.2702,19856,0
000000000139.png,coverage_default_q30_s2.5,fixed_anchor_regions,30,5,2.5,brightness_1.5,1101000110001000100010011110110,1101000010001000100010011110110,0.96875,0,12.1491,9.4065,20248,0
000000000139.png,coverage_default_q30_s2.5,fixed_anchor_regions,30,5,2.5,contrast_1.5,1101000110001000100010011110110,1101000010001000100010011111110,0.9375,0,12.1491,10.7293,20073,0
000000000139.png,coverage_default_q30_s2.5,fixed_anchor_regions,30,5,2.5,saturation_1.5,1101000110001000100010011110110,1101000010001000100010011111110,0.9375,0,12.1491,10.7716,20103,0
