scheme_,attack_,area_percent_mean,area_percent_min,block_count_mean,block_count_min,scaling_w_mean,scaling_w_min,bit_accuracy_mean,bit_accuracy_min,message_success_mean,message_success_min,psnr_watermarked_mean,psnr_watermarked_min,psnr_attacked_mean,psnr_attacked_min,mask_pixels_mean,mask_pixels_min,used_fallback_mean,used_fallback_min
coverage_default_q30_s2.5,bright_contrast_jpeg80,30.0,30,5.0,5,2.5,2.5,0.98875,0.96875,0.64,0,12.348224,11.7872,12.045706000000001,10.9888,21445.7,20777,0.0,0
coverage_default_q30_s2.5,brightness_1.5,30.0,30,5.0,5,2.5,2.5,0.9475,0.84375,0.16,0,12.348224,11.7872,9.989696,9.2443,20957.72,19920,0.0,0
coverage_default_q30_s2.5,contrast_1.5,30.0,30,5.0,5,2.5,2.5,0.938125,0.84375,0.0,0,12.348224,11.7872,10.906804,10.4207,20536.42,19912,0.0,0
coverage_default_q30_s2.5,gaussian_blur_1.2,30.0,30,5.0,5,2.5,2.5,0.999375,0.96875,0.98,0,12.348224,11.7872,15.176966,14.5601,21067.66,20562,0.0,0
coverage_default_q30_s2.5,jpeg_q30,30.0,30,5.0,5,2.5,2.5,0.998125,0.96875,0.94,0,12.348224,11.7872,14.808668,14.3409,21118.26,20578,0.0,0
coverage_default_q30_s2.5,jpeg_q50,30.0,30,5.0,5,2.5,2.5,0.999375,0.96875,0.98,0,12.348224,11.7872,14.69237,14.3737,21088.26,20691,0.0,0
coverage_default_q30_s2.5,median_filter_3,30.0,30,5.0,5,2.5,2.5,0.971875,0.875,0.38,0,12.348224,11.7872,12.466724,11.8838,19983.76,19707,0.0,0
coverage_default_q30_s2.5,none,30.0,30,5.0,5,2.5,2.5,0.895625,0.875,0.0,0,12.348224,11.7872,12.348224,11.7872,20349.8,20005,0.0,0
coverage_default_q30_s2.5,resize_0.5_jpeg50,30.0,30,5.0,5,2.5,2.5,0.99875,0.96875,0.96,0,12.348224,11.7872,15.150016,14.6522,21053.12,20602,0.0,0
coverage_default_q30_s2.5,saturation_1.5,30.0,30,5.0,5,2.5,2.5,0.935625,0.84375,0.0,0,12.348224,11.7872,10.870047999999999,10.7179,20233.1,19871,0.0,0
coverage_default_q30_s2.5,saturation_sharpness_webp80,30.0,30,5.0,5,2.5,2.5,0.990625,0.96875,0.7,0,12.348224,11.7872,13.371543999999998,13.0862,21052.7,20533,0.0,0
coverage_default_q30_s2.5,sharpness_2.0,30.0,30,5.0,5,2.5,2.5,0.953125,0.875,0.14,0,12.348224,11.7872,11.581821999999999,11.3533,20066.08,19772,0.0,0
coverage_default_q30_s2.5,webp_q50,30.0,30,5.0,5,2.5,2.5,0.99875,0.96875,0.96,0,12.348224,11.7872,14.740573999999999,14.4898,21083.62,20649,0.0,0
coverage_default_q30_s2.5,webp_q80,30.0,30,5.0,5,2.5,2.5,0.998125,0.96875,0.94,0,12.348224,11.7872,14.745684,14.5098,21021.12,20488,0.0,0
coverage_robust_q50_s2.5,bright_contrast_jpeg80,50.0,50,5.0,5,2.5,2.5,0.999375,0.96875,0.98,0,10.149248,9.5763,10.487904,9.595,34965.72,34252,0.0,0
coverage_robust_q50_s2.5,brightness_1.5,50.0,50,5.0,5,2.5,2.5,0.971875,0.90625,0.36,0,10.149248,9.5763,8.476124,7.5814,34821.84,34154,0.0,0
coverage_robust_q50_s2.5,contrast_1.5,50.0,50,5.0,5,2.5,2.5,0.97,0.9375,0.28,0,10.149248,9.5763,8.910068,8.3997,34647.64,34128,0.0,0
coverage_robust_q50_s2.5,gaussian_blur_1.2,50.0,50,5.0,5,2.5,2.5,1.0,1.0,1.0,1,10.149248,9.5763,13.112794000000001,12.7283,34205.42,33630,0.0,0
coverage_robust_q50_s2.5,jpeg_q30,50.0,50,5.0,5,2.5,2.5,0.99875,0.96875,0.96,0,10.149248,9.5763,12.702128,12.434,36950.48,34715,0.0,0
coverage_robust_q50_s2.5,jpeg_q50,50.0,50,5.0,5,2.5,2.5,1.0,1.0,1.0,1,10.149248,9.5763,12.556238,12.3584,36227.58,34603,0.0,0
coverage_robust_q50_s2.5,median_filter_3,50.0,50,5.0,5,2.5,2.5,0.988125,0.9375,0.64,0,10.149248,9.5763,10.2953,9.6649,34185.16,33717,0.0,0
coverage_robust_q50_s2.5,none,50.0,50,5.0,5,2.5,2.5,0.924375,0.84375,0.04,0,10.149248,9.5763,10.149248,9.5763,34756.64,34331,0.0,0
coverage_robust_q50_s2.5,resize_0.5_jpeg50,50.0,50,5.0,5,2.5,2.5,0.995,0.96875,0.84,0,10.149248,9.5763,13.087966,12.8033,36649.54,34878,0.0,0
coverage_robust_q50_s2.5,saturation_1.5,50.0,50,5.0,5,2.5,2.5,0.96625,0.9375,0.22,0,10.149248,9.5763,8.726428,8.5747,34596.0,34052,0.0,0
coverage_robust_q50_s2.5,saturation_sharpness_webp80,50.0,50,5.0,5,2.5,2.5,1.0,1.0,1.0,1,10.149248,9.5763,11.212736,10.9256,34582.66,34058,0.0,0
coverage_robust_q50_s2.5,sharpness_2.0,50.0,50,5.0,5,2.5,2.5,0.975625,0.9375,0.34,0,10.149248,9.5763,9.406894,9.1676,34333.44,33907,0.0,0
coverage_robust_q50_s2.5,webp_q50,50.0,50,5.0,5,2.5,2.5,1.0,1.0,1.0,1,10.149248,9.5763,12.566284000000001,12.3762,34517.58,33950,0.0,0
coverage_robust_q50_s2.5,webp_q80,50.0,50,5.0,5,2.5,2.5,1.0,1.0,1.0,1,10.149248,9.5763,12.561828,12.3304,34473.26,33904,0.0,0
coverage_robust_strong_q50_s3.0,bright_contrast_jpeg80,50.0,50,5.0,5,3.0,3.0,0.999375,0.96875,0.98,0,9.154092,9.0351,9.98301,9.0912,34973.04,34190,0.0,0
coverage_robust_strong_q50_s3.0,brightness_1.5,50.0,50,5.0,5,3.0,3.0,0.963125,0.875,0.24,0,9.154092,9.0351,7.998718,7.3288,34854.44,34162,0.0,0
coverage_robust_strong_q50_s3.0,contrast_1.5,50.0,50,5.0,5,3.0,3.0,0.955625,0.90625,0.1,0,9.154092,9.0351,8.219444,7.7014,34696.1,34166,0.0,0
coverage_robust_strong_q50_s3.0,gaussian_blur_1.2,50.0,50,5.0,5,3.0,3.0,1.0,1.0,1.0,1,9.154092,9.0351,11.988489999999999,11.6005,34256.74,33712,0.0,0
coverage_robust_strong_q50_s3.0,jpeg_q30,50.0,50,5.0,5,3.0,3.0,0.9975,0.96875,0.92,0,9.154092,9.0351,11.616286,11.2384,36749.44,35355,0.0,0
coverage_robust_strong_q50_s3.0,jpeg_q50,50.0,50,5.0,5,3.0,3.0,1.0,1.0,1.0,1,9.154092,9.0351,11.465242,11.1582,36163.7,34856,0.0,0
coverage_robust_strong_q50_s3.0,median_filter_3,50.0,50,5.0,5,3.0,3.0,0.97625,0.9375,0.28,0,9.154092,9.0351,9.248429999999999,9.1036,34254.08,33829,0.0,0
coverage_robust_strong_q50_s3.0,none,50.0,50,5.0,5,3.0,3.0,0.873125,0.84375,0.0,0,9.154092,9.0351,9.154092,9.0351,35080.6,34676,0.0,0
coverage_robust_strong_q50_s3.0,resize_0.5_jpeg50,50.0,50,5.0,5,3.0,3.0,0.99375,0.96875,0.8,0,9.154092,9.0351,12.01463,11.5,36495.38,34723,0.0,0
coverage_robust_strong_q50_s3.0,saturation_1.5,50.0,50,5.0,5,3.0,3.0,0.955,0.875,0.08,0,9.154092,9.0351,8.191168,7.7904,34633.7,34101,0.0,0
