attack,mean_bit_accuracy,message_success_rate,num_samples,ecc_mode,payload_bits
center_crop_0.5,1.000000,1.0000,50,rep4_interleaved,8
center_crop_0.75,1.000000,1.0000,50,rep4_interleaved,8
crop_50_jpeg_30,1.000000,1.0000,50,rep4_interleaved,8
jpeg_q10,1.000000,1.0000,50,rep4_interleaved,8
jpeg_q30,1.000000,1.0000,50,rep4_interleaved,8
jpeg_q5,1.000000,1.0000,50,rep4_interleaved,8
none,1.000000,1.0000,50,rep4_interleaved,8
random_crop_0.5,0.820000,0.2200,50,rep4_interleaved,8
resize_0.25,0.885000,0.2200,50,rep4_interleaved,8
resize_0.5,1.000000,1.0000,50,rep4_interleaved,8
