image,attack,bit_accuracy,message_success,ecc_mode,payload_bits
000000348216.png,none,1.000000,1,rep4_interleaved,8
000000348216.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000348216.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000348216.png,random_crop_0.5,1.000000,1,rep4_interleaved,8
000000348216.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000348216.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000348216.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000348216.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000348216.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000348216.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000348243.png,none,1.000000,1,rep4_interleaved,8
000000348243.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000348243.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000348243.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000348243.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000348243.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000348243.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000348243.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000348243.png,resize_0.25,1.000000,1,rep4_interleaved,8
000000348243.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000348481.png,none,1.000000,1,rep4_interleaved,8
000000348481.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000348481.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000348481.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000348481.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000348481.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000348481.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000348481.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000348481.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000348481.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000348488.png,none,1.000000,1,rep4_interleaved,8
000000348488.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000348488.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
