image,attack,bit_accuracy,message_success,ecc_mode,payload_bits
000000270474.png,none,1.000000,1,rep3,10
000000270474.png,center_crop_0.5,1.000000,1,rep3,10
000000270474.png,center_crop_0.75,1.000000,1,rep3,10
000000270474.png,random_crop_0.5,0.900000,0,rep3,10
000000270474.png,jpeg_q30,1.000000,1,rep3,10
000000270474.png,jpeg_q10,1.000000,1,rep3,10
000000270474.png,jpeg_q5,1.000000,1,rep3,10
000000270474.png,resize_0.5,1.000000,1,rep3,10
000000270474.png,resize_0.25,0.900000,0,rep3,10
000000270474.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000270677.png,none,1.000000,1,rep3,10
000000270677.png,center_crop_0.5,1.000000,1,rep3,10
000000270677.png,center_crop_0.75,1.000000,1,rep3,10
000000270677.png,random_crop_0.5,0.900000,0,rep3,10
000000270677.png,jpeg_q30,1.000000,1,rep3,10
000000270677.png,jpeg_q10,1.000000,1,rep3,10
000000270677.png,jpeg_q5,1.000000,1,rep3,10
000000270677.png,resize_0.5,1.000000,1,rep3,10
000000270677.png,resize_0.25,0.900000,0,rep3,10
000000270677.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000270705.png,none,1.000000,1,rep3,10
000000270705.png,center_crop_0.5,1.000000,1,rep3,10
000000270705.png,center_crop_0.75,1.000000,1,rep3,10
000000270705.png,random_crop_0.5,0.700000,0,rep3,10
000000270705.png,jpeg_q30,1.000000,1,rep3,10
000000270705.png,jpeg_q10,1.000000,1,rep3,10
000000270705.png,jpeg_q5,1.000000,1,rep3,10
000000270705.png,resize_0.5,1.000000,1,rep3,10
000000270705.png,resize_0.25,1.000000,1,rep3,10
000000270705.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000270883.png,none,1.000000,1,rep3,10
000000270883.png,center_crop_0.5,1.000000,1,rep3,10
000000270883.png,center_crop_0.75,1.000000,1,rep3,10
000000270883.png,random_crop_0.5,0.700000,0,rep3,10
000000270883.png,jpeg_q30,1.000000,1,rep3,10
000000270883.png,jpeg_q10,1.000000,1,rep3,10
000000270883.png,jpeg_q5,1.000000,1,rep3,10
000000270883.png,resize_0.5,1.000000,1,rep3,10
000000270883.png,resize_0.25,1.000000,1,rep3,10
000000270883.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000270908.png,none,1.000000,1,rep3,10
000000270908.png,center_crop_0.5,1.000000,1,rep3,10
000000270908.png,center_crop_0.75,1.000000,1,rep3,10
000000270908.png,random_crop_0.5,0.700000,0,rep3,10
000000270908.png,jpeg_q30,1.000000,1,rep3,10
000000270908.png,jpeg_q10,1.000000,1,rep3,10
000000270908.png,jpeg_q5,1.000000,1,rep3,10
000000270908.png,resize_0.5,1.000000,1,rep3,10
000000270908.png,resize_0.25,1.000000,1,rep3,10
000000270908.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000271116.png,none,1.000000,1,rep3,10
000000271116.png,center_crop_0.5,1.000000,1,rep3,10
000000271116.png,center_crop_0.75,1.000000,1,rep3,10
000000271116.png,random_crop_0.5,0.800000,0,rep3,10
000000271116.png,jpeg_q30,1.000000,1,rep3,10
000000271116.png,jpeg_q10,1.000000,1,rep3,10
000000271116.png,jpeg_q5,1.000000,1,rep3,10
000000271116.png,resize_0.5,1.000000,1,rep3,10
000000271116.png,resize_0.25,1.000000,1,rep3,10
000000271116.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000271402.png,none,1.000000,1,rep3,10
000000271402.png,center_crop_0.5,1.000000,1,rep3,10
