image,attack,bit_accuracy,message_success,ecc_mode,payload_bits
000000000139.png,none,1.000000,1,rep4_interleaved,8
000000000139.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000000139.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000000139.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000000139.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000000285.png,none,1.000000,1,rep4_interleaved,8
000000000285.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000000285.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000000285.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000000285.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000000632.png,none,1.000000,1,rep4_interleaved,8
000000000632.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000000632.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000000632.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000000632.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000000724.png,none,1.000000,1,rep4_interleaved,8
000000000724.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000000724.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000000724.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000000724.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000000776.png,none,1.000000,1,rep4_interleaved,8
000000000776.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000000776.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000000776.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000000776.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000000785.png,none,1.000000,1,rep4_interleaved,8
000000000785.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000000785.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000000785.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000000785.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000000802.png,none,1.000000,1,rep4_interleaved,8
000000000802.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000000802.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000000802.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000000802.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000000872.png,none,1.000000,1,rep4_interleaved,8
000000000872.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000000872.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000000872.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000000872.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000000885.png,none,1.000000,1,rep4_interleaved,8
000000000885.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000000885.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000000885.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000000885.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001000.png,none,1.000000,1,rep4_interleaved,8
000000001000.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001000.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001000.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000001000.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001268.png,none,1.000000,1,rep4_interleaved,8
000000001268.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001268.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001268.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000001268.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001296.png,none,1.000000,1,rep4_interleaved,8
000000001296.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001296.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001296.png,random_crop_0.5,1.000000,1,rep4_interleaved,8
000000001296.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001353.png,none,1.000000,1,rep4_interleaved,8
000000001353.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001353.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001353.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000001353.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001425.png,none,1.000000,1,rep4_interleaved,8
000000001425.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001425.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001425.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000001425.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001490.png,none,1.000000,1,rep4_interleaved,8
000000001490.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001490.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001490.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000001490.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001503.png,none,1.000000,1,rep4_interleaved,8
000000001503.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001503.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001503.png,random_crop_0.5,1.000000,1,rep4_interleaved,8
000000001503.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001532.png,none,1.000000,1,rep4_interleaved,8
000000001532.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001532.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001532.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000001532.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001584.png,none,1.000000,1,rep4_interleaved,8
000000001584.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001584.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001584.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000001584.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001675.png,none,1.000000,1,rep4_interleaved,8
000000001675.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001675.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001675.png,random_crop_0.5,1.000000,1,rep4_interleaved,8
000000001675.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001761.png,none,1.000000,1,rep4_interleaved,8
000000001761.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001761.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001761.png,random_crop_0.5,0.875000,0,rep4_interleaved,8
000000001761.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001818.png,none,1.000000,1,rep4_interleaved,8
000000001818.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001818.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001818.png,random_crop_0.5,0.625000,0,rep4_interleaved,8
000000001818.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000001993.png,none,1.000000,1,rep4_interleaved,8
000000001993.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000001993.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000001993.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000001993.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000002006.png,none,1.000000,1,rep4_interleaved,8
000000002006.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000002006.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000002006.png,random_crop_0.5,1.000000,1,rep4_interleaved,8
000000002006.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000002149.png,none,1.000000,1,rep4_interleaved,8
000000002149.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000002149.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000002149.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000002149.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000002153.png,none,1.000000,1,rep4_interleaved,8
000000002153.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000002153.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000002153.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000002153.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000002157.png,none,1.000000,1,rep4_interleaved,8
000000002157.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000002157.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
