attack,mean_bit_accuracy,message_success_rate,num_samples,method
flip_h,1.000000,1.0000,334,angle_scan
flip_v,1.000000,1.0000,334,angle_scan
none,1.000000,1.0000,334,angle_scan
rotate_0,1.000000,1.0000,6,angle_scan
rotate_1,1.000000,1.0000,2,angle_scan
rotate_10,0.775000,0.0000,5,angle_scan
rotate_100,1.000000,1.0000,4,angle_scan
rotate_101,0.968750,0.0000,1,angle_scan
rotate_102,0.937500,0.0000,2,angle_scan
rotate_103,0.950000,0.0000,5,angle_scan
rotate_104,0.937500,0.0000,1,angle_scan
rotate_105,0.958333,0.0000,3,angle_scan
rotate_106,0.937500,0.0000,2,angle_scan
rotate_107,0.898438,0.0000,4,angle_scan
rotate_108,0.864583,0.0000,3,angle_scan
rotate_11,0.786458,0.0000,6,angle_scan
rotate_110,0.812500,0.0000,3,angle_scan
rotate_111,0.770833,0.0000,3,angle_scan
rotate_112,0.825893,0.0000,7,angle_scan
rotate_113,0.882812,0.0000,4,angle_scan
rotate_114,0.895833,0.0000,3,angle_scan
rotate_115,0.916667,0.0000,3,angle_scan
rotate_116,0.925000,0.0000,5,angle_scan
rotate_117,0.958333,0.3333,3,angle_scan
rotate_118,0.984375,0.5000,2,angle_scan
rotate_119,0.968750,0.0000,2,angle_scan
rotate_12,0.890625,0.0000,6,angle_scan
rotate_120,1.000000,1.0000,1,angle_scan
rotate_121,1.000000,1.0000,2,angle_scan
rotate_122,0.968750,0.0000,3,angle_scan
rotate_123,0.937500,0.0000,1,angle_scan
rotate_124,0.937500,0.0000,2,angle_scan
rotate_125,0.927083,0.0000,3,angle_scan
rotate_126,0.953125,0.0000,4,angle_scan
rotate_127,0.890625,0.0000,4,angle_scan
rotate_128,0.822917,0.0000,3,angle_scan
rotate_129,0.760417,0.0000,3,angle_scan
rotate_13,0.875000,0.0000,1,angle_scan
rotate_130,0.765625,0.0000,2,angle_scan
rotate_131,0.796875,0.0000,2,angle_scan
rotate_132,0.875000,0.0000,1,angle_scan
rotate_133,0.843750,0.0000,3,angle_scan
rotate_134,0.843750,0.0000,2,angle_scan
rotate_135,0.906250,0.0000,1,angle_scan
rotate_136,0.947917,0.0000,3,angle_scan
rotate_137,0.937500,0.0000,1,angle_scan
rotate_138,1.000000,1.0000,2,angle_scan
rotate_139,0.984375,0.5000,2,angle_scan
rotate_14,0.919643,0.0000,7,angle_scan
rotate_140,1.000000,1.0000,1,angle_scan
rotate_141,1.000000,1.0000,1,angle_scan
rotate_142,0.947917,0.0000,3,angle_scan
rotate_143,0.947917,0.0000,3,angle_scan
rotate_144,0.928571,0.0000,7,angle_scan
rotate_145,0.937500,0.0000,1,angle_scan
rotate_146,0.937500,0.0000,5,angle_scan
rotate_147,0.875000,0.0000,5,angle_scan
rotate_148,0.864583,0.0000,3,angle_scan
rotate_149,0.781250,0.0000,2,angle_scan
rotate_15,0.968750,0.0000,1,angle_scan
rotate_150,0.760417,0.0000,3,angle_scan
rotate_151,0.804688,0.0000,4,angle_scan
rotate_152,0.812500,0.0000,3,angle_scan
rotate_153,0.887500,0.0000,5,angle_scan
rotate_155,0.937500,0.0000,1,angle_scan
rotate_156,0.921875,0.0000,4,angle_scan
rotate_157,0.960938,0.2500,4,angle_scan
rotate_158,0.968750,0.0000,1,angle_scan
rotate_159,0.988281,0.6250,8,angle_scan
