image,attack,method,bit_accuracy,message_success
000000078959.png,none,angle_scan,1.0,1
000000078959.png,rotate_252,angle_scan,0.84375,0
000000078959.png,rotate_235,angle_scan,0.9375,0
000000078959.png,rotate_344,angle_scan,0.9375,0
000000078959.png,flip_h,angle_scan,1.0,1
000000078959.png,flip_v,angle_scan,1.0,1
000000078959.png,rotate_45_crop_50,angle_scan,0.71875,0
000000079014.png,none,angle_scan,1.0,1
000000079014.png,rotate_169,angle_scan,0.78125,0
000000079014.png,rotate_187,angle_scan,0.84375,0
000000079014.png,rotate_270,angle_scan,0.75,0
000000079014.png,flip_h,angle_scan,1.0,1
000000079014.png,flip_v,angle_scan,1.0,1
000000079014.png,rotate_45_crop_50,angle_scan,0.75,0
000000079031.png,none,angle_scan,1.0,1
000000079031.png,rotate_174,angle_scan,0.84375,0
000000079031.png,rotate_50,angle_scan,0.75,0
000000079031.png,rotate_54,angle_scan,0.90625,0
000000079031.png,flip_h,angle_scan,1.0,1
000000079031.png,flip_v,angle_scan,1.0,1
000000079031.png,rotate_45_crop_50,angle_scan,0.75,0
000000079034.png,none,angle_scan,1.0,1
000000079034.png,rotate_306,angle_scan,0.90625,0
000000079034.png,rotate_134,angle_scan,0.84375,0
000000079034.png,rotate_20,angle_scan,1.0,1
000000079034.png,flip_h,angle_scan,1.0,1
000000079034.png,flip_v,angle_scan,1.0,1
000000079034.png,rotate_45_crop_50,angle_scan,0.75,0
000000079144.png,none,angle_scan,1.0,1
000000079144.png,rotate_273,angle_scan,0.875,0
000000079144.png,rotate_88,angle_scan,0.875,0
000000079144.png,rotate_315,angle_scan,0.9375,0
000000079144.png,flip_h,angle_scan,1.0,1
000000079144.png,flip_v,angle_scan,1.0,1
000000079144.png,rotate_45_crop_50,angle_scan,0.78125,0
000000079188.png,none,angle_scan,1.0,1
000000079188.png,rotate_345,angle_scan,0.96875,0
000000079188.png,rotate_52,angle_scan,0.84375,0
000000079188.png,rotate_339,angle_scan,1.0,1
000000079188.png,flip_h,angle_scan,1.0,1
000000079188.png,flip_v,angle_scan,1.0,1
000000079188.png,rotate_45_crop_50,angle_scan,0.71875,0
000000079229.png,none,angle_scan,1.0,1
000000079229.png,rotate_263,angle_scan,0.9375,0
000000079229.png,rotate_34,angle_scan,0.875,0
000000079229.png,rotate_205,angle_scan,0.9375,0
000000079229.png,flip_h,angle_scan,1.0,1
000000079229.png,flip_v,angle_scan,1.0,1
000000079229.png,rotate_45_crop_50,angle_scan,0.75,0
000000079408.png,none,angle_scan,1.0,1
000000079408.png,rotate_1,angle_scan,1.0,1
000000079408.png,rotate_53,angle_scan,0.96875,0
000000079408.png,rotate_105,angle_scan,0.96875,0
000000079408.png,flip_h,angle_scan,1.0,1
000000079408.png,flip_v,angle_scan,1.0,1
000000079408.png,rotate_45_crop_50,angle_scan,0.75,0
000000079565.png,none,angle_scan,1.0,1
000000079565.png,rotate_190,angle_scan,0.8125,0
000000079565.png,rotate_217,angle_scan,0.9375,0
000000079565.png,rotate_43,angle_scan,0.96875,0
000000079565.png,flip_h,angle_scan,1.0,1
000000079565.png,flip_v,angle_scan,1.0,1
000000079565.png,rotate_45_crop_50,angle_scan,0.78125,0
000000079588.png,none,angle_scan,1.0,1
000000079588.png,rotate_269,angle_scan,0.8125,0
000000079588.png,rotate_350,angle_scan,0.75,0
000000079588.png,rotate_303,angle_scan,0.96875,0
000000079588.png,flip_h,angle_scan,1.0,1
000000079588.png,flip_v,angle_scan,1.0,1
000000079588.png,rotate_45_crop_50,angle_scan,0.75,0
000000079651.png,none,angle_scan,1.0,1
000000079651.png,rotate_214,angle_scan,0.90625,0
000000079651.png,rotate_251,angle_scan,0.8125,0
000000079651.png,rotate_189,angle_scan,0.875,0
000000079651.png,flip_h,angle_scan,1.0,1
000000079651.png,flip_v,angle_scan,1.0,1
000000079651.png,rotate_45_crop_50,angle_scan,0.8125,0
