image,attack,mode,bit_accuracy,message_success
000000000139.png,none,A_base,1.0,1
000000000139.png,none,B_ms,0.75,0
000000000139.png,none,C_ms_geo,0.75,0
000000000139.png,none,D_ecc,1.0,1
000000000139.png,none,E_ms_ecc,1.0,1
000000000139.png,none,F_ms_ecc_geo,1.0,1
000000000139.png,center_crop_0.5,A_base,0.5,0
000000000139.png,center_crop_0.5,B_ms,0.5,0
000000000139.png,center_crop_0.5,C_ms_geo,0.5,0
000000000139.png,center_crop_0.5,D_ecc,1.0,1
000000000139.png,center_crop_0.5,E_ms_ecc,1.0,1
000000000139.png,center_crop_0.5,F_ms_ecc_geo,1.0,1
000000000139.png,random_crop_0.5,A_base,0.5,0
000000000139.png,random_crop_0.5,B_ms,0.5,0
000000000139.png,random_crop_0.5,C_ms_geo,0.5,0
000000000139.png,random_crop_0.5,D_ecc,1.0,1
000000000139.png,random_crop_0.5,E_ms_ecc,1.0,1
000000000139.png,random_crop_0.5,F_ms_ecc_geo,1.0,1
000000000139.png,jpeg_q30,A_base,1.0,1
000000000139.png,jpeg_q30,B_ms,0.78125,0
000000000139.png,jpeg_q30,C_ms_geo,0.78125,0
000000000139.png,jpeg_q30,D_ecc,1.0,1
000000000139.png,jpeg_q30,E_ms_ecc,1.0,1
000000000139.png,jpeg_q30,F_ms_ecc_geo,1.0,1
000000000139.png,resize_0.25,A_base,0.84375,0
000000000139.png,resize_0.25,B_ms,0.625,0
000000000139.png,resize_0.25,C_ms_geo,0.625,0
000000000139.png,resize_0.25,D_ecc,0.875,0
000000000139.png,resize_0.25,E_ms_ecc,0.875,0
000000000139.png,resize_0.25,F_ms_ecc_geo,0.875,0
000000000139.png,rotate_73,A_base,0.5,0
000000000139.png,rotate_73,B_ms,0.5,0
000000000139.png,rotate_73,C_ms_geo,0.84375,0
000000000139.png,rotate_73,D_ecc,1.0,1
000000000139.png,rotate_73,E_ms_ecc,1.0,1
000000000139.png,rotate_73,F_ms_ecc_geo,1.0,1
000000000139.png,flip_h,A_base,0.65625,0
000000000139.png,flip_h,B_ms,0.65625,0
000000000139.png,flip_h,C_ms_geo,0.65625,0
000000000139.png,flip_h,D_ecc,0.875,0
000000000139.png,flip_h,E_ms_ecc,0.875,0
000000000139.png,flip_h,F_ms_ecc_geo,0.875,0
000000000285.png,none,A_base,1.0,1
000000000285.png,none,B_ms,1.0,1
000000000285.png,none,C_ms_geo,1.0,1
000000000285.png,none,D_ecc,1.0,1
000000000285.png,none,E_ms_ecc,1.0,1
000000000285.png,none,F_ms_ecc_geo,1.0,1
000000000285.png,center_crop_0.5,A_base,0.5,0
000000000285.png,center_crop_0.5,B_ms,0.5,0
000000000285.png,center_crop_0.5,C_ms_geo,0.5,0
000000000285.png,center_crop_0.5,D_ecc,1.0,1
000000000285.png,center_crop_0.5,E_ms_ecc,1.0,1
000000000285.png,center_crop_0.5,F_ms_ecc_geo,1.0,1
000000000285.png,random_crop_0.5,A_base,0.46875,0
000000000285.png,random_crop_0.5,B_ms,0.46875,0
000000000285.png,random_crop_0.5,C_ms_geo,0.46875,0
000000000285.png,random_crop_0.5,D_ecc,0.875,0
000000000285.png,random_crop_0.5,E_ms_ecc,0.875,0
000000000285.png,random_crop_0.5,F_ms_ecc_geo,0.875,0
000000000285.png,jpeg_q30,A_base,1.0,1
000000000285.png,jpeg_q30,B_ms,0.59375,0
000000000285.png,jpeg_q30,C_ms_geo,0.59375,0
000000000285.png,jpeg_q30,D_ecc,1.0,1
000000000285.png,jpeg_q30,E_ms_ecc,1.0,1
000000000285.png,jpeg_q30,F_ms_ecc_geo,1.0,1
000000000285.png,resize_0.25,A_base,0.875,0
000000000285.png,resize_0.25,B_ms,0.875,0
000000000285.png,resize_0.25,C_ms_geo,0.875,0
000000000285.png,resize_0.25,D_ecc,0.875,0
000000000285.png,resize_0.25,E_ms_ecc,0.875,0
000000000285.png,resize_0.25,F_ms_ecc_geo,0.875,0
000000000285.png,rotate_73,A_base,0.5,0
000000000285.png,rotate_73,B_ms,0.5,0
000000000285.png,rotate_73,C_ms_geo,0.875,0
000000000285.png,rotate_73,D_ecc,1.0,1
000000000285.png,rotate_73,E_ms_ecc,1.0,1
000000000285.png,rotate_73,F_ms_ecc_geo,1.0,1
000000000285.png,flip_h,A_base,0.625,0
000000000285.png,flip_h,B_ms,0.625,0
000000000285.png,flip_h,C_ms_geo,0.625,0
000000000285.png,flip_h,D_ecc,0.875,0
000000000285.png,flip_h,E_ms_ecc,0.875,0
000000000285.png,flip_h,F_ms_ecc_geo,0.875,0
000000000632.png,none,A_base,1.0,1
000000000632.png,none,B_ms,0.71875,0
000000000632.png,none,C_ms_geo,0.71875,0
000000000632.png,none,D_ecc,1.0,1
000000000632.png,none,E_ms_ecc,1.0,1
000000000632.png,none,F_ms_ecc_geo,1.0,1
000000000632.png,center_crop_0.5,A_base,0.5,0
000000000632.png,center_crop_0.5,B_ms,0.5,0
000000000632.png,center_crop_0.5,C_ms_geo,0.5,0
000000000632.png,center_crop_0.5,D_ecc,1.0,1
000000000632.png,center_crop_0.5,E_ms_ecc,1.0,1
000000000632.png,center_crop_0.5,F_ms_ecc_geo,1.0,1
000000000632.png,random_crop_0.5,A_base,0.5625,0
000000000632.png,random_crop_0.5,B_ms,0.5625,0
000000000632.png,random_crop_0.5,C_ms_geo,0.5625,0
000000000632.png,random_crop_0.5,D_ecc,1.0,1
000000000632.png,random_crop_0.5,E_ms_ecc,0.75,0
000000000632.png,random_crop_0.5,F_ms_ecc_geo,0.75,0
000000000632.png,jpeg_q30,A_base,1.0,1
000000000632.png,jpeg_q30,B_ms,1.0,1
000000000632.png,jpeg_q30,C_ms_geo,1.0,1
000000000632.png,jpeg_q30,D_ecc,1.0,1
000000000632.png,jpeg_q30,E_ms_ecc,1.0,1
000000000632.png,jpeg_q30,F_ms_ecc_geo,1.0,1
000000000632.png,resize_0.25,A_base,0.96875,0
000000000632.png,resize_0.25,B_ms,0.96875,0
000000000632.png,resize_0.25,C_ms_geo,0.96875,0
000000000632.png,resize_0.25,D_ecc,0.875,0
000000000632.png,resize_0.25,E_ms_ecc,0.875,0
000000000632.png,resize_0.25,F_ms_ecc_geo,0.875,0
000000000632.png,rotate_73,A_base,0.4375,0
