attack,mode,mean_bit_accuracy,message_success_rate,num_samples
center_crop_0.5,A_base,0.502500,0.0000,50
center_crop_0.5,B_ms,0.511875,0.0200,50
center_crop_0.5,C_ms_geo,0.511875,0.0200,50
center_crop_0.5,D_ecc,0.995000,0.9600,50
center_crop_0.5,E_ms_ecc,0.995000,0.9600,50
center_crop_0.5,F_ms_ecc_geo,0.995000,0.9600,50
flip_h,A_base,0.630625,0.0000,50
flip_h,B_ms,0.615625,0.0000,50
flip_h,C_ms_geo,0.615625,0.0000,50
flip_h,D_ecc,0.877500,0.1800,50
flip_h,E_ms_ecc,0.877500,0.1800,50
flip_h,F_ms_ecc_geo,0.877500,0.1800,50
jpeg_q30,A_base,0.998125,0.9400,50
jpeg_q30,B_ms,0.838125,0.4800,50
jpeg_q30,C_ms_geo,0.838125,0.4800,50
jpeg_q30,D_ecc,1.000000,1.0000,50
jpeg_q30,E_ms_ecc,1.000000,1.0000,50
jpeg_q30,F_ms_ecc_geo,1.000000,1.0000,50
none,A_base,1.000000,1.0000,50
none,B_ms,0.876875,0.5200,50
none,C_ms_geo,0.876875,0.5200,50
none,D_ecc,1.000000,1.0000,50
none,E_ms_ecc,1.000000,1.0000,50
none,F_ms_ecc_geo,1.000000,1.0000,50
random_crop_0.5,A_base,0.501250,0.0000,50
random_crop_0.5,B_ms,0.590625,0.0400,50
random_crop_0.5,C_ms_geo,0.590625,0.0400,50
random_crop_0.5,D_ecc,0.907500,0.6600,50
random_crop_0.5,E_ms_ecc,0.852500,0.5000,50
random_crop_0.5,F_ms_ecc_geo,0.852500,0.5000,50
resize_0.25,A_base,0.944375,0.1000,50
resize_0.25,B_ms,0.884375,0.1000,50
resize_0.25,C_ms_geo,0.884375,0.1000,50
resize_0.25,D_ecc,0.875000,0.0200,50
resize_0.25,E_ms_ecc,0.875000,0.0200,50
resize_0.25,F_ms_ecc_geo,0.875000,0.0200,50
rotate_73,A_base,0.433125,0.0000,50
rotate_73,B_ms,0.465000,0.0000,50
rotate_73,C_ms_geo,0.859375,0.0000,50
rotate_73,D_ecc,1.000000,1.0000,50
rotate_73,E_ms_ecc,1.000000,1.0000,50
rotate_73,F_ms_ecc_geo,1.000000,1.0000,50
