image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000157098.png,none,single_scale,1.000000,1,9.9789,9.9789,1.0
000000157098.png,center_crop_0.5,single_scale,0.500000,0,9.9789,6.9539,1.0
000000157098.png,center_crop_0.75,single_scale,0.531250,0,9.9789,7.8954,1.0
000000157098.png,random_crop_0.5,single_scale,0.500000,0,9.9789,7.9434,1.0
000000157098.png,jpeg_q30,single_scale,1.000000,1,9.9789,12.9640,1.0
000000157124.png,none,single_scale,1.000000,1,10.3718,10.3718,1.0
000000157124.png,center_crop_0.5,single_scale,0.500000,0,10.3718,6.8374,1.0
000000157124.png,center_crop_0.75,single_scale,0.531250,0,10.3718,7.7397,1.0
000000157124.png,random_crop_0.5,single_scale,0.468750,0,10.3718,7.6922,1.0
000000157124.png,jpeg_q30,single_scale,1.000000,1,10.3718,12.9223,1.0
000000157138.png,none,single_scale,1.000000,1,10.2178,10.2178,1.0
000000157138.png,center_crop_0.5,single_scale,0.500000,0,10.2178,6.9648,1.0
000000157138.png,center_crop_0.75,single_scale,0.531250,0,10.2178,7.5012,1.0
000000157138.png,random_crop_0.5,single_scale,0.562500,0,10.2178,6.9389,1.0
000000157138.png,jpeg_q30,single_scale,0.968750,0,10.2178,12.9847,1.0
000000157213.png,none,single_scale,1.000000,1,10.0141,10.0141,1.0
000000157213.png,center_crop_0.5,single_scale,0.500000,0,10.0141,7.2195,1.0
000000157213.png,center_crop_0.75,single_scale,0.562500,0,10.0141,8.0145,1.0
000000157213.png,random_crop_0.5,single_scale,0.593750,0,10.0141,7.8068,1.0
000000157213.png,jpeg_q30,single_scale,1.000000,1,10.0141,12.7103,1.0
000000157365.png,none,single_scale,1.000000,1,10.5196,10.5196,1.0
000000157365.png,center_crop_0.5,single_scale,0.500000,0,10.5196,6.7222,1.0
000000157365.png,center_crop_0.75,single_scale,0.531250,0,10.5196,8.5194,1.0
000000157365.png,random_crop_0.5,single_scale,0.562500,0,10.5196,9.3375,1.0
000000157365.png,jpeg_q30,single_scale,1.000000,1,10.5196,13.0388,1.0
000000157390.png,none,single_scale,1.000000,1,10.0899,10.0899,1.0
000000157390.png,center_crop_0.5,single_scale,0.500000,0,10.0899,6.4006,1.0
000000157390.png,center_crop_0.75,single_scale,0.531250,0,10.0899,6.6135,1.0
000000157390.png,random_crop_0.5,single_scale,0.500000,0,10.0899,6.4123,1.0
000000157390.png,jpeg_q30,single_scale,1.000000,1,10.0899,12.6439,1.0
000000157418.png,none,single_scale,1.000000,1,9.9926,9.9926,1.0
000000157418.png,center_crop_0.5,single_scale,0.500000,0,9.9926,6.6700,1.0
000000157418.png,center_crop_0.75,single_scale,0.531250,0,9.9926,7.6445,1.0
000000157418.png,random_crop_0.5,single_scale,0.468750,0,9.9926,7.2558,1.0
000000157418.png,jpeg_q30,single_scale,1.000000,1,9.9926,12.9448,1.0
000000157601.png,none,single_scale,1.000000,1,10.1618,10.1618,1.0
000000157601.png,center_crop_0.5,single_scale,0.500000,0,10.1618,7.0700,1.0
000000157601.png,center_crop_0.75,single_scale,0.500000,0,10.1618,8.1034,1.0
000000157601.png,random_crop_0.5,single_scale,0.500000,0,10.1618,6.9502,1.0
000000157601.png,jpeg_q30,single_scale,1.000000,1,10.1618,12.9198,1.0
000000157756.png,none,single_scale,1.000000,1,10.9578,10.9578,1.0
000000157756.png,center_crop_0.5,single_scale,0.500000,0,10.9578,7.9446,1.0
000000157756.png,center_crop_0.75,single_scale,0.531250,0,10.9578,8.7459,1.0
000000157756.png,random_crop_0.5,single_scale,0.593750,0,10.9578,9.4924,1.0
000000157756.png,jpeg_q30,single_scale,1.000000,1,10.9578,12.9026,1.0
000000157767.png,none,single_scale,1.000000,1,10.3895,10.3895,1.0
000000157767.png,center_crop_0.5,single_scale,0.500000,0,10.3895,6.5889,1.0
000000157767.png,center_crop_0.75,single_scale,0.531250,0,10.3895,8.1240,1.0
000000157767.png,random_crop_0.5,single_scale,0.500000,0,10.3895,7.4968,1.0
000000157767.png,jpeg_q30,single_scale,0.968750,0,10.3895,12.8962,1.0
000000157807.png,none,single_scale,1.000000,1,9.7878,9.7878,1.0
000000157807.png,center_crop_0.5,single_scale,0.500000,0,9.7878,6.8718,1.0
000000157807.png,center_crop_0.75,single_scale,0.531250,0,9.7878,7.4066,1.0
000000157807.png,random_crop_0.5,single_scale,0.468750,0,9.7878,7.5456,1.0
000000157807.png,jpeg_q30,single_scale,1.000000,1,9.7878,12.8656,1.0
000000157847.png,none,single_scale,1.000000,1,9.7438,9.7438,1.0
000000157847.png,center_crop_0.5,single_scale,0.500000,0,9.7438,6.6602,1.0
000000157847.png,center_crop_0.75,single_scale,0.562500,0,9.7438,7.5293,1.0
