image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000000139.png,none,single_scale,1.0,1,10.0038,10.0038,1.0
000000000139.png,center_crop_0.5,single_scale,0.5,0,10.0038,7.1426,1.0
000000000139.png,center_crop_0.75,single_scale,0.53125,0,10.0038,8.222,1.0
000000000139.png,random_crop_0.5,single_scale,0.5,0,10.0038,8.589,1.0
000000000139.png,jpeg_q30,single_scale,1.0,1,10.0038,12.9747,1.0
000000000285.png,none,single_scale,1.0,1,10.3401,10.3401,1.0
000000000285.png,center_crop_0.5,single_scale,0.5,0,10.3401,6.6893,1.0
000000000285.png,center_crop_0.75,single_scale,0.5,0,10.3401,7.3476,1.0
000000000285.png,random_crop_0.5,single_scale,0.46875,0,10.3401,6.518,1.0
000000000285.png,jpeg_q30,single_scale,1.0,1,10.3401,12.8681,1.0
000000000632.png,none,single_scale,1.0,1,10.2593,10.2593,1.0
000000000632.png,center_crop_0.5,single_scale,0.5,0,10.2593,7.0249,1.0
000000000632.png,center_crop_0.75,single_scale,0.53125,0,10.2593,8.2687,1.0
000000000632.png,random_crop_0.5,single_scale,0.5625,0,10.2593,7.0218,1.0
000000000632.png,jpeg_q30,single_scale,1.0,1,10.2593,13.0,1.0
000000000724.png,none,single_scale,1.0,1,10.0161,10.0161,1.0
000000000724.png,center_crop_0.5,single_scale,0.5,0,10.0161,6.736,1.0
000000000724.png,center_crop_0.75,single_scale,0.53125,0,10.0161,7.7149,1.0
000000000724.png,random_crop_0.5,single_scale,0.53125,0,10.0161,7.082,1.0
000000000724.png,jpeg_q30,single_scale,1.0,1,10.0161,12.9214,1.0
000000000776.png,none,single_scale,1.0,1,10.3299,10.3299,1.0
000000000776.png,center_crop_0.5,single_scale,0.5,0,10.3299,7.6146,1.0
000000000776.png,center_crop_0.75,single_scale,0.5,0,10.3299,8.777,1.0
000000000776.png,random_crop_0.5,single_scale,0.59375,0,10.3299,9.4127,1.0
000000000776.png,jpeg_q30,single_scale,1.0,1,10.3299,13.0303,1.0
000000000785.png,none,single_scale,1.0,1,10.7632,10.7632,1.0
000000000785.png,center_crop_0.5,single_scale,0.5,0,10.7632,6.6053,1.0
000000000785.png,center_crop_0.75,single_scale,0.53125,0,10.7632,7.643,1.0
000000000785.png,random_crop_0.5,single_scale,0.5,0,10.7632,7.3903,1.0
000000000785.png,jpeg_q30,single_scale,1.0,1,10.7632,12.9946,1.0
000000000802.png,none,single_scale,1.0,1,9.7373,9.7373,1.0
000000000802.png,center_crop_0.5,single_scale,0.5,0,9.7373,6.6941,1.0
000000000802.png,center_crop_0.75,single_scale,0.53125,0,9.7373,7.5142,1.0
000000000802.png,random_crop_0.5,single_scale,0.5,0,9.7373,7.317,1.0
000000000802.png,jpeg_q30,single_scale,1.0,1,9.7373,12.9885,1.0
000000000872.png,none,single_scale,1.0,1,10.2025,10.2025,1.0
