image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000229997.png,none,single_scale,1.000000,1,10.4046,10.4046,1.0
000000229997.png,none,multi_scale,1.000000,1,10.4046,10.4046,1.00
000000229997.png,center_crop_0.5,single_scale,0.500000,0,10.4046,7.0780,1.0
000000229997.png,center_crop_0.5,multi_scale,1.000000,1,10.4046,7.0780,0.50
000000229997.png,center_crop_0.75,single_scale,0.531250,0,10.4046,7.7333,1.0
000000229997.png,center_crop_0.75,multi_scale,1.000000,1,10.4046,7.7333,0.75
000000229997.png,random_crop_0.5,single_scale,0.593750,0,10.4046,7.5019,1.0
000000229997.png,random_crop_0.5,multi_scale,0.593750,0,10.4046,7.5019,1.00
000000229997.png,jpeg_q30,single_scale,1.000000,1,10.4046,12.8770,1.0
000000229997.png,jpeg_q30,multi_scale,1.000000,1,10.4046,12.8770,1.00
000000230008.png,none,single_scale,1.000000,1,10.1336,10.1336,1.0
000000230008.png,none,multi_scale,1.000000,1,10.1336,10.1336,1.00
000000230008.png,center_crop_0.5,single_scale,0.500000,0,10.1336,6.6123,1.0
000000230008.png,center_crop_0.5,multi_scale,1.000000,1,10.1336,6.6123,0.50
000000230008.png,center_crop_0.75,single_scale,0.531250,0,10.1336,7.2895,1.0
000000230008.png,center_crop_0.75,multi_scale,1.000000,1,10.1336,7.2895,0.75
000000230008.png,random_crop_0.5,single_scale,0.468750,0,10.1336,7.0632,1.0
000000230008.png,random_crop_0.5,multi_scale,0.687500,0,10.1336,7.0632,0.50
000000230008.png,jpeg_q30,single_scale,1.000000,1,10.1336,12.8377,1.0
000000230008.png,jpeg_q30,multi_scale,1.000000,1,10.1336,12.8377,1.00
000000230166.png,none,single_scale,1.000000,1,9.9463,9.9463,1.0
000000230166.png,none,multi_scale,1.000000,1,9.9463,9.9463,1.00
000000230166.png,center_crop_0.5,single_scale,0.500000,0,9.9463,7.1124,1.0
000000230166.png,center_crop_0.5,multi_scale,1.000000,1,9.9463,7.1124,0.50
000000230166.png,center_crop_0.75,single_scale,0.531250,0,9.9463,8.1681,1.0
000000230166.png,center_crop_0.75,multi_scale,1.000000,1,9.9463,8.1681,0.75
000000230166.png,random_crop_0.5,single_scale,0.468750,0,9.9463,7.1642,1.0
000000230166.png,random_crop_0.5,multi_scale,0.750000,0,9.9463,7.1642,0.50
000000230166.png,jpeg_q30,single_scale,1.000000,1,9.9463,12.9855,1.0
000000230166.png,jpeg_q30,multi_scale,1.000000,1,9.9463,12.9855,1.00
000000230362.png,none,single_scale,1.000000,1,10.0798,10.0798,1.0
000000230362.png,none,multi_scale,1.000000,1,10.0798,10.0798,1.00
000000230362.png,center_crop_0.5,single_scale,0.500000,0,10.0798,6.5739,1.0
000000230362.png,center_crop_0.5,multi_scale,1.000000,1,10.0798,6.5739,0.50
000000230362.png,center_crop_0.75,single_scale,0.531250,0,10.0798,8.0873,1.0
000000230362.png,center_crop_0.75,multi_scale,1.000000,1,10.0798,8.0873,0.75
000000230362.png,random_crop_0.5,single_scale,0.531250,0,10.0798,6.8418,1.0
000000230362.png,random_crop_0.5,multi_scale,0.687500,0,10.0798,6.8418,0.50
000000230362.png,jpeg_q30,single_scale,1.000000,1,10.0798,13.0410,1.0
000000230362.png,jpeg_q30,multi_scale,1.000000,1,10.0798,13.0410,1.00
000000230450.png,none,single_scale,1.000000,1,10.1616,10.1616,1.0
000000230450.png,none,multi_scale,1.000000,1,10.1616,10.1616,1.00
000000230450.png,center_crop_0.5,single_scale,0.500000,0,10.1616,6.7062,1.0
000000230450.png,center_crop_0.5,multi_scale,1.000000,1,10.1616,6.7062,0.50
000000230450.png,center_crop_0.75,single_scale,0.531250,0,10.1616,7.5910,1.0
000000230450.png,center_crop_0.75,multi_scale,1.000000,1,10.1616,7.5910,0.75
000000230450.png,random_crop_0.5,single_scale,0.593750,0,10.1616,7.7669,1.0
000000230450.png,random_crop_0.5,multi_scale,0.750000,0,10.1616,7.7669,0.50
000000230450.png,jpeg_q30,single_scale,1.000000,1,10.1616,12.9742,1.0
000000230450.png,jpeg_q30,multi_scale,1.000000,1,10.1616,12.9742,1.00
000000230819.png,none,single_scale,1.000000,1,9.8498,9.8498,1.0
000000230819.png,none,multi_scale,1.000000,1,9.8498,9.8498,1.00
000000230819.png,center_crop_0.5,single_scale,0.500000,0,9.8498,7.0133,1.0
000000230819.png,center_crop_0.5,multi_scale,1.000000,1,9.8498,7.0133,0.50
