image,scheme,selector,area_percent,block_count,scaling_w,attack,message,predicted,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
000000005529.png,fixed_q30_5block,fixed_anchor,30,5,2.5000,none,01100001111011010011110000100010,01100001110111010011110000100010,0.937500,0,12.4868,12.4868,20194,0
000000005529.png,fixed_q30_5block,fixed_anchor,30,5,2.5000,remove_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.4868,13.6539,14937,0
000000005529.png,fixed_q30_5block,fixed_anchor,30,5,2.5000,black_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.4868,6.5217,40150,0
000000005529.png,fixed_q30_5block,fixed_anchor,30,5,2.5000,crop_top_left_50,01100001111011010011110000100010,00000000000000000000000000000000,0.531250,0,12.4868,6.9890,13795,0
000000005529.png,fixed_q30_5block,fixed_anchor,30,5,2.5000,crop_bottom_right_50,01100001111011010011110000100010,00000000000000000000000000000000,0.531250,0,12.4868,9.3367,13793,0
000000005529.png,fixed_q30_5block,fixed_anchor,30,5,2.5000,crop_center_50,01100001111011010011110000100010,00000000000000000000000000000000,0.531250,0,12.4868,8.4578,15252,0
000000005529.png,fixed_q30_5block,fixed_anchor,30,5,2.5000,jpeg_q30,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.4868,14.8989,21242,0
000000005529.png,fixed_q30_5block,fixed_anchor,30,5,2.5000,jpeg_q20,01100001111011010011110000100010,01101001111011010011110000100010,0.968750,0,12.4868,15.0935,21306,0
000000005529.png,fixed_q30_5block,fixed_anchor,30,5,2.5000,resize_0.25_jpeg_q50,01100001111011010011110000100010,01101001110011010011110000100000,0.906250,0,12.4868,15.9959,21479,0
000000005529.png,adaptive_q30_5block_random,random,30,5,2.5000,none,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.6598,12.6598,22245,0
000000005529.png,adaptive_q30_5block_random,random,30,5,2.5000,remove_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.6598,15.2274,11515,0
000000005529.png,adaptive_q30_5block_random,random,30,5,2.5000,black_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.6598,6.7850,37426,0
000000005529.png,adaptive_q30_5block_random,random,30,5,2.5000,crop_top_left_50,01100001111011010011110000100010,00000000010000000000000000000000,0.562500,0,12.6598,7.3211,25413,0
000000005529.png,adaptive_q30_5block_random,random,30,5,2.5000,crop_bottom_right_50,01100001111011010011110000100010,00000000000000000000000000000000,0.531250,0,12.6598,9.7854,14532,0
000000005529.png,adaptive_q30_5block_random,random,30,5,2.5000,crop_center_50,01100001111011010011110000100010,00000000010000000000000000000000,0.562500,0,12.6598,8.8821,16991,0
000000005529.png,adaptive_q30_5block_random,random,30,5,2.5000,jpeg_q30,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.6598,15.0172,26098,0
000000005529.png,adaptive_q30_5block_random,random,30,5,2.5000,jpeg_q20,01100001111011010011110000100010,01101001111011010011110000100010,0.968750,0,12.6598,15.1801,27134,0
000000005529.png,adaptive_q30_5block_random,random,30,5,2.5000,resize_0.25_jpeg_q50,01100001111011010011110000100010,01101001111011010011110000100010,0.968750,0,12.6598,16.0174,26526,0
000000005529.png,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,none,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.3466,12.3466,22364,0
000000005529.png,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,remove_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.3466,15.0669,10470,0
000000005529.png,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,black_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.3466,6.7617,36348,0
000000005529.png,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,crop_top_left_50,01100001111011010011110000100010,00000000010000000000000000000000,0.562500,0,12.3466,6.7498,19460,0
000000005529.png,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,crop_bottom_right_50,01100001111011010011110000100010,00000000000000000000000000000000,0.531250,0,12.3466,11.2405,2778,0
000000005529.png,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,crop_center_50,01100001111011010011110000100010,00000000010000000000000000000000,0.562500,0,12.3466,8.1512,22930,0
000000005529.png,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,jpeg_q30,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.3466,14.9083,24859,0
000000005529.png,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,jpeg_q20,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.3466,15.1033,25566,0
000000005529.png,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,resize_0.25_jpeg_q50,01100001111011010011110000100010,01101001110011010011110000100000,0.906250,0,12.3466,16.0889,25854,0
000000005529.png,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,none,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.7843,12.7843,22206,0
000000005529.png,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,remove_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.7843,15.9539,9823,0
000000005529.png,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,black_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.7843,6.8819,35802,0
000000005529.png,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,crop_top_left_50,01100001111011010011110000100010,00000000010000000000000000000000,0.562500,0,12.7843,7.4065,23645,0
000000005529.png,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,crop_bottom_right_50,01100001111011010011110000100010,00000000000000000000000000000000,0.531250,0,12.7843,9.2002,22896,0
000000005529.png,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,crop_center_50,01100001111011010011110000100010,00000000010000000000000000000000,0.562500,0,12.7843,8.7466,19120,0
000000005529.png,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,jpeg_q30,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.7843,15.1025,24817,0
000000005529.png,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,jpeg_q20,01100001111011010011110000100010,01101001111011010011110000100010,0.968750,0,12.7843,15.2875,25166,0
000000005529.png,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,resize_0.25_jpeg_q50,01100001111011010011110000100010,01101001111011010011110000110010,0.937500,0,12.7843,16.0049,24986,0
000000005529.png,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,none,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.7391,12.7391,22729,0
000000005529.png,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,remove_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.7391,17.2745,7730,0
000000005529.png,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,black_center_40,01100001111011010011110000100010,01100001111111010011110000100010,0.968750,0,12.7391,7.0252,33934,0
000000005529.png,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,crop_top_left_50,01100001111011010011110000100010,00000000010000000000000000000000,0.562500,0,12.7391,7.9583,19075,0
000000005529.png,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,crop_bottom_right_50,01100001111011010011110000100010,00000000000000000000000000000000,0.531250,0,12.7391,9.2469,22716,0
000000005529.png,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,crop_center_50,01100001111011010011110000100010,00000000010000000000000000000000,0.562500,0,12.7391,8.6302,12589,0
000000005529.png,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,jpeg_q30,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.7391,15.1937,26348,0
000000005529.png,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,jpeg_q20,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.7391,15.2952,27224,0
000000005529.png,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,resize_0.25_jpeg_q50,01100001111011010011110000100010,01100001111011010011110000100000,0.968750,0,12.7391,16.1265,27740,0
000000021167.png,fixed_q30_5block,fixed_anchor,30,5,2.5000,none,01100001111011010011110000100010,01100001110111010011110000100010,0.937500,0,12.6314,12.6314,20044,0
000000021167.png,fixed_q30_5block,fixed_anchor,30,5,2.5000,remove_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.6314,13.8427,14842,0
000000021167.png,fixed_q30_5block,fixed_anchor,30,5,2.5000,black_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.6314,10.8530,15614,0
000000021167.png,fixed_q30_5block,fixed_anchor,30,5,2.5000,crop_top_left_50,01100001111011010011110000100010,00000000000000000000000000000000,0.531250,0,12.6314,10.4628,9728,0
000000021167.png,fixed_q30_5block,fixed_anchor,30,5,2.5000,crop_bottom_right_50,01100001111011010011110000100010,00000000000000000000000000000000,0.531250,0,12.6314,10.7463,17839,0
000000021167.png,fixed_q30_5block,fixed_anchor,30,5,2.5000,crop_center_50,01100001111011010011110000100010,00000000000000000000000000000000,0.531250,0,12.6314,10.8180,15853,0
000000021167.png,fixed_q30_5block,fixed_anchor,30,5,2.5000,jpeg_q30,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.6314,15.0620,21553,0
000000021167.png,fixed_q30_5block,fixed_anchor,30,5,2.5000,jpeg_q20,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.6314,15.3069,21142,0
000000021167.png,fixed_q30_5block,fixed_anchor,30,5,2.5000,resize_0.25_jpeg_q50,01100001111011010011110000100010,01101001110011010011110000100010,0.937500,0,12.6314,16.7605,20931,0
000000021167.png,adaptive_q30_5block_random,random,30,5,2.5000,none,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.6446,12.6446,22100,0
000000021167.png,adaptive_q30_5block_random,random,30,5,2.5000,remove_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.6446,17.4134,7606,0
000000021167.png,adaptive_q30_5block_random,random,30,5,2.5000,black_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.6446,12.2893,27290,0
000000021167.png,adaptive_q30_5block_random,random,30,5,2.5000,crop_top_left_50,01100001111011010011110000100010,00000000000000000000000000000000,0.531250,0,12.6446,10.4865,12118,0
000000021167.png,adaptive_q30_5block_random,random,30,5,2.5000,crop_bottom_right_50,01100001111011010011110000100010,00000000000000000000000000000000,0.531250,0,12.6446,11.4223,14556,0
000000021167.png,adaptive_q30_5block_random,random,30,5,2.5000,crop_center_50,01100001111011010011110000100010,00000000010000000000000000000000,0.562500,0,12.6446,9.1996,14319,0
000000021167.png,adaptive_q30_5block_random,random,30,5,2.5000,jpeg_q30,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.6446,15.2575,27278,0
000000021167.png,adaptive_q30_5block_random,random,30,5,2.5000,jpeg_q20,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.6446,15.4541,27521,0
000000021167.png,adaptive_q30_5block_random,random,30,5,2.5000,resize_0.25_jpeg_q50,01100001111011010011110000100010,01001001110011010011110000100000,0.875000,0,12.6446,17.0529,27228,0
000000021167.png,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,none,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.4358,12.4358,21577,0
000000021167.png,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,remove_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.4358,15.4580,10984,0
000000021167.png,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,black_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.4358,11.5898,35437,0
000000021167.png,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,crop_top_left_50,01100001111011010011110000100010,00000000000000000000000000000000,0.531250,0,12.4358,9.9291,1313,0
000000021167.png,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,crop_bottom_right_50,01100001111011010011110000100010,00000000000000000000000000000000,0.531250,0,12.4358,10.5723,19746,0
000000021167.png,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,crop_center_50,01100001111011010011110000100010,00000000000000000000000000000000,0.531250,0,12.4358,10.5008,13928,0
000000021167.png,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,jpeg_q30,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.4358,15.1116,25512,0
000000021167.png,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,jpeg_q20,01100001111011010011110000100010,01101001111011010011110000100010,0.968750,0,12.4358,15.3253,26847,0
000000021167.png,adaptive_q30_5block_texture_top,texture_top,30,5,2.5000,resize_0.25_jpeg_q50,01100001111011010011110000100010,01101001100011010011110000100000,0.875000,0,12.4358,17.1355,25509,0
000000021167.png,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,none,01100001111011010011110000100010,01100001110011010011110000100010,0.968750,0,13.0654,13.0654,20499,0
000000021167.png,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,remove_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,13.0654,15.0971,12835,0
000000021167.png,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,black_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,13.0654,11.4380,19048,0
000000021167.png,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,crop_top_left_50,01100001111011010011110000100010,00000000000000000000000000000000,0.531250,0,13.0654,12.8465,6547,0
000000021167.png,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,crop_bottom_right_50,01100001111011010011110000100010,00000000010000000000000000000000,0.562500,0,13.0654,10.0117,34445,0
000000021167.png,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,crop_center_50,01100001111011010011110000100010,00000000010000000000000000000000,0.562500,0,13.0654,10.6532,16448,0
000000021167.png,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,jpeg_q30,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,13.0654,15.2553,24065,0
000000021167.png,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,jpeg_q20,01100001111011010011110000100010,01100001110011010011110000100010,0.968750,0,13.0654,15.3718,23848,0
000000021167.png,adaptive_q30_5block_low_residual,low_residual,30,5,2.5000,resize_0.25_jpeg_q50,01100001111011010011110000100010,01101001110011010011110000100010,0.937500,0,13.0654,16.6087,24040,0
000000021167.png,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,none,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.8085,12.8085,21326,0
000000021167.png,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,remove_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.8085,16.8684,8557,0
000000021167.png,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,black_center_40,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.8085,12.1145,33102,0
000000021167.png,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,crop_top_left_50,01100001111011010011110000100010,00000000000000000000000000000000,0.531250,0,12.8085,12.1556,9242,0
000000021167.png,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,crop_bottom_right_50,01100001111011010011110000100010,00000000010000000000000000000000,0.562500,0,12.8085,10.1061,18090,0
000000021167.png,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,crop_center_50,01100001111011010011110000100010,00000000010000000000000000000000,0.562500,0,12.8085,9.5397,30863,0
000000021167.png,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,30,5,2.5000,jpeg_q30,01100001111011010011110000100010,01100001111011010011110000100010,1.000000,1,12.8085,15.2577,25451,0
