scheme,selector,attack,mean_bit_accuracy,min_bit_accuracy,message_success_rate,mean_psnr_watermarked,num_images
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,black_center_40,0.996875,0.937500,0.920000,12.5880,50
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,crop_bottom_right_50,0.486875,0.000000,0.000000,12.5880,50
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,crop_center_50,0.488750,0.000000,0.000000,12.5880,50
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,crop_top_left_50,0.510000,0.000000,0.000000,12.5880,50
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,jpeg_q20,0.976875,0.906250,0.520000,12.5880,50
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,jpeg_q30,1.000000,1.000000,1.000000,12.5880,50
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,none,0.970000,0.937500,0.300000,12.5880,50
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,remove_center_40,0.995625,0.906250,0.920000,12.5880,50
adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,resize_0.25_jpeg_q50,0.901875,0.812500,0.000000,12.5880,50
adaptive_q30_5block_low_residual,low_residual,black_center_40,0.998125,0.906250,0.980000,12.7786,50
adaptive_q30_5block_low_residual,low_residual,crop_bottom_right_50,0.486875,0.000000,0.000000,12.7786,50
adaptive_q30_5block_low_residual,low_residual,crop_center_50,0.510000,0.000000,0.000000,12.7786,50
adaptive_q30_5block_low_residual,low_residual,crop_top_left_50,0.507500,0.000000,0.000000,12.7786,50
adaptive_q30_5block_low_residual,low_residual,jpeg_q20,0.969375,0.843750,0.420000,12.7786,50
adaptive_q30_5block_low_residual,low_residual,jpeg_q30,0.995000,0.937500,0.880000,12.7786,50
adaptive_q30_5block_low_residual,low_residual,none,0.956875,0.875000,0.140000,12.7786,50
adaptive_q30_5block_low_residual,low_residual,remove_center_40,0.996875,0.906250,0.940000,12.7786,50
adaptive_q30_5block_low_residual,low_residual,resize_0.25_jpeg_q50,0.905625,0.843750,0.020000,12.7786,50
adaptive_q30_5block_random,random,black_center_40,0.995000,0.937500,0.860000,12.4097,50
adaptive_q30_5block_random,random,crop_bottom_right_50,0.481875,0.000000,0.000000,12.4097,50
adaptive_q30_5block_random,random,crop_center_50,0.493125,0.000000,0.000000,12.4097,50
adaptive_q30_5block_random,random,crop_top_left_50,0.525000,0.000000,0.000000,12.4097,50
adaptive_q30_5block_random,random,jpeg_q20,0.970000,0.843750,0.500000,12.4097,50
adaptive_q30_5block_random,random,jpeg_q30,0.998125,0.937500,0.960000,12.4097,50
adaptive_q30_5block_random,random,none,0.966250,0.937500,0.240000,12.4097,50
adaptive_q30_5block_random,random,remove_center_40,0.991250,0.906250,0.780000,12.4097,50
adaptive_q30_5block_random,random,resize_0.25_jpeg_q50,0.895000,0.812500,0.000000,12.4097,50
adaptive_q30_5block_texture_top,texture_top,black_center_40,0.994375,0.937500,0.840000,12.3795,50
adaptive_q30_5block_texture_top,texture_top,crop_bottom_right_50,0.503125,0.000000,0.000000,12.3795,50
adaptive_q30_5block_texture_top,texture_top,crop_center_50,0.515625,0.000000,0.000000,12.3795,50
adaptive_q30_5block_texture_top,texture_top,crop_top_left_50,0.517500,0.000000,0.000000,12.3795,50
adaptive_q30_5block_texture_top,texture_top,jpeg_q20,0.975000,0.906250,0.440000,12.3795,50
adaptive_q30_5block_texture_top,texture_top,jpeg_q30,0.999375,0.968750,0.980000,12.3795,50
adaptive_q30_5block_texture_top,texture_top,none,0.974375,0.906250,0.420000,12.3795,50
adaptive_q30_5block_texture_top,texture_top,remove_center_40,0.990625,0.937500,0.800000,12.3795,50
adaptive_q30_5block_texture_top,texture_top,resize_0.25_jpeg_q50,0.906250,0.843750,0.000000,12.3795,50
fixed_q30_5block,fixed_anchor,black_center_40,0.997500,0.968750,0.920000,12.4233,50
fixed_q30_5block,fixed_anchor,crop_bottom_right_50,0.515000,0.000000,0.000000,12.4233,50
fixed_q30_5block,fixed_anchor,crop_center_50,0.530000,0.000000,0.000000,12.4233,50
fixed_q30_5block,fixed_anchor,crop_top_left_50,0.463750,0.000000,0.000000,12.4233,50
fixed_q30_5block,fixed_anchor,jpeg_q20,0.975000,0.906250,0.400000,12.4233,50
fixed_q30_5block,fixed_anchor,jpeg_q30,0.999375,0.968750,0.980000,12.4233,50
fixed_q30_5block,fixed_anchor,none,0.928750,0.875000,0.000000,12.4233,50
fixed_q30_5block,fixed_anchor,remove_center_40,0.994375,0.906250,0.880000,12.4233,50
fixed_q30_5block,fixed_anchor,resize_0.25_jpeg_q50,0.919375,0.843750,0.000000,12.4233,50
