image,scheme,scaling_w,area_percent,block_count,coding,attack,payload,decoded_payload,payload_accuracy,payload_success,full_message,predicted_full_message,full_bit_accuracy,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
000000005529.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001011010000001001,0.968750,12.4959,12.4959,20334,0
000000005529.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.4959,9.3470,534,0
000000005529.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.4959,8.4783,13219,0
000000005529.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.4959,15.0592,21226,0
000000005529.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.4959,15.2924,21003,0
000000005529.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1101001010,0.800000,0,10010010111000001111010000001001,11010010101000001111010000001001,0.937500,12.4959,16.1344,21211,0
000000021167.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001011010000001001,0.968750,12.6886,12.6886,20177,0
000000021167.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.6886,10.7725,1679,0
000000021167.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.6886,10.8527,15098,0
000000021167.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.6886,15.1861,21281,0
000000021167.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.6886,15.5254,21127,0
000000021167.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1101001010,0.800000,0,10010010111000001111010000001001,11010010101000001111010000001001,0.937500,12.6886,16.8658,21270,0
000000022705.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001011010000001001,0.968750,12.6702,12.6702,20296,0
000000022705.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.6702,9.7504,1698,0
000000022705.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.6702,9.9019,3220,0
000000022705.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.6702,15.2159,21099,0
000000022705.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1101001010,0.800000,0,10010010111000001111010000001001,11010010101000001111010000001001,0.937500,12.6702,15.4741,20889,0
000000022705.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1101001010,0.800000,0,10010010111000001111010000001001,11010010101000001111010000001001,0.937500,12.6702,16.6534,20829,0
000000025228.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001011010000001001,0.968750,12.3828,12.3828,20342,0
000000025228.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.3828,9.0557,2922,0
000000025228.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.3828,11.7320,14922,0
000000025228.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.3828,15.0709,20720,0
000000025228.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1001001010,0.900000,0,10010010111000001111010000001001,10010010101000001111010000001001,0.968750,12.3828,15.3038,20603,0
000000025228.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.3828,16.9232,20690,0
000000027620.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001011010000001001,0.968750,12.4401,12.4401,20269,0
000000027620.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.4401,8.6124,3652,0
000000027620.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.4401,9.6510,14367,0
