image,attack,branch,message,predicted,bit_accuracy,confidence,mask_pixels,used_fallback
000000005529.png,jpeg_q95,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.996823,34829,0
000000005529.png,jpeg_q95,real_jpeg_q90,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.998410,35023,0
000000005529.png,jpeg_q95,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.998374,35055,0
000000005529.png,jpeg_q95,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.997674,35224,0
000000005529.png,jpeg_q95,jpeg_mask_keep10,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.996860,34826,0
000000005529.png,jpeg_q95,jpeg_mask_keep8,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.996878,34833,0
000000005529.png,jpeg_q95,jpeg_mask_keep6,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.996908,34841,0
000000005529.png,jpeg_q95,jpeg_mask_keep4,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.997467,34863,0
000000005529.png,jpeg_q85,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.996475,34881,0
000000005529.png,jpeg_q85,real_jpeg_q90,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.998310,35061,0
000000005529.png,jpeg_q85,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.998355,35024,0
000000005529.png,jpeg_q85,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.998096,35236,0
000000005529.png,jpeg_q85,jpeg_mask_keep10,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.996551,34876,0
000000005529.png,jpeg_q85,jpeg_mask_keep8,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.996573,34883,0
000000005529.png,jpeg_q85,jpeg_mask_keep6,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.996596,34881,0
000000005529.png,jpeg_q85,jpeg_mask_keep4,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.997251,34892,0
000000005529.png,jpeg_q75,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.996732,34900,0
