attack,method,mean_bit_accuracy,min_bit_accuracy,num_images
jpeg_q95,baseline_identity,1.000000,1.000000,50
jpeg_q95,confidence_select,1.000000,1.000000,50
jpeg_q95,similarity_select,1.000000,1.000000,50
jpeg_q95,oracle_best_branch,1.000000,1.000000,50
jpeg_q85,baseline_identity,1.000000,1.000000,50
jpeg_q85,confidence_select,1.000000,1.000000,50
jpeg_q85,similarity_select,1.000000,1.000000,50
jpeg_q85,oracle_best_branch,1.000000,1.000000,50
jpeg_q75,baseline_identity,1.000000,1.000000,50
jpeg_q75,confidence_select,1.000000,1.000000,50
jpeg_q75,similarity_select,1.000000,1.000000,50
jpeg_q75,oracle_best_branch,1.000000,1.000000,50
jpeg_q65,baseline_identity,1.000000,1.000000,50
jpeg_q65,confidence_select,1.000000,1.000000,50
jpeg_q65,similarity_select,1.000000,1.000000,50
jpeg_q65,oracle_best_branch,1.000000,1.000000,50
jpeg_q50,baseline_identity,1.000000,1.000000,50
jpeg_q50,confidence_select,1.000000,1.000000,50
jpeg_q50,similarity_select,1.000000,1.000000,50
jpeg_q50,oracle_best_branch,1.000000,1.000000,50
jpeg_q30,baseline_identity,1.000000,1.000000,50
jpeg_q30,confidence_select,1.000000,1.000000,50
jpeg_q30,similarity_select,1.000000,1.000000,50
jpeg_q30,oracle_best_branch,1.000000,1.000000,50
jpeg_q20,baseline_identity,0.992500,0.968750,50
jpeg_q20,confidence_select,0.996250,0.968750,50
jpeg_q20,similarity_select,0.992500,0.968750,50
jpeg_q20,oracle_best_branch,0.996875,0.968750,50
resize_0.75_jpeg_q50,baseline_identity,1.000000,1.000000,50
resize_0.75_jpeg_q50,confidence_select,1.000000,1.000000,50
resize_0.75_jpeg_q50,similarity_select,1.000000,1.000000,50
resize_0.75_jpeg_q50,oracle_best_branch,1.000000,1.000000,50
resize_0.5_jpeg_q50,baseline_identity,1.000000,1.000000,50
resize_0.5_jpeg_q50,confidence_select,1.000000,1.000000,50
resize_0.5_jpeg_q50,similarity_select,1.000000,1.000000,50
resize_0.5_jpeg_q50,oracle_best_branch,1.000000,1.000000,50
resize_0.25_jpeg_q50,baseline_identity,1.000000,1.000000,50
resize_0.25_jpeg_q50,confidence_select,1.000000,1.000000,50
resize_0.25_jpeg_q50,similarity_select,1.000000,1.000000,50
resize_0.25_jpeg_q50,oracle_best_branch,1.000000,1.000000,50
jpeg_q50_then_q30,baseline_identity,0.998125,0.968750,50
jpeg_q50_then_q30,confidence_select,0.996875,0.968750,50
jpeg_q50_then_q30,similarity_select,0.998125,0.968750,50
jpeg_q50_then_q30,oracle_best_branch,0.998750,0.968750,50
