image,attack,scheme,message,predicted,bit_accuracy,message_success,psnr_vs_original,mask_pixels,used_fallback
000000005529.png,none,single_center_50pct,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,11.9461,35053,0
000000005529.png,none,five_region_spatial,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,11.8455,34179,0
000000005529.png,remove_center_25,single_center_50pct,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,14.8745,18576,0
000000005529.png,remove_center_25,five_region_spatial,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,12.9086,25497,0
000000005529.png,remove_center_40,single_center_50pct,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,18.6368,9170,0
000000005529.png,remove_center_40,five_region_spatial,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,13.5087,21994,0
000000005529.png,black_center_25,single_center_50pct,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,8.7920,34799,0
000000005529.png,black_center_25,five_region_spatial,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,8.2188,34878,0
000000005529.png,black_center_40,single_center_50pct,11001101111101111010101100110100,11001101111101111010101000110100,0.968750,0,7.1370,35081,0
000000005529.png,black_center_40,five_region_spatial,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,6.4932,46564,0
000000005529.png,remove_left_half,single_center_50pct,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,15.0358,17180,0
000000005529.png,remove_left_half,five_region_spatial,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,14.8505,16879,0
000000005529.png,remove_right_half,single_center_50pct,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,14.8593,17175,0
000000005529.png,remove_right_half,five_region_spatial,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,14.8396,16548,0
000000005529.png,crop_top_left_50,single_center_50pct,11001101111101111010101100110100,00000000000000000000000000000000,0.375000,0,7.8647,9052,0
000000005529.png,crop_top_left_50,five_region_spatial,11001101111101111010101100110100,00000000000000000000000000000000,0.375000,0,7.2258,6388,0
000000005529.png,crop_bottom_right_50,single_center_50pct,11001101111101111010101100110100,00000000000000000000000000000000,0.375000,0,9.9341,3430,0
000000005529.png,crop_bottom_right_50,five_region_spatial,11001101111101111010101100110100,00000000000000000000000000000000,0.375000,0,9.3516,8103,0
000000005529.png,crop_center_50,single_center_50pct,11001101111101111010101100110100,00000000000000000000000000000000,0.375000,0,7.6623,44747,0
000000005529.png,crop_center_50,five_region_spatial,11001101111101111010101100110100,00000000000000000000000000000000,0.375000,0,8.4628,4092,0
000000021167.png,none,single_center_50pct,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,11.9823,34808,0
000000021167.png,none,five_region_spatial,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,11.9915,33941,0
000000021167.png,remove_center_25,single_center_50pct,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,14.9661,17666,0
000000021167.png,remove_center_25,five_region_spatial,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,13.1262,25299,0
000000021167.png,remove_center_40,single_center_50pct,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,18.7787,8500,0
000000021167.png,remove_center_40,five_region_spatial,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,13.7677,21794,0
