attack,scheme,mean_bit_accuracy,min_bit_accuracy,num_images
none,single_center_50pct,1.000000,1.000000,50
none,five_region_spatial,0.999375,0.968750,50
remove_center_25,single_center_50pct,1.000000,1.000000,50
remove_center_25,five_region_spatial,1.000000,1.000000,50
remove_center_40,single_center_50pct,0.973125,0.875000,50
remove_center_40,five_region_spatial,0.997500,0.968750,50
black_center_25,single_center_50pct,1.000000,1.000000,50
black_center_25,five_region_spatial,1.000000,1.000000,50
black_center_40,single_center_50pct,0.983750,0.937500,50
black_center_40,five_region_spatial,0.998125,0.968750,50
remove_left_half,single_center_50pct,1.000000,1.000000,50
remove_left_half,five_region_spatial,0.998750,0.968750,50
remove_right_half,single_center_50pct,0.998750,0.968750,50
remove_right_half,five_region_spatial,0.997500,0.968750,50
crop_top_left_50,single_center_50pct,0.303125,0.000000,50
crop_top_left_50,five_region_spatial,0.293750,0.000000,50
crop_bottom_right_50,single_center_50pct,0.292500,0.000000,50
crop_bottom_right_50,five_region_spatial,0.321250,0.000000,50
crop_center_50,single_center_50pct,0.378750,0.375000,50
crop_center_50,five_region_spatial,0.329375,0.000000,50
