image,attack,scheme,decoder,message,predicted,bit_accuracy,message_success,psnr_vs_original,mask_pixels,component_count,used_fallback
000000005529.png,none,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,11.9268,35017,,0
000000005529.png,none,redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,13.0695,26842,,0
000000005529.png,none,redundant_regions,component_majority,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,13.0695,26842,1,0
000000005529.png,none,redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,13.0695,26842,1,0
000000005529.png,jpeg_q95,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,14.4829,34228,,0
000000005529.png,jpeg_q95,redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,15.6508,26198,,0
000000005529.png,jpeg_q95,redundant_regions,component_majority,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,15.6508,26198,1,0
000000005529.png,jpeg_q95,redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,15.6508,26198,1,0
000000005529.png,jpeg_q85,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,14.4384,34272,,0
000000005529.png,jpeg_q85,redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,15.6007,26431,,0
000000005529.png,jpeg_q85,redundant_regions,component_majority,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,15.6007,26431,1,0
000000005529.png,jpeg_q85,redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,15.6007,26431,1,0
000000005529.png,jpeg_q75,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,14.3999,34461,,0
000000005529.png,jpeg_q75,redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,15.5436,26519,,0
000000005529.png,jpeg_q75,redundant_regions,component_majority,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,15.5436,26519,1,0
000000005529.png,jpeg_q75,redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,15.5436,26519,1,0
000000005529.png,jpeg_q65,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,14.3718,34494,,0
000000005529.png,jpeg_q65,redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,15.5225,26793,,0
000000005529.png,jpeg_q65,redundant_regions,component_majority,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,15.5225,26793,1,0
000000005529.png,jpeg_q65,redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,15.5225,26793,1,0
000000005529.png,jpeg_q50,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,14.3634,34919,,0
000000005529.png,jpeg_q50,redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,15.5115,27158,,0
000000005529.png,jpeg_q50,redundant_regions,component_majority,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,15.5115,27158,1,0
000000005529.png,jpeg_q50,redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,15.5115,27158,1,0
000000005529.png,jpeg_q30,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,14.5198,35814,,0
000000005529.png,jpeg_q30,redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,15.6535,27621,,0
000000005529.png,jpeg_q30,redundant_regions,component_majority,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,15.6535,27621,1,0
000000005529.png,jpeg_q30,redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,15.6535,27621,1,0
000000005529.png,resize_0.75,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,12.9187,34675,,0
000000005529.png,resize_0.75,redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,14.0620,26365,,0
000000005529.png,resize_0.75,redundant_regions,component_majority,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,14.0620,26365,1,0
000000005529.png,resize_0.75,redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,14.0620,26365,1,0
000000005529.png,resize_0.5,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,13.6137,34535,,0
000000005529.png,resize_0.5,redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,14.7247,26241,,0
000000005529.png,resize_0.5,redundant_regions,component_majority,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,14.7247,26241,1,0
000000005529.png,resize_0.5,redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,14.7247,26241,1,0
000000005529.png,resize_0.25,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010111110000001011110100,0.968750,0,14.9790,35978,,0
000000005529.png,resize_0.25,redundant_regions,global_mask_average,00101100010101110000001011110100,01101100010111110000001010110110,0.875000,0,15.8930,27563,,0
000000005529.png,resize_0.25,redundant_regions,component_majority,00101100010101110000001011110100,01101100010111110000001010110110,0.875000,0,15.8930,27563,1,0
000000005529.png,resize_0.25,redundant_regions,component_confidence_weighted,00101100010101110000001011110100,01101100010111110000001010110110,0.875000,0,15.8930,27563,1,0
000000005529.png,center_crop_0.9,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010100110000001011011100,0.906250,0,10.0594,39385,,0
000000005529.png,center_crop_0.9,redundant_regions,global_mask_average,00101100010101110000001011110100,00100100010101100000001011011100,0.875000,0,10.6089,30919,,0
000000005529.png,center_crop_0.9,redundant_regions,component_majority,00101100010101110000001011110100,00100100010101100000001011011100,0.875000,0,10.6089,30919,1,0
000000005529.png,center_crop_0.9,redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00100100010101100000001011011100,0.875000,0,10.6089,30919,1,0
000000005529.png,center_crop_0.75,baseline_single_region,global_mask_average,00101100010101110000001011110100,00100000000000000000000010000000,0.625000,0,9.2059,21468,,0
000000005529.png,center_crop_0.75,redundant_regions,global_mask_average,00101100010101110000001011110100,00100000000000000000000000000000,0.593750,0,9.4173,18939,,0
000000005529.png,center_crop_0.75,redundant_regions,component_majority,00101100010101110000001011110100,00100000000000000000000000000000,0.593750,0,9.4173,18939,6,0
000000005529.png,center_crop_0.75,redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00100000000000000000000000000000,0.593750,0,9.4173,18939,6,0
000000005529.png,center_crop_0.5,baseline_single_region,global_mask_average,00101100010101110000001011110100,00000000000000000000000000000000,0.000000,0,7.9486,0,,1
000000005529.png,center_crop_0.5,redundant_regions,global_mask_average,00101100010101110000001011110100,00000000000000000000000000000000,0.000000,0,7.7762,0,,1
000000005529.png,center_crop_0.5,redundant_regions,component_majority,00101100010101110000001011110100,00000000000000000000000000000000,0.000000,0,7.7762,0,0,1
000000005529.png,center_crop_0.5,redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00000000000000000000000000000000,0.000000,0,7.7762,0,0,1
000000005529.png,random_crop_0.9,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011111100,0.968750,0,9.9024,36868,,0
000000005529.png,random_crop_0.9,redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101100000001011011110,0.875000,0,10.5566,31114,,0
000000005529.png,random_crop_0.9,redundant_regions,component_majority,00101100010101110000001011110100,00101100010101100000001011011110,0.875000,0,10.5566,31114,1,0
000000005529.png,random_crop_0.9,redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00101100010101100000001011011110,0.875000,0,10.5566,31114,1,0
000000005529.png,random_crop_0.75,baseline_single_region,global_mask_average,00101100010101110000001011110100,00000000010000000000000011000000,0.656250,0,9.2580,32721,,0
000000005529.png,random_crop_0.75,redundant_regions,global_mask_average,00101100010101110000001011110100,00000000000000000000000010000000,0.593750,0,9.6315,4916,,0
000000005529.png,random_crop_0.75,redundant_regions,component_majority,00101100010101110000001011110100,00000000000000000000000010000000,0.593750,0,9.6315,4916,9,0
000000005529.png,random_crop_0.75,redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00000000000000000000000010000000,0.593750,0,9.6315,4916,9,0
000000005529.png,random_crop_0.5,baseline_single_region,global_mask_average,00101100010101110000001011110100,00100111010010010010111100000000,0.500000,0,10.2354,22380,,0
000000005529.png,random_crop_0.5,redundant_regions,global_mask_average,00101100010101110000001011110100,00100111000110011010110100010000,0.468750,0,9.9557,30894,,0
000000005529.png,random_crop_0.5,redundant_regions,component_majority,00101100010101110000001011110100,00100111000110011010110100010000,0.468750,0,9.9557,30894,1,0
000000005529.png,random_crop_0.5,redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00100111000110011010110100010000,0.468750,0,9.9557,30894,1,0
000000005529.png,occlusion_0.05,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,10.5573,31838,,0
000000005529.png,occlusion_0.05,redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,12.0170,26328,,0
