attack,scheme,decoder,mean_bit_accuracy,min_bit_accuracy,num_images
none,baseline_single_region,global_mask_average,1.000000,1.000000,50
none,redundant_regions,global_mask_average,1.000000,1.000000,50
none,redundant_regions,component_majority,1.000000,1.000000,50
none,redundant_regions,component_confidence_weighted,1.000000,1.000000,50
jpeg_q95,baseline_single_region,global_mask_average,1.000000,1.000000,50
jpeg_q95,redundant_regions,global_mask_average,1.000000,1.000000,50
jpeg_q95,redundant_regions,component_majority,1.000000,1.000000,50
jpeg_q95,redundant_regions,component_confidence_weighted,1.000000,1.000000,50
jpeg_q85,baseline_single_region,global_mask_average,1.000000,1.000000,50
jpeg_q85,redundant_regions,global_mask_average,1.000000,1.000000,50
jpeg_q85,redundant_regions,component_majority,1.000000,1.000000,50
jpeg_q85,redundant_regions,component_confidence_weighted,1.000000,1.000000,50
jpeg_q75,baseline_single_region,global_mask_average,1.000000,1.000000,50
jpeg_q75,redundant_regions,global_mask_average,1.000000,1.000000,50
jpeg_q75,redundant_regions,component_majority,1.000000,1.000000,50
jpeg_q75,redundant_regions,component_confidence_weighted,1.000000,1.000000,50
jpeg_q65,baseline_single_region,global_mask_average,1.000000,1.000000,50
jpeg_q65,redundant_regions,global_mask_average,1.000000,1.000000,50
jpeg_q65,redundant_regions,component_majority,1.000000,1.000000,50
jpeg_q65,redundant_regions,component_confidence_weighted,1.000000,1.000000,50
jpeg_q50,baseline_single_region,global_mask_average,1.000000,1.000000,50
jpeg_q50,redundant_regions,global_mask_average,1.000000,1.000000,50
jpeg_q50,redundant_regions,component_majority,1.000000,1.000000,50
jpeg_q50,redundant_regions,component_confidence_weighted,1.000000,1.000000,50
jpeg_q30,baseline_single_region,global_mask_average,0.999375,0.968750,50
jpeg_q30,redundant_regions,global_mask_average,0.999375,0.968750,50
jpeg_q30,redundant_regions,component_majority,0.999375,0.968750,50
jpeg_q30,redundant_regions,component_confidence_weighted,0.999375,0.968750,50
resize_0.75,baseline_single_region,global_mask_average,1.000000,1.000000,50
resize_0.75,redundant_regions,global_mask_average,1.000000,1.000000,50
resize_0.75,redundant_regions,component_majority,1.000000,1.000000,50
resize_0.75,redundant_regions,component_confidence_weighted,1.000000,1.000000,50
resize_0.5,baseline_single_region,global_mask_average,1.000000,1.000000,50
resize_0.5,redundant_regions,global_mask_average,1.000000,1.000000,50
resize_0.5,redundant_regions,component_majority,1.000000,1.000000,50
resize_0.5,redundant_regions,component_confidence_weighted,1.000000,1.000000,50
resize_0.25,baseline_single_region,global_mask_average,0.926875,0.843750,50
resize_0.25,redundant_regions,global_mask_average,0.924375,0.875000,50
resize_0.25,redundant_regions,component_majority,0.924375,0.875000,50
resize_0.25,redundant_regions,component_confidence_weighted,0.924375,0.875000,50
center_crop_0.9,baseline_single_region,global_mask_average,0.920000,0.812500,50
center_crop_0.9,redundant_regions,global_mask_average,0.861250,0.718750,50
center_crop_0.9,redundant_regions,component_majority,0.861250,0.718750,50
center_crop_0.9,redundant_regions,component_confidence_weighted,0.861250,0.718750,50
center_crop_0.75,baseline_single_region,global_mask_average,0.595625,0.000000,50
center_crop_0.75,redundant_regions,global_mask_average,0.441250,0.000000,50
center_crop_0.75,redundant_regions,component_majority,0.430625,0.000000,50
center_crop_0.75,redundant_regions,component_confidence_weighted,0.429375,0.000000,50
center_crop_0.5,baseline_single_region,global_mask_average,0.213125,0.000000,50
center_crop_0.5,redundant_regions,global_mask_average,0.207500,0.000000,50
center_crop_0.5,redundant_regions,component_majority,0.187500,0.000000,50
center_crop_0.5,redundant_regions,component_confidence_weighted,0.189375,0.000000,50
random_crop_0.9,baseline_single_region,global_mask_average,0.931250,0.875000,50
random_crop_0.9,redundant_regions,global_mask_average,0.909375,0.812500,50
random_crop_0.9,redundant_regions,component_majority,0.912500,0.812500,50
random_crop_0.9,redundant_regions,component_confidence_weighted,0.909375,0.812500,50
random_crop_0.75,baseline_single_region,global_mask_average,0.619375,0.000000,50
random_crop_0.75,redundant_regions,global_mask_average,0.579375,0.000000,50
random_crop_0.75,redundant_regions,component_majority,0.546250,0.000000,50
random_crop_0.75,redundant_regions,component_confidence_weighted,0.543125,0.000000,50
