image,scheme,scaling_w,attack,candidate,box,message,predicted,bit_accuracy,confidence,mask_pixels,used_fallback
000000005529.png,single_center_50pct,2.5000,crop_top_left_50,global,full,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0.086359,3037,0
000000005529.png,single_center_50pct,2.5000,crop_top_left_50,bbox_0,"50,48,256,230,0.5,3037",11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0.003413,316,0
000000005529.png,single_center_50pct,2.5000,crop_top_left_50,bbox_1,"136,84,207,157,0.5,1522",11110110010100000011110000110001,00000000010000100001010010000000,0.562500,0.025075,529,0
000000005529.png,single_center_50pct,2.5000,crop_top_left_50,bbox_2,"74,67,154,140,0.5,924",11110110010100000011110000110001,00110111101001101011001010000001,0.500000,0.051579,713,0
000000005529.png,single_center_50pct,2.5000,crop_top_left_50,bbox_3,"201,112,230,138,0.5,218",11110110010100000011110000110001,00000000000000000000000000000000,0.000000,0.000000,0,1
000000005529.png,single_center_50pct,2.5000,crop_bottom_right_50,global,full,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0.038827,1708,0
000000005529.png,single_center_50pct,2.5000,crop_bottom_right_50,bbox_0,"10,0,213,190,0.5,1708",11110110010100000011110000110001,00000000000000000000000000000000,0.000000,0.000000,0,1
000000005529.png,single_center_50pct,2.5000,crop_bottom_right_50,bbox_1,"89,79,138,132,0.5,747",11110110010100000011110000110001,00000000010010010010001110000000,0.437500,0.105623,1842,0
000000005529.png,single_center_50pct,2.5000,crop_bottom_right_50,bbox_2,"146,104,163,142,0.5,217",11110110010100000011110000110001,00000000000000000000000000000000,0.000000,0.000000,0,1
000000005529.png,single_center_50pct,2.5000,crop_bottom_right_50,bbox_3,"50,92,84,117,0.5,215",11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0.001618,42,0
000000005529.png,single_center_50pct,2.5000,crop_center_50,global,full,11110110010100000011110000110001,00000000010000000000000000010000,0.593750,0.148504,51542,0
000000005529.png,single_center_50pct,2.5000,crop_center_50,bbox_0,"0,0,256,256,0.5,51542",11110110010100000011110000110001,00000000010000000000000000010000,0.593750,0.148541,51710,0
000000005529.png,single_center_50pct,2.5000,crop_center_50,bbox_1,"0,0,256,256,0.5,51115",11110110010100000011110000110001,00000000010000000000000000010000,0.593750,0.148541,51710,0
000000005529.png,single_center_50pct,2.5000,crop_center_50,bbox_2,"240,157,256,187,0.5,225",11110110010100000011110000110001,00000000000000000000000000000000,0.000000,0.000000,0,1
000000005529.png,single_center_50pct,2.5000,crop_center_50,bbox_3,"0,14,21,33,0.5,202",11110110010100000011110000110001,00101100010110110010000101000001,0.531250,0.138612,1987,0
000000005529.png,single_center_50pct,2.5000,jpeg_q20,global,full,11110110010100000011110000110001,11110110000100000011110000110001,0.968750,0.939585,36891,0
000000005529.png,single_center_50pct,2.5000,jpeg_q20,bbox_0,"0,0,256,256,0.5,36891",11110110010100000011110000110001,11110110000100000011110000110001,0.968750,0.939215,36882,0
000000005529.png,single_center_50pct,2.5000,jpeg_q20,bbox_1,"0,0,256,256,0.5,36891",11110110010100000011110000110001,11110110000100000011110000110001,0.968750,0.939215,36882,0
000000005529.png,single_center_50pct,2.5000,resize_0.25_jpeg_q50,global,full,11110110010100000011110000110001,11110110000100000011110001110010,0.875000,0.806378,36852,0
000000005529.png,single_center_50pct,2.5000,resize_0.25_jpeg_q50,bbox_0,"0,0,256,256,0.5,36852",11110110010100000011110000110001,11110110000100000011110001110010,0.875000,0.806199,36838,0
000000005529.png,single_center_50pct,2.5000,resize_0.25_jpeg_q50,bbox_1,"0,0,256,256,0.5,36852",11110110010100000011110000110001,11110110000100000011110001110010,0.875000,0.806199,36838,0
000000005529.png,five_region_spatial,2.5000,crop_top_left_50,global,full,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0.081509,22899,0
000000005529.png,five_region_spatial,2.5000,crop_top_left_50,bbox_0,"0,0,256,256,0.5,22899",11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0.081470,22584,0
000000005529.png,five_region_spatial,2.5000,crop_top_left_50,bbox_1,"0,0,202,201,0.5,19494",11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0.039773,2770,0
000000005529.png,five_region_spatial,2.5000,crop_top_left_50,bbox_2,"164,160,255,256,0.5,3405",11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0.061629,6695,0
000000005529.png,five_region_spatial,2.5000,crop_bottom_right_50,global,full,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0.043781,2503,0
000000005529.png,five_region_spatial,2.5000,crop_bottom_right_50,bbox_0,"40,1,232,256,0.5,2503",11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0.052557,3134,0
000000005529.png,five_region_spatial,2.5000,crop_bottom_right_50,bbox_1,"80,61,178,256,0.5,1935",11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0.050683,2221,0
000000005529.png,five_region_spatial,2.5000,crop_bottom_right_50,bbox_2,"110,136,129,174,0.5,232",11110110010100000011110000110001,00000001000000000001000010000000,0.500000,0.000771,13,0
000000005529.png,five_region_spatial,2.5000,crop_center_50,global,full,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0.081845,19343,0
000000005529.png,five_region_spatial,2.5000,crop_center_50,bbox_0,"0,0,256,256,0.5,19343",11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0.082562,19160,0
000000005529.png,five_region_spatial,2.5000,crop_center_50,bbox_1,"11,9,245,249,0.5,18749",11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0.071166,12708,0
000000005529.png,five_region_spatial,2.5000,crop_center_50,bbox_2,"217,223,256,241,0.5,225",11110110010100000011110000110001,00000000010010000000000010000000,0.500000,0.030395,700,0
000000005529.png,five_region_spatial,2.5000,jpeg_q20,global,full,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.940696,36941,0
000000005529.png,five_region_spatial,2.5000,jpeg_q20,bbox_0,"0,0,256,256,0.5,36941",11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.940691,36932,0
000000005529.png,five_region_spatial,2.5000,jpeg_q20,bbox_1,"0,0,256,256,0.5,29500",11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.940691,36932,0
000000005529.png,five_region_spatial,2.5000,jpeg_q20,bbox_2,"144,0,256,118,0.5,7441",11110110010100000011110000110001,00100000000000000000000010001000,0.500000,0.195720,32018,0
000000005529.png,five_region_spatial,2.5000,resize_0.25_jpeg_q50,global,full,11110110010100000011110000110001,11110110110100000011110000110010,0.906250,0.840082,39003,0
000000005529.png,five_region_spatial,2.5000,resize_0.25_jpeg_q50,bbox_0,"0,0,256,256,0.5,39003",11110110010100000011110000110001,11110110110100000011110000110010,0.906250,0.841069,38952,0
000000005529.png,five_region_spatial,2.5000,resize_0.25_jpeg_q50,bbox_1,"0,0,256,256,0.5,39003",11110110010100000011110000110001,11110110110100000011110000110010,0.906250,0.841069,38952,0
