image,scheme,scaling_w,attack,method,selected_candidate,message,predicted,bit_accuracy,message_success,confidence,mask_pixels
000000005529.png,single_center_50pct,2.5000,crop_top_left_50,global_decode,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.086359,3037
000000005529.png,single_center_50pct,2.5000,crop_top_left_50,bbox_confidence_select,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.086359,3037
000000005529.png,single_center_50pct,2.5000,crop_top_left_50,bbox_similarity_select,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.086359,3037
000000005529.png,single_center_50pct,2.5000,crop_top_left_50,oracle_best_candidate,bbox_1,11110110010100000011110000110001,00000000010000100001010010000000,0.562500,0,0.025075,529
000000005529.png,single_center_50pct,2.5000,crop_bottom_right_50,global_decode,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.038827,1708
000000005529.png,single_center_50pct,2.5000,crop_bottom_right_50,bbox_confidence_select,bbox_1,11110110010100000011110000110001,00000000010010010010001110000000,0.437500,0,0.105623,1842
000000005529.png,single_center_50pct,2.5000,crop_bottom_right_50,bbox_similarity_select,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.038827,1708
000000005529.png,single_center_50pct,2.5000,crop_bottom_right_50,oracle_best_candidate,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.038827,1708
000000005529.png,single_center_50pct,2.5000,crop_center_50,global_decode,global,11110110010100000011110000110001,00000000010000000000000000010000,0.593750,0,0.148504,51542
000000005529.png,single_center_50pct,2.5000,crop_center_50,bbox_confidence_select,bbox_0,11110110010100000011110000110001,00000000010000000000000000010000,0.593750,0,0.148541,51710
000000005529.png,single_center_50pct,2.5000,crop_center_50,bbox_similarity_select,bbox_0,11110110010100000011110000110001,00000000010000000000000000010000,0.593750,0,0.148541,51710
000000005529.png,single_center_50pct,2.5000,crop_center_50,oracle_best_candidate,bbox_0,11110110010100000011110000110001,00000000010000000000000000010000,0.593750,0,0.148541,51710
000000005529.png,single_center_50pct,2.5000,jpeg_q20,global_decode,global,11110110010100000011110000110001,11110110000100000011110000110001,0.968750,0,0.939585,36891
000000005529.png,single_center_50pct,2.5000,jpeg_q20,bbox_confidence_select,global,11110110010100000011110000110001,11110110000100000011110000110001,0.968750,0,0.939585,36891
000000005529.png,single_center_50pct,2.5000,jpeg_q20,bbox_similarity_select,global,11110110010100000011110000110001,11110110000100000011110000110001,0.968750,0,0.939585,36891
000000005529.png,single_center_50pct,2.5000,jpeg_q20,oracle_best_candidate,global,11110110010100000011110000110001,11110110000100000011110000110001,0.968750,0,0.939585,36891
000000005529.png,single_center_50pct,2.5000,resize_0.25_jpeg_q50,global_decode,global,11110110010100000011110000110001,11110110000100000011110001110010,0.875000,0,0.806378,36852
000000005529.png,single_center_50pct,2.5000,resize_0.25_jpeg_q50,bbox_confidence_select,global,11110110010100000011110000110001,11110110000100000011110001110010,0.875000,0,0.806378,36852
000000005529.png,single_center_50pct,2.5000,resize_0.25_jpeg_q50,bbox_similarity_select,global,11110110010100000011110000110001,11110110000100000011110001110010,0.875000,0,0.806378,36852
000000005529.png,single_center_50pct,2.5000,resize_0.25_jpeg_q50,oracle_best_candidate,global,11110110010100000011110000110001,11110110000100000011110001110010,0.875000,0,0.806378,36852
000000005529.png,five_region_spatial,2.5000,crop_top_left_50,global_decode,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.081509,22899
000000005529.png,five_region_spatial,2.5000,crop_top_left_50,bbox_confidence_select,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.081509,22899
000000005529.png,five_region_spatial,2.5000,crop_top_left_50,bbox_similarity_select,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.081509,22899
000000005529.png,five_region_spatial,2.5000,crop_top_left_50,oracle_best_candidate,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.081509,22899
000000005529.png,five_region_spatial,2.5000,crop_bottom_right_50,global_decode,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.043781,2503
000000005529.png,five_region_spatial,2.5000,crop_bottom_right_50,bbox_confidence_select,bbox_0,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.052557,3134
000000005529.png,five_region_spatial,2.5000,crop_bottom_right_50,bbox_similarity_select,bbox_0,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.052557,3134
000000005529.png,five_region_spatial,2.5000,crop_bottom_right_50,oracle_best_candidate,bbox_0,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.052557,3134
000000005529.png,five_region_spatial,2.5000,crop_center_50,global_decode,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.081845,19343
000000005529.png,five_region_spatial,2.5000,crop_center_50,bbox_confidence_select,bbox_0,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.082562,19160
000000005529.png,five_region_spatial,2.5000,crop_center_50,bbox_similarity_select,bbox_0,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.082562,19160
000000005529.png,five_region_spatial,2.5000,crop_center_50,oracle_best_candidate,bbox_0,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.082562,19160
000000005529.png,five_region_spatial,2.5000,jpeg_q20,global_decode,global,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.940696,36941
000000005529.png,five_region_spatial,2.5000,jpeg_q20,bbox_confidence_select,global,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.940696,36941
000000005529.png,five_region_spatial,2.5000,jpeg_q20,bbox_similarity_select,global,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.940696,36941
000000005529.png,five_region_spatial,2.5000,jpeg_q20,oracle_best_candidate,global,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.940696,36941
000000005529.png,five_region_spatial,2.5000,resize_0.25_jpeg_q50,global_decode,global,11110110010100000011110000110001,11110110110100000011110000110010,0.906250,0,0.840082,39003
000000005529.png,five_region_spatial,2.5000,resize_0.25_jpeg_q50,bbox_confidence_select,bbox_0,11110110010100000011110000110001,11110110110100000011110000110010,0.906250,0,0.841069,38952
000000005529.png,five_region_spatial,2.5000,resize_0.25_jpeg_q50,bbox_similarity_select,bbox_0,11110110010100000011110000110001,11110110110100000011110000110010,0.906250,0,0.841069,38952
000000005529.png,five_region_spatial,2.5000,resize_0.25_jpeg_q50,oracle_best_candidate,bbox_0,11110110010100000011110000110001,11110110110100000011110000110010,0.906250,0,0.841069,38952
000000021167.png,single_center_50pct,2.5000,crop_top_left_50,global_decode,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.007904,378
000000021167.png,single_center_50pct,2.5000,crop_top_left_50,bbox_confidence_select,bbox_1,11110110010100000011110000110001,00000000000011000000000100000111,0.406250,0,0.217217,3410
000000021167.png,single_center_50pct,2.5000,crop_top_left_50,bbox_similarity_select,bbox_1,11110110010100000011110000110001,00000000000011000000000100000111,0.406250,0,0.217217,3410
000000021167.png,single_center_50pct,2.5000,crop_top_left_50,oracle_best_candidate,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.007904,378
000000021167.png,single_center_50pct,2.5000,crop_bottom_right_50,global_decode,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.094245,14497
000000021167.png,single_center_50pct,2.5000,crop_bottom_right_50,bbox_confidence_select,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.094245,14497
000000021167.png,single_center_50pct,2.5000,crop_bottom_right_50,bbox_similarity_select,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.094245,14497
000000021167.png,single_center_50pct,2.5000,crop_bottom_right_50,oracle_best_candidate,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.094245,14497
000000021167.png,single_center_50pct,2.5000,crop_center_50,global_decode,global,11110110010100000011110000110001,00000100010000000000000000010000,0.625000,0,0.159259,57520
000000021167.png,single_center_50pct,2.5000,crop_center_50,bbox_confidence_select,global,11110110010100000011110000110001,00000100010000000000000000010000,0.625000,0,0.159259,57520
000000021167.png,single_center_50pct,2.5000,crop_center_50,bbox_similarity_select,global,11110110010100000011110000110001,00000100010000000000000000010000,0.625000,0,0.159259,57520
000000021167.png,single_center_50pct,2.5000,crop_center_50,oracle_best_candidate,global,11110110010100000011110000110001,00000100010000000000000000010000,0.625000,0,0.159259,57520
000000021167.png,single_center_50pct,2.5000,jpeg_q20,global_decode,global,11110110010100000011110000110001,11110110000100000011110000110001,0.968750,0,0.912957,37129
000000021167.png,single_center_50pct,2.5000,jpeg_q20,bbox_confidence_select,global,11110110010100000011110000110001,11110110000100000011110000110001,0.968750,0,0.912957,37129
000000021167.png,single_center_50pct,2.5000,jpeg_q20,bbox_similarity_select,global,11110110010100000011110000110001,11110110000100000011110000110001,0.968750,0,0.912957,37129
000000021167.png,single_center_50pct,2.5000,jpeg_q20,oracle_best_candidate,global,11110110010100000011110000110001,11110110000100000011110000110001,0.968750,0,0.912957,37129
000000021167.png,single_center_50pct,2.5000,resize_0.25_jpeg_q50,global_decode,global,11110110010100000011110000110001,11110110000100000011110000110010,0.906250,0,0.763337,36658
000000021167.png,single_center_50pct,2.5000,resize_0.25_jpeg_q50,bbox_confidence_select,global,11110110010100000011110000110001,11110110000100000011110000110010,0.906250,0,0.763337,36658
000000021167.png,single_center_50pct,2.5000,resize_0.25_jpeg_q50,bbox_similarity_select,global,11110110010100000011110000110001,11110110000100000011110000110010,0.906250,0,0.763337,36658
000000021167.png,single_center_50pct,2.5000,resize_0.25_jpeg_q50,oracle_best_candidate,global,11110110010100000011110000110001,11110110000100000011110000110010,0.906250,0,0.763337,36658
000000021167.png,five_region_spatial,2.5000,crop_top_left_50,global_decode,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.064229,5184
000000021167.png,five_region_spatial,2.5000,crop_top_left_50,bbox_confidence_select,bbox_2,11110110010100000011110000110001,00100110000100100100001000001100,0.500000,0,0.220784,11981
000000021167.png,five_region_spatial,2.5000,crop_top_left_50,bbox_similarity_select,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.064229,5184
000000021167.png,five_region_spatial,2.5000,crop_top_left_50,oracle_best_candidate,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.064229,5184
000000021167.png,five_region_spatial,2.5000,crop_bottom_right_50,global_decode,global,11110110010100000011110000110001,00000100010000000000000010000000,0.562500,0,0.165126,17818
000000021167.png,five_region_spatial,2.5000,crop_bottom_right_50,bbox_confidence_select,global,11110110010100000011110000110001,00000100010000000000000010000000,0.562500,0,0.165126,17818
000000021167.png,five_region_spatial,2.5000,crop_bottom_right_50,bbox_similarity_select,global,11110110010100000011110000110001,00000100010000000000000010000000,0.562500,0,0.165126,17818
000000021167.png,five_region_spatial,2.5000,crop_bottom_right_50,oracle_best_candidate,global,11110110010100000011110000110001,00000100010000000000000010000000,0.562500,0,0.165126,17818
000000021167.png,five_region_spatial,2.5000,crop_center_50,global_decode,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.083921,22900
000000021167.png,five_region_spatial,2.5000,crop_center_50,bbox_confidence_select,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.083921,22900
000000021167.png,five_region_spatial,2.5000,crop_center_50,bbox_similarity_select,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.083921,22900
000000021167.png,five_region_spatial,2.5000,crop_center_50,oracle_best_candidate,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.083921,22900
000000021167.png,five_region_spatial,2.5000,jpeg_q20,global_decode,global,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.918663,36557
000000021167.png,five_region_spatial,2.5000,jpeg_q20,bbox_confidence_select,global,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.918663,36557
000000021167.png,five_region_spatial,2.5000,jpeg_q20,bbox_similarity_select,global,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.918663,36557
000000021167.png,five_region_spatial,2.5000,jpeg_q20,oracle_best_candidate,global,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.918663,36557
000000021167.png,five_region_spatial,2.5000,resize_0.25_jpeg_q50,global_decode,global,11110110010100000011110000110001,11110110110100000011110000110010,0.906250,0,0.819384,38340
000000021167.png,five_region_spatial,2.5000,resize_0.25_jpeg_q50,bbox_confidence_select,bbox_0,11110110010100000011110000110001,11110110110100000011110000110010,0.906250,0,0.820723,38339
000000021167.png,five_region_spatial,2.5000,resize_0.25_jpeg_q50,bbox_similarity_select,bbox_0,11110110010100000011110000110001,11110110110100000011110000110010,0.906250,0,0.820723,38339
000000021167.png,five_region_spatial,2.5000,resize_0.25_jpeg_q50,oracle_best_candidate,bbox_0,11110110010100000011110000110001,11110110110100000011110000110010,0.906250,0,0.820723,38339
000000022705.png,single_center_50pct,2.5000,crop_top_left_50,global_decode,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.039399,1707
000000022705.png,single_center_50pct,2.5000,crop_top_left_50,bbox_confidence_select,bbox_1,11110110010100000011110000110001,00000100000010000000000000000000,0.531250,0,0.120512,3254
000000022705.png,single_center_50pct,2.5000,crop_top_left_50,bbox_similarity_select,bbox_1,11110110010100000011110000110001,00000100000010000000000000000000,0.531250,0,0.120512,3254
000000022705.png,single_center_50pct,2.5000,crop_top_left_50,oracle_best_candidate,bbox_1,11110110010100000011110000110001,00000100000010000000000000000000,0.531250,0,0.120512,3254
000000022705.png,single_center_50pct,2.5000,crop_bottom_right_50,global_decode,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.011489,574
000000022705.png,single_center_50pct,2.5000,crop_bottom_right_50,bbox_confidence_select,bbox_1,11110110010100000011110000110001,10000000000000010000000010000000,0.500000,0,0.106528,2305
000000022705.png,single_center_50pct,2.5000,crop_bottom_right_50,bbox_similarity_select,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.011489,574
000000022705.png,single_center_50pct,2.5000,crop_bottom_right_50,oracle_best_candidate,global,11110110010100000011110000110001,00000000000000000000000000000000,0.531250,0,0.011489,574
000000022705.png,single_center_50pct,2.5000,crop_center_50,global_decode,global,11110110010100000011110000110001,00000000010000000000000000010000,0.593750,0,0.143079,49355
000000022705.png,single_center_50pct,2.5000,crop_center_50,bbox_confidence_select,global,11110110010100000011110000110001,00000000010000000000000000010000,0.593750,0,0.143079,49355
000000022705.png,single_center_50pct,2.5000,crop_center_50,bbox_similarity_select,global,11110110010100000011110000110001,00000000010000000000000000010000,0.593750,0,0.143079,49355
000000022705.png,single_center_50pct,2.5000,crop_center_50,oracle_best_candidate,global,11110110010100000011110000110001,00000000010000000000000000010000,0.593750,0,0.143079,49355
000000022705.png,single_center_50pct,2.5000,jpeg_q20,global_decode,global,11110110010100000011110000110001,11110110000100000011110000110001,0.968750,0,0.927531,36772
000000022705.png,single_center_50pct,2.5000,jpeg_q20,bbox_confidence_select,global,11110110010100000011110000110001,11110110000100000011110000110001,0.968750,0,0.927531,36772
000000022705.png,single_center_50pct,2.5000,jpeg_q20,bbox_similarity_select,global,11110110010100000011110000110001,11110110000100000011110000110001,0.968750,0,0.927531,36772
000000022705.png,single_center_50pct,2.5000,jpeg_q20,oracle_best_candidate,global,11110110010100000011110000110001,11110110000100000011110000110001,0.968750,0,0.927531,36772
000000022705.png,single_center_50pct,2.5000,resize_0.25_jpeg_q50,global_decode,global,11110110010100000011110000110001,11110110000100000011110000110011,0.937500,0,0.744752,36634
000000022705.png,single_center_50pct,2.5000,resize_0.25_jpeg_q50,bbox_confidence_select,bbox_0,11110110010100000011110000110001,11110110000100000011110000110011,0.937500,0,0.750505,36595
000000022705.png,single_center_50pct,2.5000,resize_0.25_jpeg_q50,bbox_similarity_select,bbox_0,11110110010100000011110000110001,11110110000100000011110000110011,0.937500,0,0.750505,36595
000000022705.png,single_center_50pct,2.5000,resize_0.25_jpeg_q50,oracle_best_candidate,bbox_0,11110110010100000011110000110001,11110110000100000011110000110011,0.937500,0,0.750505,36595
