scheme,scaling_w,attack,method,mean_bit_accuracy,min_bit_accuracy,num_images
five_region_spatial,2.5000,crop_bottom_right_50,bbox_confidence_select,0.515625,0.000000,50
five_region_spatial,2.5000,crop_bottom_right_50,bbox_similarity_select,0.519375,0.000000,50
five_region_spatial,2.5000,crop_bottom_right_50,global_decode,0.460000,0.000000,50
five_region_spatial,2.5000,crop_bottom_right_50,oracle_best_candidate,0.529375,0.000000,50
five_region_spatial,2.5000,crop_center_50,bbox_confidence_select,0.526875,0.375000,50
five_region_spatial,2.5000,crop_center_50,bbox_similarity_select,0.536875,0.468750,50
five_region_spatial,2.5000,crop_center_50,global_decode,0.493750,0.000000,50
five_region_spatial,2.5000,crop_center_50,oracle_best_candidate,0.545000,0.500000,50
five_region_spatial,2.5000,crop_top_left_50,bbox_confidence_select,0.483750,0.000000,50
five_region_spatial,2.5000,crop_top_left_50,bbox_similarity_select,0.488125,0.000000,50
five_region_spatial,2.5000,crop_top_left_50,global_decode,0.455000,0.000000,50
five_region_spatial,2.5000,crop_top_left_50,oracle_best_candidate,0.500625,0.000000,50
five_region_spatial,2.5000,jpeg_q20,bbox_confidence_select,0.995000,0.968750,50
five_region_spatial,2.5000,jpeg_q20,bbox_similarity_select,0.995000,0.968750,50
five_region_spatial,2.5000,jpeg_q20,global_decode,0.995000,0.968750,50
five_region_spatial,2.5000,jpeg_q20,oracle_best_candidate,0.995000,0.968750,50
five_region_spatial,2.5000,resize_0.25_jpeg_q50,bbox_confidence_select,0.911875,0.843750,50
five_region_spatial,2.5000,resize_0.25_jpeg_q50,bbox_similarity_select,0.912500,0.843750,50
five_region_spatial,2.5000,resize_0.25_jpeg_q50,global_decode,0.911250,0.843750,50
five_region_spatial,2.5000,resize_0.25_jpeg_q50,oracle_best_candidate,0.913125,0.843750,50
five_region_spatial,3.0000,crop_bottom_right_50,bbox_confidence_select,0.492500,0.000000,50
five_region_spatial,3.0000,crop_bottom_right_50,bbox_similarity_select,0.498125,0.000000,50
five_region_spatial,3.0000,crop_bottom_right_50,global_decode,0.447500,0.000000,50
five_region_spatial,3.0000,crop_bottom_right_50,oracle_best_candidate,0.510000,0.000000,50
five_region_spatial,3.0000,crop_center_50,bbox_confidence_select,0.528125,0.437500,50
five_region_spatial,3.0000,crop_center_50,bbox_similarity_select,0.533125,0.500000,50
five_region_spatial,3.0000,crop_center_50,global_decode,0.480625,0.000000,50
five_region_spatial,3.0000,crop_center_50,oracle_best_candidate,0.543750,0.531250,50
five_region_spatial,3.0000,crop_top_left_50,bbox_confidence_select,0.477500,0.000000,50
five_region_spatial,3.0000,crop_top_left_50,bbox_similarity_select,0.488125,0.000000,50
five_region_spatial,3.0000,crop_top_left_50,global_decode,0.435000,0.000000,50
five_region_spatial,3.0000,crop_top_left_50,oracle_best_candidate,0.492500,0.000000,50
five_region_spatial,3.0000,jpeg_q20,bbox_confidence_select,0.996875,0.968750,50
five_region_spatial,3.0000,jpeg_q20,bbox_similarity_select,0.996875,0.968750,50
five_region_spatial,3.0000,jpeg_q20,global_decode,0.996875,0.968750,50
five_region_spatial,3.0000,jpeg_q20,oracle_best_candidate,0.996875,0.968750,50
five_region_spatial,3.0000,resize_0.25_jpeg_q50,bbox_confidence_select,0.911250,0.875000,50
five_region_spatial,3.0000,resize_0.25_jpeg_q50,bbox_similarity_select,0.912500,0.875000,50
five_region_spatial,3.0000,resize_0.25_jpeg_q50,global_decode,0.910625,0.843750,50
five_region_spatial,3.0000,resize_0.25_jpeg_q50,oracle_best_candidate,0.912500,0.875000,50
single_center_50pct,2.5000,crop_bottom_right_50,bbox_confidence_select,0.502500,0.000000,50
single_center_50pct,2.5000,crop_bottom_right_50,bbox_similarity_select,0.514375,0.000000,50
single_center_50pct,2.5000,crop_bottom_right_50,global_decode,0.468125,0.000000,50
single_center_50pct,2.5000,crop_bottom_right_50,oracle_best_candidate,0.523750,0.000000,50
single_center_50pct,2.5000,crop_center_50,bbox_confidence_select,0.599375,0.562500,50
single_center_50pct,2.5000,crop_center_50,bbox_similarity_select,0.598750,0.562500,50
single_center_50pct,2.5000,crop_center_50,global_decode,0.598750,0.562500,50
single_center_50pct,2.5000,crop_center_50,oracle_best_candidate,0.599375,0.562500,50
single_center_50pct,2.5000,crop_top_left_50,bbox_confidence_select,0.496250,0.000000,50
single_center_50pct,2.5000,crop_top_left_50,bbox_similarity_select,0.496875,0.000000,50
single_center_50pct,2.5000,crop_top_left_50,global_decode,0.474375,0.000000,50
single_center_50pct,2.5000,crop_top_left_50,oracle_best_candidate,0.518750,0.000000,50
single_center_50pct,2.5000,jpeg_q20,bbox_confidence_select,0.976250,0.937500,50
single_center_50pct,2.5000,jpeg_q20,bbox_similarity_select,0.976250,0.937500,50
single_center_50pct,2.5000,jpeg_q20,global_decode,0.976250,0.937500,50
single_center_50pct,2.5000,jpeg_q20,oracle_best_candidate,0.976250,0.937500,50
single_center_50pct,2.5000,resize_0.25_jpeg_q50,bbox_confidence_select,0.895000,0.812500,50
single_center_50pct,2.5000,resize_0.25_jpeg_q50,bbox_similarity_select,0.896250,0.812500,50
single_center_50pct,2.5000,resize_0.25_jpeg_q50,global_decode,0.894375,0.812500,50
single_center_50pct,2.5000,resize_0.25_jpeg_q50,oracle_best_candidate,0.896875,0.812500,50
single_center_50pct,3.0000,crop_bottom_right_50,bbox_confidence_select,0.523125,0.000000,50
single_center_50pct,3.0000,crop_bottom_right_50,bbox_similarity_select,0.521875,0.000000,50
single_center_50pct,3.0000,crop_bottom_right_50,global_decode,0.468750,0.000000,50
single_center_50pct,3.0000,crop_bottom_right_50,oracle_best_candidate,0.535000,0.000000,50
single_center_50pct,3.0000,crop_center_50,bbox_confidence_select,0.595000,0.562500,50
single_center_50pct,3.0000,crop_center_50,bbox_similarity_select,0.594375,0.562500,50
single_center_50pct,3.0000,crop_center_50,global_decode,0.595000,0.562500,50
single_center_50pct,3.0000,crop_center_50,oracle_best_candidate,0.595000,0.562500,50
single_center_50pct,3.0000,crop_top_left_50,bbox_confidence_select,0.495625,0.000000,50
single_center_50pct,3.0000,crop_top_left_50,bbox_similarity_select,0.495625,0.000000,50
single_center_50pct,3.0000,crop_top_left_50,global_decode,0.476875,0.000000,50
single_center_50pct,3.0000,crop_top_left_50,oracle_best_candidate,0.511875,0.000000,50
single_center_50pct,3.0000,jpeg_q20,bbox_confidence_select,0.995000,0.968750,50
single_center_50pct,3.0000,jpeg_q20,bbox_similarity_select,0.995000,0.968750,50
single_center_50pct,3.0000,jpeg_q20,global_decode,0.995000,0.968750,50
single_center_50pct,3.0000,jpeg_q20,oracle_best_candidate,0.995000,0.968750,50
single_center_50pct,3.0000,resize_0.25_jpeg_q50,bbox_confidence_select,0.905625,0.843750,50
single_center_50pct,3.0000,resize_0.25_jpeg_q50,bbox_similarity_select,0.905000,0.843750,50
single_center_50pct,3.0000,resize_0.25_jpeg_q50,global_decode,0.908125,0.843750,50
single_center_50pct,3.0000,resize_0.25_jpeg_q50,oracle_best_candidate,0.908750,0.843750,50
