image,scheme,scaling_w,coding,attack,payload,decoded_payload,payload_accuracy,payload_success,full_message,predicted_full_message,full_bit_accuracy,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
000000005529.png,five_region_spatial,2.5000,uncoded10,none,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,10.3257,10.3257,34787,0
000000005529.png,five_region_spatial,2.5000,uncoded10,crop_bottom_right_50,1110111011,0000000000,0.200000,0,11101110110011111010111001111100,00000000000000000000000000000000,0.312500,10.3257,8.6193,23889,0
000000005529.png,five_region_spatial,2.5000,uncoded10,crop_center_50,1110111011,0000000001,0.300000,0,11101110110011111010111001111100,00000000010000100001000000000000,0.343750,10.3257,8.0062,22747,0
000000005529.png,five_region_spatial,2.5000,uncoded10,jpeg_q30,1110111011,0110111011,0.900000,0,11101110110011111010111001111100,01101110110011111010111001111100,0.968750,10.3257,12.8831,35914,0
000000005529.png,five_region_spatial,2.5000,uncoded10,jpeg_q20,1110111011,0110111011,0.900000,0,11101110110011111010111001111100,01101110110011111010111001111100,0.968750,10.3257,13.1249,36854,0
000000005529.png,five_region_spatial,2.5000,uncoded10,resize_0.25_jpeg_q50,1110111011,0110111011,0.900000,0,11101110110011111010111001111100,01101110110011111010111001011000,0.906250,10.3257,14.4344,37443,0
000000021167.png,five_region_spatial,2.5000,uncoded10,none,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111000,0.968750,10.4260,10.4260,34516,0
000000021167.png,five_region_spatial,2.5000,uncoded10,crop_bottom_right_50,1110111011,1000010001,0.500000,0,11101110110011111010111001111100,10000100010000100001000000000000,0.406250,10.4260,9.8086,30876,0
000000021167.png,five_region_spatial,2.5000,uncoded10,crop_center_50,1110111011,1000010000,0.400000,0,11101110110011111010111001111100,10000100000000100011000000000000,0.406250,10.4260,9.3843,28749,0
000000021167.png,five_region_spatial,2.5000,uncoded10,jpeg_q30,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001011100,0.968750,10.4260,13.0268,35926,0
