scaling_w,coding,attack,mean_payload_accuracy,payload_success_rate,mean_full_bit_accuracy,min_payload_accuracy,num_images
2.5000,rep3_10,crop_bottom_right_50,0.204000,0.000000,0.235000,0.200000,50
2.5000,rep3_10,crop_center_50,0.202000,0.000000,0.275625,0.200000,50
2.5000,rep3_10,jpeg_q20,0.832000,0.040000,0.824375,0.800000,50
2.5000,rep3_10,jpeg_q30,0.968000,0.720000,0.931250,0.800000,50
2.5000,rep3_10,none,1.000000,1.000000,0.997500,1.000000,50
2.5000,rep3_10,resize_0.25_jpeg_q50,0.824000,0.000000,0.782500,0.800000,50
2.5000,uncoded10,crop_bottom_right_50,0.276000,0.000000,0.320000,0.200000,50
2.5000,uncoded10,crop_center_50,0.254000,0.000000,0.329375,0.100000,50
2.5000,uncoded10,jpeg_q20,0.910000,0.100000,0.965625,0.900000,50
2.5000,uncoded10,jpeg_q30,0.964000,0.640000,0.987500,0.900000,50
2.5000,uncoded10,none,0.998000,0.980000,0.990625,0.900000,50
2.5000,uncoded10,resize_0.25_jpeg_q50,0.888000,0.000000,0.928125,0.800000,50
3.0000,rep3_10,crop_bottom_right_50,0.204000,0.000000,0.229375,0.200000,50
3.0000,rep3_10,crop_center_50,0.200000,0.000000,0.261875,0.200000,50
3.0000,rep3_10,jpeg_q20,0.852000,0.060000,0.832500,0.800000,50
3.0000,rep3_10,jpeg_q30,0.992000,0.920000,0.967500,0.900000,50
3.0000,rep3_10,none,1.000000,1.000000,0.979375,1.000000,50
3.0000,rep3_10,resize_0.25_jpeg_q50,0.838000,0.040000,0.789375,0.800000,50
3.0000,uncoded10,crop_bottom_right_50,0.230000,0.000000,0.285625,0.200000,50
3.0000,uncoded10,crop_center_50,0.206000,0.000000,0.302500,0.100000,50
3.0000,uncoded10,jpeg_q20,0.908000,0.080000,0.966250,0.900000,50
3.0000,uncoded10,jpeg_q30,0.964000,0.640000,0.988750,0.900000,50
3.0000,uncoded10,none,0.990000,0.900000,0.983750,0.900000,50
3.0000,uncoded10,resize_0.25_jpeg_q50,0.892000,0.000000,0.930625,0.800000,50
