scheme,scenario,attack,decode_method,mean_source_accuracy,min_source_accuracy,source_success_rate,mean_mask_pixels,mean_composite_psnr,num_source_rows
distributed_q50_s2.5,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.395833,0.343750,0.000000,27.0,16.3343,3
distributed_q50_s2.5,three_sources_crop_feather,jpeg_q50,localized_resize,0.447917,0.343750,0.000000,20255.7,16.3343,3
distributed_q50_s2.5,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.447917,0.343750,0.000000,20255.7,16.3343,3
distributed_q50_s2.5,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.000000,0.000000,0.000000,0.0,16.3343,3
distributed_q50_s2.5,three_sources_crop_feather,jpeg_q70,localized_resize,0.510417,0.437500,0.000000,20746.0,16.3343,3
distributed_q50_s2.5,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.510417,0.437500,0.000000,20746.0,16.3343,3
distributed_q50_s2.5,three_sources_crop_feather,none,global_full_canvas,0.385417,0.343750,0.000000,550.0,16.3343,3
distributed_q50_s2.5,three_sources_crop_feather,none,localized_resize,0.458333,0.406250,0.000000,5959.7,16.3343,3
distributed_q50_s2.5,three_sources_crop_feather,none,oracle_box_raw,0.458333,0.406250,0.000000,5959.7,16.3343,3
distributed_q50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.385417,0.343750,0.000000,225.0,16.3343,3
distributed_q50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,localized_resize,0.489583,0.406250,0.000000,20740.7,16.3343,3
distributed_q50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.489583,0.406250,0.000000,20740.7,16.3343,3
distributed_q50_s2.5,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.000000,0.000000,0.000000,0.0,18.4863,3
distributed_q50_s2.5,three_sources_extreme_downsize,jpeg_q50,localized_resize,0.333333,0.000000,0.000000,17533.3,18.4863,3
distributed_q50_s2.5,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0.333333,0.000000,0.000000,17533.3,18.4863,3
distributed_q50_s2.5,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0.000000,0.000000,0.000000,0.0,18.4863,3
distributed_q50_s2.5,three_sources_extreme_downsize,jpeg_q70,localized_resize,0.520833,0.312500,0.000000,36185.3,18.4863,3
distributed_q50_s2.5,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0.520833,0.312500,0.000000,36185.3,18.4863,3
distributed_q50_s2.5,three_sources_extreme_downsize,none,global_full_canvas,0.000000,0.000000,0.000000,0.0,18.4863,3
