scheme,code_mode,decode_method,mean_bit_accuracy,mean_payload_accuracy,payload_success_rate,mean_composite_psnr
distributed_q50_s2.5,identity_32bit,global_full_canvas,0.153320,0.515625,0.000000,17.3635
distributed_q50_s2.5,identity_32bit,localized_resize,0.666992,0.681641,0.062500,17.3635
distributed_q50_s2.5,identity_32bit,oracle_box_raw,0.666992,0.681641,0.062500,17.3635
distributed_q50_s3.0,identity_32bit,global_full_canvas,0.150391,0.512695,0.000000,16.1966
distributed_q50_s3.0,identity_32bit,localized_resize,0.647461,0.661133,0.062500,16.1966
distributed_q50_s3.0,identity_32bit,oracle_box_raw,0.647461,0.661133,0.062500,16.1966
full_material_s2.5,identity_32bit,global_full_canvas,0.291992,0.491211,0.000000,13.9458
full_material_s2.5,identity_32bit,localized_resize,0.788086,0.802734,0.031250,13.9458
full_material_s2.5,identity_32bit,oracle_box_raw,0.788086,0.802734,0.031250,13.9458
full_material_s3.0,identity_32bit,global_full_canvas,0.291016,0.490234,0.000000,12.8082
full_material_s3.0,identity_32bit,localized_resize,0.774414,0.789062,0.000000,12.8082
full_material_s3.0,identity_32bit,oracle_box_raw,0.774414,0.789062,0.000000,12.8082
single_center50_s2.5,identity_32bit,global_full_canvas,0.487305,0.487305,0.000000,15.4638
single_center50_s2.5,identity_32bit,localized_resize,0.777344,0.777344,0.000000,15.4638
single_center50_s2.5,identity_32bit,oracle_box_raw,0.777344,0.777344,0.000000,15.4638
