scheme,code_mode,scenario,attack,decode_method,mean_bit_accuracy,mean_payload_accuracy,payload_success_rate,mean_composite_psnr,num_source_rows
distributed_q50_s2.5,identity_32bit,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.000000,0.531250,0.000000,16.3487,3
distributed_q50_s2.5,identity_32bit,three_sources_crop_feather,jpeg_q50,localized_resize,0.520833,0.520833,0.000000,16.3487,3
distributed_q50_s2.5,identity_32bit,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.520833,0.520833,0.000000,16.3487,3
distributed_q50_s2.5,identity_32bit,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.552083,0.552083,0.000000,16.3487,3
distributed_q50_s2.5,identity_32bit,three_sources_crop_feather,jpeg_q70,localized_resize,0.635417,0.635417,0.000000,16.3487,3
distributed_q50_s2.5,identity_32bit,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.635417,0.635417,0.000000,16.3487,3
distributed_q50_s2.5,identity_32bit,three_sources_crop_feather,none,global_full_canvas,0.531250,0.531250,0.000000,16.3487,3
distributed_q50_s2.5,identity_32bit,three_sources_crop_feather,none,localized_resize,0.593750,0.593750,0.000000,16.3487,3
distributed_q50_s2.5,identity_32bit,three_sources_crop_feather,none,oracle_box_raw,0.593750,0.593750,0.000000,16.3487,3
distributed_q50_s2.5,identity_32bit,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.552083,0.552083,0.000000,16.3487,3
distributed_q50_s2.5,identity_32bit,three_sources_crop_feather,resize_0.5_jpeg70,localized_resize,0.593750,0.593750,0.000000,16.3487,3
distributed_q50_s2.5,identity_32bit,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.593750,0.593750,0.000000,16.3487,3
distributed_q50_s2.5,identity_32bit,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.000000,0.531250,0.000000,18.5133,3
distributed_q50_s2.5,identity_32bit,three_sources_extreme_downsize,jpeg_q50,localized_resize,0.354167,0.510417,0.000000,18.5133,3
distributed_q50_s2.5,identity_32bit,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0.354167,0.510417,0.000000,18.5133,3
distributed_q50_s2.5,identity_32bit,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0.000000,0.531250,0.000000,18.5133,3
distributed_q50_s2.5,identity_32bit,three_sources_extreme_downsize,jpeg_q70,localized_resize,0.656250,0.656250,0.000000,18.5133,3
distributed_q50_s2.5,identity_32bit,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0.656250,0.656250,0.000000,18.5133,3
distributed_q50_s2.5,identity_32bit,three_sources_extreme_downsize,none,global_full_canvas,0.000000,0.531250,0.000000,18.5133,3
distributed_q50_s2.5,identity_32bit,three_sources_extreme_downsize,none,localized_resize,0.614583,0.614583,0.000000,18.5133,3
distributed_q50_s2.5,identity_32bit,three_sources_extreme_downsize,none,oracle_box_raw,0.614583,0.614583,0.000000,18.5133,3
distributed_q50_s2.5,identity_32bit,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,0.000000,0.531250,0.000000,18.5133,3
distributed_q50_s2.5,identity_32bit,three_sources_extreme_downsize,resize_0.5_jpeg70,localized_resize,0.552083,0.552083,0.000000,18.5133,3
distributed_q50_s2.5,identity_32bit,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,0.552083,0.552083,0.000000,18.5133,3
distributed_q50_s2.5,identity_32bit,two_sources_downsize,jpeg_q50,global_full_canvas,0.000000,0.453125,0.000000,17.1610,2
distributed_q50_s2.5,identity_32bit,two_sources_downsize,jpeg_q50,localized_resize,0.984375,0.984375,0.500000,17.1610,2
distributed_q50_s2.5,identity_32bit,two_sources_downsize,jpeg_q50,oracle_box_raw,0.984375,0.984375,0.500000,17.1610,2
distributed_q50_s2.5,identity_32bit,two_sources_downsize,jpeg_q70,global_full_canvas,0.000000,0.453125,0.000000,17.1610,2
distributed_q50_s2.5,identity_32bit,two_sources_downsize,jpeg_q70,localized_resize,0.968750,0.968750,0.000000,17.1610,2
distributed_q50_s2.5,identity_32bit,two_sources_downsize,jpeg_q70,oracle_box_raw,0.968750,0.968750,0.000000,17.1610,2
distributed_q50_s2.5,identity_32bit,two_sources_downsize,none,global_full_canvas,0.000000,0.453125,0.000000,17.1610,2
distributed_q50_s2.5,identity_32bit,two_sources_downsize,none,localized_resize,0.984375,0.984375,0.500000,17.1610,2
distributed_q50_s2.5,identity_32bit,two_sources_downsize,none,oracle_box_raw,0.984375,0.984375,0.500000,17.1610,2
distributed_q50_s2.5,identity_32bit,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,0.000000,0.453125,0.000000,17.1610,2
distributed_q50_s2.5,identity_32bit,two_sources_downsize,resize_0.5_jpeg70,localized_resize,0.953125,0.953125,0.000000,17.1610,2
distributed_q50_s2.5,identity_32bit,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,0.953125,0.953125,0.000000,17.1610,2
distributed_q50_s3.0,identity_32bit,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.552083,0.552083,0.000000,15.2132,3
distributed_q50_s3.0,identity_32bit,three_sources_crop_feather,jpeg_q50,localized_resize,0.416667,0.562500,0.000000,15.2132,3
distributed_q50_s3.0,identity_32bit,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.416667,0.562500,0.000000,15.2132,3
distributed_q50_s3.0,identity_32bit,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.520833,0.520833,0.000000,15.2132,3
distributed_q50_s3.0,identity_32bit,three_sources_crop_feather,jpeg_q70,localized_resize,0.552083,0.552083,0.000000,15.2132,3
distributed_q50_s3.0,identity_32bit,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.552083,0.552083,0.000000,15.2132,3
distributed_q50_s3.0,identity_32bit,three_sources_crop_feather,none,global_full_canvas,0.531250,0.531250,0.000000,15.2132,3
distributed_q50_s3.0,identity_32bit,three_sources_crop_feather,none,localized_resize,0.562500,0.562500,0.000000,15.2132,3
distributed_q50_s3.0,identity_32bit,three_sources_crop_feather,none,oracle_box_raw,0.562500,0.562500,0.000000,15.2132,3
distributed_q50_s3.0,identity_32bit,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.000000,0.531250,0.000000,15.2132,3
distributed_q50_s3.0,identity_32bit,three_sources_crop_feather,resize_0.5_jpeg70,localized_resize,0.583333,0.583333,0.000000,15.2132,3
distributed_q50_s3.0,identity_32bit,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.583333,0.583333,0.000000,15.2132,3
distributed_q50_s3.0,identity_32bit,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.000000,0.531250,0.000000,17.3479,3
