image,scheme,scaling_w,attack,message,predicted,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
000000005529.png,single_center_50pct,1.5000,none,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,13.9345,13.9345,34887,0
000000005529.png,single_center_50pct,1.5000,remove_center_40,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,13.9345,20.5365,8847,0
000000005529.png,single_center_50pct,1.5000,black_center_40,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,13.9345,7.2474,34784,0
000000005529.png,single_center_50pct,1.5000,crop_top_left_50,00110001101000110111100001101011,00101000110000010011101011001001,0.656250,0,13.9345,7.8135,33268,0
000000005529.png,single_center_50pct,1.5000,crop_bottom_right_50,00110001101000110111100001101011,00100100000000000010001111000000,0.468750,0,13.9345,10.2861,33564,0
000000005529.png,single_center_50pct,1.5000,crop_center_50,00110001101000110111100001101011,00101100000100010011101011001001,0.593750,0,13.9345,8.1933,65536,0
000000005529.png,single_center_50pct,1.5000,jpeg_q30,00110001101000110111100001101011,01110001101000110111100001101011,0.968750,0,13.9345,16.7443,36825,0
000000005529.png,single_center_50pct,1.5000,jpeg_q20,00110001101000110111100001101011,01110001101000110111100001101011,0.968750,0,13.9345,16.9196,37063,0
000000005529.png,single_center_50pct,1.5000,resize_0.25_jpeg_q50,00110001101000110111100001101011,11110100001000110111110001000011,0.750000,0,13.9345,17.3652,36251,0
000000005529.png,five_region_spatial,1.5000,none,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,13.8120,13.8120,34133,0
000000005529.png,five_region_spatial,1.5000,remove_center_40,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,13.8120,15.4422,22022,0
000000005529.png,five_region_spatial,1.5000,black_center_40,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,13.8120,6.8151,38937,0
000000005529.png,five_region_spatial,1.5000,crop_top_left_50,00110001101000110111100001101011,00100000000000000010000011000000,0.562500,0,13.8120,7.3634,32692,0
000000005529.png,five_region_spatial,1.5000,crop_bottom_right_50,00110001101000110111100001101011,00100100000000000011000010000000,0.531250,0,13.8120,9.9656,31575,0
000000005529.png,five_region_spatial,1.5000,crop_center_50,00110001101000110111100001101011,00100100000000000011001011000000,0.531250,0,13.8120,8.7670,30574,0
000000005529.png,five_region_spatial,1.5000,jpeg_q30,00110001101000110111100001101011,01110001101000110111100001101011,0.968750,0,13.8120,16.5435,35615,0
000000005529.png,five_region_spatial,1.5000,jpeg_q20,00110001101000110111100001101011,01110001101000100111100001101011,0.937500,0,13.8120,16.8020,35229,0
000000005529.png,five_region_spatial,1.5000,resize_0.25_jpeg_q50,00110001101000110111100001101011,01110001101000110111110001101011,0.937500,0,13.8120,17.2740,36091,0
000000021167.png,single_center_50pct,1.5000,none,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,14.0795,14.0795,34286,0
000000021167.png,single_center_50pct,1.5000,remove_center_40,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,14.0795,20.9308,8346,0
000000021167.png,single_center_50pct,1.5000,black_center_40,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,14.0795,13.1017,34361,0
000000021167.png,single_center_50pct,1.5000,crop_top_left_50,00110001101000110111100001101011,00000000000000000010000011000000,0.531250,0,14.0795,11.1453,32401,0
000000021167.png,single_center_50pct,1.5000,crop_bottom_right_50,00110001101000110111100001101011,00101100000000010010101011000001,0.562500,0,14.0795,11.9046,33412,0
000000021167.png,single_center_50pct,1.5000,crop_center_50,00110001101000110111100001101011,00101100000100010010101011000001,0.531250,0,14.0795,9.5087,65536,0
000000021167.png,single_center_50pct,1.5000,jpeg_q30,00110001101000110111100001101011,01110001101000110111100001101011,0.968750,0,14.0795,17.0815,36873,0
000000021167.png,single_center_50pct,1.5000,jpeg_q20,00110001101000110111100001101011,01110001101000110111100001101011,0.968750,0,14.0795,17.3236,36742,0
000000021167.png,single_center_50pct,1.5000,resize_0.25_jpeg_q50,00110001101000110111100001101011,11110100001000110111110001000011,0.750000,0,14.0795,18.9786,36180,0
000000021167.png,five_region_spatial,1.5000,none,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,14.0765,14.0765,33691,0
000000021167.png,five_region_spatial,1.5000,remove_center_40,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,14.0765,15.8269,21797,0
000000021167.png,five_region_spatial,1.5000,black_center_40,00110001101000110111100001101011,00110001101000110111100001101011,1.000000,1,14.0765,11.7374,23808,0
000000021167.png,five_region_spatial,1.5000,crop_top_left_50,00110001101000110111100001101011,00100000000000000000000011000000,0.531250,0,14.0765,11.1058,32127,0
