scheme,scaling_w,attack,mean_bit_accuracy,min_bit_accuracy,mean_psnr_watermarked,num_images
five_region_spatial,1.5000,black_center_40,1.000000,1.000000,13.8244,50
five_region_spatial,1.5000,crop_bottom_right_50,0.524375,0.000000,13.8244,50
five_region_spatial,1.5000,crop_center_50,0.525625,0.437500,13.8244,50
five_region_spatial,1.5000,crop_top_left_50,0.545000,0.468750,13.8244,50
five_region_spatial,1.5000,jpeg_q20,0.939375,0.875000,13.8244,50
five_region_spatial,1.5000,jpeg_q30,0.967500,0.937500,13.8244,50
five_region_spatial,1.5000,none,1.000000,1.000000,13.8244,50
five_region_spatial,1.5000,remove_center_40,1.000000,1.000000,13.8244,50
five_region_spatial,1.5000,resize_0.25_jpeg_q50,0.933125,0.843750,13.8244,50
five_region_spatial,2.0000,black_center_40,1.000000,1.000000,11.7468,50
five_region_spatial,2.0000,crop_bottom_right_50,0.507500,0.000000,11.7468,50
five_region_spatial,2.0000,crop_center_50,0.518750,0.468750,11.7468,50
five_region_spatial,2.0000,crop_top_left_50,0.518125,0.437500,11.7468,50
five_region_spatial,2.0000,jpeg_q20,0.955625,0.906250,11.7468,50
five_region_spatial,2.0000,jpeg_q30,0.978125,0.968750,11.7468,50
five_region_spatial,2.0000,none,1.000000,1.000000,11.7468,50
five_region_spatial,2.0000,remove_center_40,1.000000,1.000000,11.7468,50
five_region_spatial,2.0000,resize_0.25_jpeg_q50,0.920000,0.781250,11.7468,50
five_region_spatial,2.5000,black_center_40,1.000000,1.000000,10.2778,50
five_region_spatial,2.5000,crop_bottom_right_50,0.503125,0.500000,10.2778,50
five_region_spatial,2.5000,crop_center_50,0.511250,0.468750,10.2778,50
five_region_spatial,2.5000,crop_top_left_50,0.503125,0.437500,10.2778,50
five_region_spatial,2.5000,jpeg_q20,0.962500,0.906250,10.2778,50
five_region_spatial,2.5000,jpeg_q30,0.985625,0.968750,10.2778,50
five_region_spatial,2.5000,none,0.986250,0.937500,10.2778,50
five_region_spatial,2.5000,remove_center_40,1.000000,1.000000,10.2778,50
five_region_spatial,2.5000,resize_0.25_jpeg_q50,0.911875,0.781250,10.2778,50
five_region_spatial,3.0000,black_center_40,0.999375,0.968750,9.2259,50
five_region_spatial,3.0000,crop_bottom_right_50,0.500625,0.500000,9.2259,50
five_region_spatial,3.0000,crop_center_50,0.501875,0.468750,9.2259,50
five_region_spatial,3.0000,crop_top_left_50,0.498125,0.437500,9.2259,50
five_region_spatial,3.0000,jpeg_q20,0.966250,0.937500,9.2259,50
five_region_spatial,3.0000,jpeg_q30,0.993125,0.968750,9.2259,50
five_region_spatial,3.0000,none,0.926250,0.875000,9.2259,50
five_region_spatial,3.0000,remove_center_40,0.996875,0.937500,9.2259,50
five_region_spatial,3.0000,resize_0.25_jpeg_q50,0.901250,0.781250,9.2259,50
single_center_50pct,1.5000,black_center_40,0.997500,0.937500,13.7426,50
single_center_50pct,1.5000,crop_bottom_right_50,0.537500,0.468750,13.7426,50
single_center_50pct,1.5000,crop_center_50,0.595000,0.531250,13.7426,50
single_center_50pct,1.5000,crop_top_left_50,0.548750,0.437500,13.7426,50
single_center_50pct,1.5000,jpeg_q20,0.943750,0.843750,13.7426,50
single_center_50pct,1.5000,jpeg_q30,0.970000,0.937500,13.7426,50
single_center_50pct,1.5000,none,1.000000,1.000000,13.7426,50
single_center_50pct,1.5000,remove_center_40,0.995000,0.937500,13.7426,50
single_center_50pct,1.5000,resize_0.25_jpeg_q50,0.870000,0.750000,13.7426,50
single_center_50pct,2.0000,black_center_40,0.995625,0.937500,11.6791,50
single_center_50pct,2.0000,crop_bottom_right_50,0.507500,0.468750,11.6791,50
single_center_50pct,2.0000,crop_center_50,0.578750,0.500000,11.6791,50
single_center_50pct,2.0000,crop_top_left_50,0.518125,0.437500,11.6791,50
single_center_50pct,2.0000,jpeg_q20,0.961875,0.906250,11.6791,50
single_center_50pct,2.0000,jpeg_q30,0.981875,0.968750,11.6791,50
single_center_50pct,2.0000,none,0.998125,0.968750,11.6791,50
single_center_50pct,2.0000,remove_center_40,0.985625,0.906250,11.6791,50
single_center_50pct,2.0000,resize_0.25_jpeg_q50,0.885625,0.750000,11.6791,50
single_center_50pct,2.5000,black_center_40,0.987500,0.906250,10.2077,50
single_center_50pct,2.5000,crop_bottom_right_50,0.501875,0.468750,10.2077,50
single_center_50pct,2.5000,crop_center_50,0.528750,0.468750,10.2077,50
single_center_50pct,2.5000,crop_top_left_50,0.505000,0.468750,10.2077,50
single_center_50pct,2.5000,jpeg_q20,0.968125,0.937500,10.2077,50
single_center_50pct,2.5000,jpeg_q30,0.988125,0.968750,10.2077,50
single_center_50pct,2.5000,none,0.970000,0.937500,10.2077,50
single_center_50pct,2.5000,remove_center_40,0.966250,0.843750,10.2077,50
single_center_50pct,2.5000,resize_0.25_jpeg_q50,0.893750,0.750000,10.2077,50
single_center_50pct,3.0000,black_center_40,0.981875,0.906250,9.1474,50
single_center_50pct,3.0000,crop_bottom_right_50,0.499375,0.468750,9.1474,50
single_center_50pct,3.0000,crop_center_50,0.493125,0.468750,9.1474,50
single_center_50pct,3.0000,crop_top_left_50,0.498750,0.468750,9.1474,50
single_center_50pct,3.0000,jpeg_q20,0.970000,0.937500,9.1474,50
single_center_50pct,3.0000,jpeg_q30,0.994375,0.968750,9.1474,50
single_center_50pct,3.0000,none,0.934375,0.906250,9.1474,50
single_center_50pct,3.0000,remove_center_40,0.940625,0.843750,9.1474,50
single_center_50pct,3.0000,resize_0.25_jpeg_q50,0.895000,0.718750,9.1474,50
