image,scaling_w,attack,message,predicted,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
000000005529.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1694,28.1694,32872,0
000000005529.png,0.2500,jpeg_q50,01000110001000101101011111111101,01000110001000101101011111011111,0.937500,0,28.1694,28.0086,33443,0
000000005529.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100100000000101101011111011111,0.843750,0,28.1694,26.9164,33562,0
000000005529.png,0.2500,jpeg_q20,01000110001000101101011111111101,01110110000000101001001011111101,0.812500,0,28.1694,26.3144,33545,0
000000005529.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1694,24.6702,33200,0
000000005529.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.1694,21.5958,33949,0
000000005529.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110000000101101011011011111,0.843750,0,28.1694,21.6034,33622,0
000000005529.png,0.2500,center_crop_0.5,01000110001000101101011111111101,01000110001001101101111111011101,0.906250,0,28.1694,9.3136,65536,0
000000021167.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1549,28.1549,32713,0
000000021167.png,0.2500,jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111111,0.968750,0,28.1549,30.6590,34583,0
000000021167.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100100000000101101011111011111,0.843750,0,28.1549,30.1456,35258,0
000000021167.png,0.2500,jpeg_q20,01000110001000101101011111111101,01110110001000101101010011111101,0.875000,0,28.1549,30.2068,33510,0
000000021167.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1549,28.7899,32679,0
000000021167.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.1549,28.0708,33730,0
000000021167.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,00100110000000101101011011011101,0.843750,0,28.1549,28.2317,35510,0
000000021167.png,0.2500,center_crop_0.5,01000110001000101101011111111101,00000110001000101101011111011101,0.937500,0,28.1549,12.5925,36238,0
000000022705.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.3887,28.3887,32758,0
000000022705.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110000000101101011011011111,0.843750,0,28.3887,29.8162,35913,0
000000022705.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110000000101101011111011111,0.875000,0,28.3887,29.2478,36652,0
000000022705.png,0.2500,jpeg_q20,01000110001000101101011111111101,01110110000000101001011011111101,0.843750,0,28.3887,28.8491,37285,0
000000022705.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.3887,27.4749,33012,0
000000022705.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111011101,0.937500,0,28.3887,25.1079,34017,0
000000022705.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,00100110000000101101011011011111,0.812500,0,28.3887,25.1216,35617,0
000000022705.png,0.2500,center_crop_0.5,01000110001000101101011111111101,01000110001001101101011111111101,0.968750,0,28.3887,10.8185,65536,0
000000025228.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.5539,28.5539,32661,0
000000025228.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110001000101101011111011111,0.906250,0,28.5539,31.0696,36167,0
000000025228.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110100000101101011111011111,0.843750,0,28.5539,30.6840,36682,0
000000025228.png,0.2500,jpeg_q20,01000110001000101101011111111101,01110110000000100101011011011101,0.812500,0,28.5539,30.5485,43314,0
000000025228.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.5539,29.7903,32897,0
000000025228.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.5539,30.3131,33850,0
000000025228.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110000000101101011111011111,0.875000,0,28.5539,30.5646,36090,0
000000025228.png,0.2500,center_crop_0.5,01000110001000101101011111111101,01000110001000101101011111011101,0.968750,0,28.5539,12.5979,54081,0
000000027620.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1615,28.1615,32778,0
000000027620.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110001000101101011111011101,0.937500,0,28.1615,29.3427,36046,0
000000027620.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100100000000101101011111011111,0.843750,0,28.1615,28.6916,36319,0
000000027620.png,0.2500,jpeg_q20,01000110001000101101011111111101,01110110100000101101000011111100,0.750000,0,28.1615,28.2384,36098,0
000000027620.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1615,26.9829,32907,0
000000027620.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.1615,24.7752,34070,0
000000027620.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110000000101101011011011111,0.843750,0,28.1615,24.7984,35316,0
000000027620.png,0.2500,center_crop_0.5,01000110001000101101011111111101,01000110001001101101011111011101,0.937500,0,28.1615,10.9498,53009,0
000000039405.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2522,28.2522,32403,0
000000039405.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110001000101101011111011111,0.906250,0,28.2522,29.0216,34135,0
000000039405.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110000000101101011111011111,0.875000,0,28.2522,28.3657,34778,0
000000039405.png,0.2500,jpeg_q20,01000110001000101101011111111101,01100110000000101101011011111111,0.875000,0,28.2522,27.7986,35122,0
000000039405.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2522,26.9122,32630,0
000000039405.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111011101,0.937500,0,28.2522,24.9283,33573,0
000000039405.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110100000101101011011011111,0.812500,0,28.2522,24.9384,34720,0
000000039405.png,0.2500,center_crop_0.5,01000110001000101101011111111101,11000110001000101101011111011101,0.937500,0,28.2522,17.8417,65536,0
000000075612.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2389,28.2389,32665,0
000000075612.png,0.2500,jpeg_q50,01000110001000101101011111111101,01000110001000101101011011111101,0.968750,0,28.2389,28.8929,35917,0
000000075612.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110000000101101011011111111,0.875000,0,28.2389,28.2627,42150,0
000000075612.png,0.2500,jpeg_q20,01000110001000101101011111111101,01100110000000101101011011011111,0.843750,0,28.2389,27.6603,40953,0
000000075612.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2389,27.3153,32407,0
000000075612.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.2389,24.6135,33801,0
000000075612.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110000000101101011011011101,0.875000,0,28.2389,24.5547,38249,0
000000075612.png,0.2500,center_crop_0.5,01000110001000101101011111111101,01000110001001101101011111111101,0.968750,0,28.2389,11.1500,60556,0
000000083531.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2357,28.2357,32598,0
000000083531.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110001000101101011111111111,0.937500,0,28.2357,27.6064,34717,0
000000083531.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110000000101101011111111111,0.906250,0,28.2357,26.8317,36042,0
000000083531.png,0.2500,jpeg_q20,01000110001000101101011111111101,01100110000000101101011011011111,0.843750,0,28.2357,26.1342,41157,0
000000083531.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2357,27.0493,32778,0
000000083531.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.2357,24.2200,33310,0
000000083531.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,00100110100000101101011011011111,0.781250,0,28.2357,23.9756,35192,0
000000083531.png,0.2500,center_crop_0.5,01000110001000101101011111111101,00000110001000101101011111011101,0.937500,0,28.2357,10.8004,65536,0
000000088848.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2192,28.2192,33103,0
000000088848.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110001000101101011111111111,0.937500,0,28.2192,27.0551,35440,0
000000088848.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100100000000101101011111011111,0.843750,0,28.2192,25.9308,37086,0
000000088848.png,0.2500,jpeg_q20,01000110001000101101011111111101,01100110000000101101011011111111,0.875000,0,28.2192,25.1720,39753,0
000000088848.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2192,24.6396,33147,0
000000088848.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.2192,20.3389,34168,0
000000088848.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110000000101101011011011101,0.875000,0,28.2192,20.2624,37695,0
000000088848.png,0.2500,center_crop_0.5,01000110001000101101011111111101,11000110001000101101011111011101,0.937500,0,28.2192,8.6519,65536,0
000000089648.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2765,28.2765,33012,0
000000089648.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110001000101101011011011111,0.875000,0,28.2765,28.8748,34524,0
000000089648.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110000000101101011011011111,0.843750,0,28.2765,27.9577,34661,0
000000089648.png,0.2500,jpeg_q20,01000110001000101101011111111101,01100110000000101101011011111111,0.875000,0,28.2765,27.3865,35168,0
000000089648.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2765,26.4278,33105,0
000000089648.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.2765,23.0426,33511,0
000000089648.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,00100110100000101101011011011111,0.781250,0,28.2765,23.0256,34981,0
000000089648.png,0.2500,center_crop_0.5,01000110001000101101011111111101,01000110001001101101011111011101,0.937500,0,28.2765,9.9768,59557,0
000000092177.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2759,28.2759,32586,0
000000092177.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110001000101101011111011101,0.937500,0,28.2759,29.1813,34954,0
000000092177.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110000000101101011111011111,0.875000,0,28.2759,28.3351,36423,0
000000092177.png,0.2500,jpeg_q20,01000110001000101101011111111101,01100110100000101101011111011111,0.843750,0,28.2759,27.6852,35780,0
000000092177.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2759,24.2019,32620,0
000000092177.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.2759,21.4520,33720,0
000000092177.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110000000101101011111011111,0.875000,0,28.2759,21.3981,36594,0
000000092177.png,0.2500,center_crop_0.5,01000110001000101101011111111101,01000110001001101101011111011101,0.937500,0,28.2759,7.8085,61953,0
000000098392.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1568,28.1568,32643,0
000000098392.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110000000101101011111011111,0.875000,0,28.1568,28.9031,35286,0
000000098392.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110000000101101011111011111,0.875000,0,28.1568,27.9826,35857,0
000000098392.png,0.2500,jpeg_q20,01000110001000101101011111111101,01110110100000101001001011011100,0.718750,0,28.1568,27.3078,34784,0
000000098392.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1568,25.7256,32885,0
000000098392.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.1568,22.9268,33726,0
000000098392.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110000000101101011011011111,0.843750,0,28.1568,22.9511,34703,0
000000098392.png,0.2500,center_crop_0.5,01000110001000101101011111111101,10000110001000101101011111011101,0.906250,0,28.1568,11.6029,65536,0
000000098520.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1629,28.1629,32724,0
000000098520.png,0.2500,jpeg_q50,01000110001000101101011111111101,01100110001000101101011111011111,0.906250,0,28.1629,30.6307,35050,0
000000098520.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110000000101101011111011111,0.875000,0,28.1629,30.1891,35099,0
000000098520.png,0.2500,jpeg_q20,01000110001000101101011111111101,01110110100000101101001011111101,0.812500,0,28.1629,30.1132,37046,0
000000098520.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1629,28.2802,32940,0
000000098520.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011111111101,0.968750,0,28.1629,27.1605,34023,0
000000098520.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,00100110100000101101011011011101,0.812500,0,28.1629,27.3725,35723,0
000000098520.png,0.2500,center_crop_0.5,01000110001000101101011111111101,01000110001101101101011111011101,0.906250,0,28.1629,15.2958,54111,0
000000107554.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1760,28.1760,32949,0
000000107554.png,0.2500,jpeg_q50,01000110001000101101011111111101,01000110001000101101011111011101,0.968750,0,28.1760,26.1837,35856,0
000000107554.png,0.2500,jpeg_q30,01000110001000101101011111111101,01100110001000101101011111011111,0.906250,0,28.1760,25.4671,42185,0
000000107554.png,0.2500,jpeg_q20,01000110001000101101011111111101,01100110001000101001011111111101,0.937500,0,28.1760,24.8427,39392,0
000000107554.png,0.2500,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.1760,24.9585,33172,0
000000107554.png,0.2500,resize_0.25,01000110001000101101011111111101,01100110001000101101011011111101,0.937500,0,28.1760,22.9160,34068,0
000000107554.png,0.2500,resize_0.25_jpeg_q50,01000110001000101101011111111101,01100110000000101101011011011101,0.875000,0,28.1760,22.8026,36445,0
000000107554.png,0.2500,center_crop_0.5,01000110001000101101011111111101,01000110001000101101011111011101,0.968750,0,28.1760,11.4302,47746,0
000000121673.png,0.2500,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,28.2296,28.2296,32908,0
000000121673.png,0.2500,jpeg_q50,01000110001000101101011111111101,01000110001000101101011111011111,0.937500,0,28.2296,29.4915,33619,0
