image,scheme,tamper,localizer,message,predicted,bit_accuracy,mask_pixels,tamper_coverage,global_precision,global_recall,global_f1,global_iou,covered_precision,covered_recall,covered_f1,covered_iou,psnr_watermarked,psnr_tampered
000000005529.png,single_center_50pct,remove_center_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,18644,1.000000,0.996663,0.984375,0.990480,0.981141,0.996663,0.984375,0.990480,0.981141,10.3510,13.2898
000000005529.png,single_center_50pct,remove_center_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,18644,1.000000,0.990177,0.984375,0.987267,0.974855,0.990177,0.984375,0.987267,0.974855,10.3510,13.2898
000000005529.png,single_center_50pct,remove_center_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,18644,1.000000,0.978004,0.990540,0.984231,0.968953,0.978004,0.990540,0.984231,0.968953,10.3510,13.2898
000000005529.png,single_center_50pct,remove_center_40,expected_missing,00100010111111010000001000111101,00100010011111010000001000111101,0.968750,9194,1.000000,0.999379,0.981024,0.990116,0.980427,0.999379,0.981024,0.990116,0.980427,10.3510,17.0716
000000005529.png,single_center_50pct,remove_center_40,clean_missing,00100010111111010000001000111101,00100010011111010000001000111101,0.968750,9194,1.000000,0.996131,0.981024,0.988519,0.977300,0.996131,0.981024,0.988519,0.977300,10.3510,17.0716
000000005529.png,single_center_50pct,remove_center_40,prob_drop,00100010111111010000001000111101,00100010011111010000001000111101,0.968750,9194,1.000000,0.987162,0.990322,0.988739,0.977729,0.987162,0.990322,0.988739,0.977729,10.3510,17.0716
000000005529.png,single_center_50pct,remove_top_left_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25957,0.505432,0.987339,0.504517,0.667797,0.501273,0.987339,0.998189,0.992734,0.985573,10.3510,11.5571
000000005529.png,single_center_50pct,remove_top_left_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25957,0.538208,0.971955,0.537292,0.692032,0.529090,0.971955,0.998299,0.984951,0.970348,10.3510,11.5571
000000005529.png,single_center_50pct,remove_top_left_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25957,0.541992,0.970675,0.541443,0.695137,0.532729,0.970675,0.998986,0.984627,0.969720,10.3510,11.5571
000000005529.png,single_center_50pct,remove_bottom_right_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,26097,0.505432,0.997582,0.503601,0.669316,0.502987,0.997582,0.996377,0.996979,0.993977,10.3510,11.5647
000000005529.png,single_center_50pct,remove_bottom_right_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,26097,0.539551,0.985900,0.537720,0.695892,0.533616,0.985900,0.996606,0.991224,0.982601,10.3510,11.5647
000000005529.png,single_center_50pct,remove_bottom_right_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,26097,0.542175,0.983590,0.541443,0.698421,0.536596,0.983590,0.998649,0.991062,0.982283,10.3510,11.5647
000000005529.png,single_center_50pct,black_center_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,34843,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.3510,8.3445
000000005529.png,single_center_50pct,black_center_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,34843,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.3510,8.3445
000000005529.png,single_center_50pct,black_center_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,34843,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.3510,8.3445
000000005529.png,distributed_q30_5block,remove_center_25,expected_missing,00100010111111010000001000111101,01100010111111010000001000111101,0.968750,16060,0.234619,0.994052,0.234619,0.379635,0.234290,0.994052,1.000000,0.997017,0.994052,12.4487,13.3413
000000005529.png,distributed_q30_5block,remove_center_25,clean_missing,00100010111111010000001000111101,01100010111111010000001000111101,0.968750,16060,0.247009,0.980140,0.247009,0.394579,0.245779,0.980140,1.000000,0.989970,0.980140,12.4487,13.3413
000000005529.png,distributed_q30_5block,remove_center_25,prob_drop,00100010111111010000001000111101,01100010111111010000001000111101,0.968750,16060,0.251282,0.984371,0.249878,0.398578,0.248891,0.984371,0.994413,0.989366,0.978957,12.4487,13.3413
000000005529.png,distributed_q30_5block,remove_center_40,expected_missing,00100010111111010000001000111101,01100010111111010000001000111101,0.968750,15007,0.185490,0.979317,0.180422,0.304707,0.179737,0.979317,0.972679,0.975986,0.953100,12.4487,13.6176
000000005529.png,distributed_q30_5block,remove_center_40,clean_missing,00100010111111010000001000111101,01100010111111010000001000111101,0.968750,15007,0.195626,0.965444,0.190558,0.318291,0.189267,0.965444,0.974094,0.969749,0.941276,12.4487,13.6176
000000005529.png,distributed_q30_5block,remove_center_40,prob_drop,00100010111111010000001000111101,01100010111111010000001000111101,0.968750,15007,0.200808,0.951093,0.195626,0.324505,0.193677,0.951093,0.974194,0.962504,0.927720,12.4487,13.6176
000000005529.png,distributed_q30_5block,remove_top_left_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14950,0.300903,0.985362,0.299927,0.459875,0.298596,0.985362,0.996755,0.991025,0.982211,12.4487,13.7725
000000005529.png,distributed_q30_5block,remove_top_left_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14950,0.313232,0.975591,0.312256,0.473090,0.309835,0.975591,0.996882,0.986121,0.972624,12.4487,13.7725
000000005529.png,distributed_q30_5block,remove_top_left_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14950,0.316406,0.973491,0.316040,0.477169,0.313343,0.973491,0.998843,0.986003,0.972394,12.4487,13.7725
000000005529.png,distributed_q30_5block,remove_bottom_right_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,15038,0.300903,0.989489,0.298767,0.458956,0.297822,0.989489,0.992901,0.991191,0.982537,12.4487,13.6106
000000005529.png,distributed_q30_5block,remove_bottom_right_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,15038,0.305786,0.982619,0.303650,0.463934,0.302028,0.982619,0.993014,0.987789,0.975873,12.4487,13.6106
000000005529.png,distributed_q30_5block,remove_bottom_right_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,15038,0.308105,0.982617,0.307068,0.467913,0.305409,0.982617,0.996632,0.989575,0.979365,12.4487,13.6106
000000005529.png,distributed_q30_5block,black_center_25,expected_missing,00100010111111010000001000111101,01100010111111010000001000111101,0.968750,16111,0.234619,0.994052,0.234619,0.379635,0.234290,0.994052,1.000000,0.997017,0.994052,12.4487,8.3610
000000005529.png,distributed_q30_5block,black_center_25,clean_missing,00100010111111010000001000111101,01100010111111010000001000111101,0.968750,16111,0.247009,0.985151,0.247009,0.394983,0.246093,0.985151,1.000000,0.992519,0.985151,12.4487,8.3610
000000005529.png,distributed_q30_5block,black_center_25,prob_drop,00100010111111010000001000111101,01100010111111010000001000111101,0.968750,16111,0.251282,0.986849,0.247314,0.395510,0.246502,0.986849,0.984212,0.985528,0.971470,12.4487,8.3610
000000005529.png,distributed_q50_5block,remove_center_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25541,0.461182,0.984503,0.453674,0.621124,0.450458,0.984503,0.983722,0.984112,0.968721,10.2812,11.3668
000000005529.png,distributed_q50_5block,remove_center_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25541,0.548523,0.971930,0.541016,0.695106,0.532692,0.971930,0.986314,0.979068,0.958996,10.2812,11.3668
000000005529.png,distributed_q50_5block,remove_center_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25541,0.561951,0.969868,0.555969,0.706781,0.546529,0.969868,0.989356,0.979515,0.959852,10.2812,11.3668
000000005529.png,distributed_q50_5block,remove_center_40,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,22091,0.420058,0.995275,0.409351,0.580107,0.408557,0.995275,0.974510,0.984783,0.970023,10.2812,11.9798
