coding,attack,mean_payload_accuracy,payload_success_rate,min_payload_accuracy,mean_full_bit_accuracy,num_images
hamming74_10,crop_bottom_right_50,0.880000,0.600000,0.700000,0.918750,5
hamming74_10,crop_center_50,0.960000,0.800000,0.800000,0.950000,5
hamming74_10,jpeg_q20,0.860000,0.600000,0.600000,0.837500,5
hamming74_10,jpeg_q30,0.920000,0.800000,0.600000,0.937500,5
hamming74_10,none,1.000000,1.000000,1.000000,1.000000,5
hamming74_10,resize_0.25_jpeg_q50,1.000000,1.000000,1.000000,0.943750,5
hamming74_interleaved10,crop_bottom_right_50,0.920000,0.600000,0.700000,0.962500,5
hamming74_interleaved10,crop_center_50,1.000000,1.000000,1.000000,0.968750,5
hamming74_interleaved10,jpeg_q20,0.800000,0.600000,0.500000,0.806250,5
hamming74_interleaved10,jpeg_q30,0.960000,0.800000,0.800000,0.931250,5
hamming74_interleaved10,none,1.000000,1.000000,1.000000,1.000000,5
hamming74_interleaved10,resize_0.25_jpeg_q50,0.900000,0.800000,0.500000,0.943750,5
rep3_adjacent10,crop_bottom_right_50,0.960000,0.600000,0.900000,0.931250,5
rep3_adjacent10,crop_center_50,1.000000,1.000000,1.000000,0.956250,5
rep3_adjacent10,jpeg_q20,0.840000,0.600000,0.600000,0.831250,5
rep3_adjacent10,jpeg_q30,0.900000,0.800000,0.500000,0.906250,5
rep3_adjacent10,none,1.000000,1.000000,1.000000,1.000000,5
rep3_adjacent10,resize_0.25_jpeg_q50,0.980000,0.800000,0.900000,0.956250,5
rep3_interleaved10,crop_bottom_right_50,0.960000,0.800000,0.800000,0.925000,5
rep3_interleaved10,crop_center_50,1.000000,1.000000,1.000000,0.962500,5
rep3_interleaved10,jpeg_q20,0.840000,0.400000,0.500000,0.831250,5
rep3_interleaved10,jpeg_q30,0.980000,0.800000,0.900000,0.925000,5
rep3_interleaved10,none,1.000000,1.000000,1.000000,1.000000,5
rep3_interleaved10,resize_0.25_jpeg_q50,0.980000,0.800000,0.900000,0.943750,5
uncoded10,crop_bottom_right_50,0.920000,0.400000,0.800000,0.950000,5
uncoded10,crop_center_50,1.000000,1.000000,1.000000,0.993750,5
uncoded10,jpeg_q20,0.840000,0.600000,0.600000,0.862500,5
uncoded10,jpeg_q30,0.980000,0.800000,0.900000,0.937500,5
uncoded10,none,1.000000,1.000000,1.000000,1.000000,5
uncoded10,resize_0.25_jpeg_q50,1.000000,1.000000,1.000000,0.981250,5
