image,attack,bit_accuracy,message_success
000000005529.png,none,1.000000,1
000000005529.png,saturation_1.5,1.000000,1
000000005529.png,brightness_1.5,1.000000,1
000000005529.png,contrast_1.5,1.000000,1
000000005529.png,jpeg_q30,1.000000,1
000000021167.png,none,1.000000,1
000000021167.png,saturation_1.5,1.000000,1
000000021167.png,brightness_1.5,1.000000,1
000000021167.png,contrast_1.5,1.000000,1
000000021167.png,jpeg_q30,1.000000,1
000000022705.png,none,1.000000,1
000000022705.png,saturation_1.5,1.000000,1
000000022705.png,brightness_1.5,1.000000,1
000000022705.png,contrast_1.5,1.000000,1
000000022705.png,jpeg_q30,1.000000,1
000000025228.png,none,1.000000,1
000000025228.png,saturation_1.5,1.000000,1
000000025228.png,brightness_1.5,1.000000,1
000000025228.png,contrast_1.5,1.000000,1
000000025228.png,jpeg_q30,1.000000,1
000000027620.png,none,1.000000,1
000000027620.png,saturation_1.5,1.000000,1
000000027620.png,brightness_1.5,1.000000,1
000000027620.png,contrast_1.5,1.000000,1
000000027620.png,jpeg_q30,1.000000,1
000000039405.png,none,1.000000,1
000000039405.png,saturation_1.5,1.000000,1
000000039405.png,brightness_1.5,1.000000,1
000000039405.png,contrast_1.5,1.000000,1
000000039405.png,jpeg_q30,1.000000,1
000000075612.png,none,1.000000,1
000000075612.png,saturation_1.5,1.000000,1
000000075612.png,brightness_1.5,1.000000,1
000000075612.png,contrast_1.5,1.000000,1
000000075612.png,jpeg_q30,1.000000,1
000000083531.png,none,1.000000,1
000000083531.png,saturation_1.5,1.000000,1
000000083531.png,brightness_1.5,1.000000,1
000000083531.png,contrast_1.5,1.000000,1
000000083531.png,jpeg_q30,1.000000,1
000000088848.png,none,1.000000,1
000000088848.png,saturation_1.5,1.000000,1
000000088848.png,brightness_1.5,1.000000,1
000000088848.png,contrast_1.5,1.000000,1
000000088848.png,jpeg_q30,1.000000,1
000000089648.png,none,1.000000,1
000000089648.png,saturation_1.5,1.000000,1
000000089648.png,brightness_1.5,1.000000,1
000000089648.png,contrast_1.5,1.000000,1
000000089648.png,jpeg_q30,1.000000,1
000000092177.png,none,1.000000,1
000000092177.png,saturation_1.5,1.000000,1
000000092177.png,brightness_1.5,1.000000,1
000000092177.png,contrast_1.5,1.000000,1
000000092177.png,jpeg_q30,1.000000,1
000000098392.png,none,1.000000,1
000000098392.png,saturation_1.5,1.000000,1
000000098392.png,brightness_1.5,1.000000,1
000000098392.png,contrast_1.5,1.000000,1
000000098392.png,jpeg_q30,1.000000,1
000000098520.png,none,1.000000,1
000000098520.png,saturation_1.5,1.000000,1
000000098520.png,brightness_1.5,1.000000,1
000000098520.png,contrast_1.5,1.000000,1
000000098520.png,jpeg_q30,1.000000,1
000000107554.png,none,1.000000,1
000000107554.png,saturation_1.5,1.000000,1
000000107554.png,brightness_1.5,1.000000,1
000000107554.png,contrast_1.5,1.000000,1
000000107554.png,jpeg_q30,1.000000,1
000000121673.png,none,1.000000,1
000000121673.png,saturation_1.5,1.000000,1
000000121673.png,brightness_1.5,1.000000,1
000000121673.png,contrast_1.5,1.000000,1
000000121673.png,jpeg_q30,1.000000,1
000000134322.png,none,1.000000,1
000000134322.png,saturation_1.5,1.000000,1
000000134322.png,brightness_1.5,1.000000,1
000000134322.png,contrast_1.5,1.000000,1
000000134322.png,jpeg_q30,1.000000,1
000000150649.png,none,1.000000,1
000000150649.png,saturation_1.5,1.000000,1
000000150649.png,brightness_1.5,1.000000,1
000000150649.png,contrast_1.5,1.000000,1
000000150649.png,jpeg_q30,1.000000,1
000000154000.png,none,1.000000,1
000000154000.png,saturation_1.5,1.000000,1
000000154000.png,brightness_1.5,1.000000,1
000000154000.png,contrast_1.5,1.000000,1
000000154000.png,jpeg_q30,1.000000,1
000000186632.png,none,1.000000,1
000000186632.png,saturation_1.5,1.000000,1
000000186632.png,brightness_1.5,1.000000,1
000000186632.png,contrast_1.5,1.000000,1
000000186632.png,jpeg_q30,1.000000,1
000000201775.png,none,1.000000,1
000000201775.png,saturation_1.5,1.000000,1
000000201775.png,brightness_1.5,1.000000,1
000000201775.png,contrast_1.5,1.000000,1
000000201775.png,jpeg_q30,1.000000,1
000000205647.png,none,1.000000,1
000000205647.png,saturation_1.5,1.000000,1
000000205647.png,brightness_1.5,1.000000,1
000000205647.png,contrast_1.5,1.000000,1
000000205647.png,jpeg_q30,1.000000,1
000000207306.png,none,1.000000,1
000000207306.png,saturation_1.5,1.000000,1
000000207306.png,brightness_1.5,1.000000,1
000000207306.png,contrast_1.5,1.000000,1
000000207306.png,jpeg_q30,1.000000,1
000000210299.png,none,1.000000,1
000000210299.png,saturation_1.5,1.000000,1
000000210299.png,brightness_1.5,1.000000,1
000000210299.png,contrast_1.5,1.000000,1
000000210299.png,jpeg_q30,1.000000,1
