image,mask_ratio,attack,bit_accuracy,message_success,psnr_watermarked,psnr_attacked
000000005529.png,0.5,none,1.000000,1,10.3938,10.3938
000000005529.png,0.5,center_crop_0.5,0.500000,0,10.3938,6.9257
000000005529.png,0.5,center_crop_0.75,0.750000,0,10.3938,7.6484
000000005529.png,0.5,random_crop_0.5,0.531250,0,10.3938,6.8522
000000005529.png,0.5,jpeg_q30,1.000000,1,10.3938,12.9983
000000021167.png,0.5,none,1.000000,1,10.4893,10.4893
000000021167.png,0.5,center_crop_0.5,0.500000,0,10.4893,7.4021
000000021167.png,0.5,center_crop_0.75,0.781250,0,10.4893,8.0460
000000021167.png,0.5,random_crop_0.5,0.500000,0,10.4893,9.9827
000000021167.png,0.5,jpeg_q30,1.000000,1,10.4893,13.1857
000000022705.png,0.5,none,1.000000,1,10.1192,10.1192
000000022705.png,0.5,center_crop_0.5,0.500000,0,10.1192,7.0201
000000022705.png,0.5,center_crop_0.75,0.750000,0,10.1192,7.4827
000000022705.png,0.5,random_crop_0.5,0.531250,0,10.1192,7.4249
000000022705.png,0.5,jpeg_q30,1.000000,1,10.1192,12.9561
000000025228.png,0.5,none,1.000000,1,10.1158,10.1158
000000025228.png,0.5,center_crop_0.5,0.500000,0,10.1158,7.5830
000000025228.png,0.5,center_crop_0.75,0.656250,0,10.1158,8.0249
000000025228.png,0.5,random_crop_0.5,0.625000,0,10.1158,7.8255
000000025228.png,0.5,jpeg_q30,1.000000,1,10.1158,12.8826
000000027620.png,0.5,none,1.000000,1,9.9764,9.9764
000000027620.png,0.5,center_crop_0.5,0.500000,0,9.9764,6.7739
000000027620.png,0.5,center_crop_0.75,0.656250,0,9.9764,7.1624
000000027620.png,0.5,random_crop_0.5,0.593750,0,9.9764,8.0682
000000027620.png,0.5,jpeg_q30,1.000000,1,9.9764,12.9910
000000039405.png,0.5,none,1.000000,1,10.7925,10.7925
000000039405.png,0.5,center_crop_0.5,0.500000,0,10.7925,7.7974
000000039405.png,0.5,center_crop_0.75,0.687500,0,10.7925,8.3991
000000039405.png,0.5,random_crop_0.5,0.656250,0,10.7925,9.3391
000000039405.png,0.5,jpeg_q30,1.000000,1,10.7925,13.1201
000000075612.png,0.5,none,1.000000,1,10.1194,10.1194
000000075612.png,0.5,center_crop_0.5,0.500000,0,10.1194,6.9649
