image,mask_ratio,attack,bit_accuracy,message_success,psnr_watermarked,psnr_attacked
000000005529.png,0.5,none,1.000000,1,10.3938,10.3938
000000005529.png,0.5,center_crop_0.5,0.500000,0,10.3938,6.9257
000000005529.png,0.5,center_crop_0.75,0.750000,0,10.3938,7.6484
000000005529.png,0.5,random_crop_0.5,0.531250,0,10.3938,6.8522
000000005529.png,0.5,jpeg_q30,1.000000,1,10.3938,12.9983
000000005529.png,0.6,none,1.000000,1,9.5930,9.5930
000000005529.png,0.6,center_crop_0.5,0.500000,0,9.5930,6.9257
000000005529.png,0.6,center_crop_0.75,0.781250,0,9.5930,7.2353
000000005529.png,0.6,random_crop_0.5,0.531250,0,9.5930,8.0800
000000005529.png,0.6,jpeg_q30,1.000000,1,9.5930,12.2522
000000005529.png,0.7,none,1.000000,1,8.8898,8.8898
000000005529.png,0.7,center_crop_0.5,0.500000,0,8.8898,6.9257
000000005529.png,0.7,center_crop_0.75,0.781250,0,8.8898,7.2353
000000005529.png,0.7,random_crop_0.5,0.500000,0,8.8898,7.2750
000000005529.png,0.7,jpeg_q30,1.000000,1,8.8898,11.5673
000000005529.png,0.8,none,1.000000,1,8.3048,8.3048
000000005529.png,0.8,center_crop_0.5,0.500000,0,8.3048,6.9257
000000005529.png,0.8,center_crop_0.75,0.781250,0,8.3048,7.2353
000000005529.png,0.8,random_crop_0.5,0.562500,0,8.3048,7.0770
000000005529.png,0.8,jpeg_q30,1.000000,1,8.3048,10.9745
000000005529.png,0.9,none,1.000000,1,7.7957,7.7957
000000005529.png,0.9,center_crop_0.5,0.500000,0,7.7957,6.9257
000000005529.png,0.9,center_crop_0.75,0.781250,0,7.7957,7.2353
000000005529.png,0.9,random_crop_0.5,0.562500,0,7.7957,7.2602
000000005529.png,0.9,jpeg_q30,1.000000,1,7.7957,10.4802
000000005529.png,1.0,none,1.000000,1,7.2986,7.2986
000000005529.png,1.0,center_crop_0.5,0.500000,0,7.2986,6.9257
000000005529.png,1.0,center_crop_0.75,0.781250,0,7.2986,7.2353
000000005529.png,1.0,random_crop_0.5,0.625000,0,7.2986,7.0956
000000005529.png,1.0,jpeg_q30,1.000000,1,7.2986,9.9374
000000021167.png,0.5,none,1.000000,1,10.4893,10.4893
000000021167.png,0.5,center_crop_0.5,0.500000,0,10.4893,7.4021
