mask_ratio,attack,mean_bit_accuracy,message_success_rate,mean_psnr,num_samples
0.5,center_crop_0.5,0.500000,0.0000,10.2162,50
0.5,center_crop_0.75,0.660625,0.0000,10.2162,50
0.5,jpeg_q30,0.997500,0.9200,10.2162,50
0.5,none,1.000000,1.0000,10.2162,50
0.5,random_crop_0.5,0.505625,0.0000,10.2162,50
0.6,center_crop_0.5,0.500000,0.0000,9.4339,50
0.6,center_crop_0.75,0.732500,0.0000,9.4339,50
0.6,jpeg_q30,0.998750,0.9600,9.4339,50
0.6,none,1.000000,1.0000,9.4339,50
0.6,random_crop_0.5,0.513750,0.0000,9.4339,50
0.7,center_crop_0.5,0.500000,0.0000,8.7569,50
0.7,center_crop_0.75,0.732500,0.0000,8.7569,50
0.7,jpeg_q30,0.997500,0.9200,8.7569,50
0.7,none,1.000000,1.0000,8.7569,50
0.7,random_crop_0.5,0.515625,0.0000,8.7569,50
0.8,center_crop_0.5,0.500000,0.0000,8.2097,50
0.8,center_crop_0.75,0.732500,0.0000,8.2097,50
0.8,jpeg_q30,1.000000,1.0000,8.2097,50
0.8,none,1.000000,1.0000,8.2097,50
0.8,random_crop_0.5,0.521875,0.0000,8.2097,50
0.9,center_crop_0.5,0.500000,0.0000,7.6905,50
0.9,center_crop_0.75,0.732500,0.0000,7.6905,50
0.9,jpeg_q30,1.000000,1.0000,7.6905,50
0.9,none,1.000000,1.0000,7.6905,50
0.9,random_crop_0.5,0.503750,0.0000,7.6905,50
1.0,center_crop_0.5,0.500000,0.0000,7.2090,50
1.0,center_crop_0.75,0.732500,0.0000,7.2090,50
1.0,jpeg_q30,1.000000,1.0000,7.2090,50
1.0,none,1.000000,1.0000,7.2090,50
1.0,random_crop_0.5,0.515625,0.0000,7.2090,50
