image,scheme,area_percent,block_count,scaling_w,attack,message,predicted,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
alpaca.jpg,single_center_50pct,50,1,2.5000,none,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,36.4428,36.4428,32575,0
alpaca.jpg,single_center_50pct,50,1,2.5000,remove_center_40,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,36.4428,42.7398,7901,0
alpaca.jpg,single_center_50pct,50,1,2.5000,black_center_40,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,36.4428,9.6613,33183,0
alpaca.jpg,single_center_50pct,50,1,2.5000,crop_top_left_50,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,36.4428,8.8418,32686,0
alpaca.jpg,single_center_50pct,50,1,2.5000,crop_bottom_right_50,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,36.4428,9.9050,33121,0
alpaca.jpg,single_center_50pct,50,1,2.5000,crop_center_50,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,36.4428,9.5369,65536,0
alpaca.jpg,single_center_50pct,50,1,2.5000,jpeg_q30,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,36.4428,25.4880,32570,0
alpaca.jpg,single_center_50pct,50,1,2.5000,jpeg_q20,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,36.4428,24.6102,32480,0
alpaca.jpg,single_center_50pct,50,1,2.5000,resize_0.25_jpeg_q50,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,36.4428,19.6477,32483,0
alpaca.jpg,dwsf_q10_5block,10,5,2.5000,none,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,44.4683,44.4683,6718,0
alpaca.jpg,dwsf_q10_5block,10,5,2.5000,remove_center_40,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,44.4683,44.6363,5379,0
alpaca.jpg,dwsf_q10_5block,10,5,2.5000,black_center_40,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,44.4683,9.6620,5379,0
alpaca.jpg,dwsf_q10_5block,10,5,2.5000,crop_top_left_50,01001010111000010011001110000100,00001110010000010101101010000010,0.687500,0,44.4683,8.8379,6488,0
alpaca.jpg,dwsf_q10_5block,10,5,2.5000,crop_bottom_right_50,01001010111000010011001110000100,00100000101100110001001110000010,0.687500,0,44.4683,9.9106,6744,0
alpaca.jpg,dwsf_q10_5block,10,5,2.5000,crop_center_50,01001010111000010011001110000100,00001010011000011111001110000000,0.843750,0,44.4683,9.5326,5481,0
alpaca.jpg,dwsf_q10_5block,10,5,2.5000,jpeg_q30,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,44.4683,25.7408,6652,0
alpaca.jpg,dwsf_q10_5block,10,5,2.5000,jpeg_q20,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,44.4683,24.8083,6649,0
alpaca.jpg,dwsf_q10_5block,10,5,2.5000,resize_0.25_jpeg_q50,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,44.4683,19.7173,6661,0
alpaca.jpg,dwsf_q10_9block,10,9,2.5000,none,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,44.1726,44.1726,6753,0
alpaca.jpg,dwsf_q10_9block,10,9,2.5000,remove_center_40,01001010111000010011001110000100,01001010111000010001001110000000,0.937500,0,44.1726,43.9886,5935,0
alpaca.jpg,dwsf_q10_9block,10,9,2.5000,black_center_40,01001010111000010011001110000100,01001010111000010001001110000100,0.968750,0,44.1726,9.6618,5853,0
alpaca.jpg,dwsf_q10_9block,10,9,2.5000,crop_top_left_50,01001010111000010011001110000100,00001010010000001000001010000010,0.687500,0,44.1726,8.8385,6744,0
alpaca.jpg,dwsf_q10_9block,10,9,2.5000,crop_bottom_right_50,01001010111000010011001110000100,00000010000000010101001110000000,0.750000,0,44.1726,9.9103,6287,0
alpaca.jpg,dwsf_q10_9block,10,9,2.5000,crop_center_50,01001010111000010011001110000100,10001010011000011100001010001010,0.656250,0,44.1726,9.5316,2931,0
alpaca.jpg,dwsf_q10_9block,10,9,2.5000,jpeg_q30,01001010111000010011001110000100,01001010111000010011001110000000,0.968750,0,44.1726,25.7359,6809,0
alpaca.jpg,dwsf_q10_9block,10,9,2.5000,jpeg_q20,01001010111000010011001110000100,01001010111000010011001110001000,0.937500,0,44.1726,24.8035,6686,0
alpaca.jpg,dwsf_q10_9block,10,9,2.5000,resize_0.25_jpeg_q50,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,44.1726,19.7164,6651,0
alpaca.jpg,dwsf_q20_5block,20,5,2.5000,none,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,41.1673,41.1673,13006,0
alpaca.jpg,dwsf_q20_5block,20,5,2.5000,remove_center_40,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,41.1673,41.7167,10334,0
alpaca.jpg,dwsf_q20_5block,20,5,2.5000,black_center_40,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,41.1673,9.6607,10302,0
alpaca.jpg,dwsf_q20_5block,20,5,2.5000,crop_top_left_50,01001010111000010011001110000100,01001011111000010011001110100100,0.937500,0,41.1673,8.8386,13100,0
alpaca.jpg,dwsf_q20_5block,20,5,2.5000,crop_bottom_right_50,01001010111000010011001110000100,00100010101000011001000110000100,0.781250,0,41.1673,9.9114,13268,0
alpaca.jpg,dwsf_q20_5block,20,5,2.5000,crop_center_50,01001010111000010011001110000100,00001010111000010011001110000000,0.937500,0,41.1673,9.5328,10532,0
