scheme,area_percent,block_count,mean_psnr_watermarked,mean_selected_attack_accuracy,worst_selected_attack_accuracy,none_mean,remove_center_40_mean,black_center_40_mean,crop_top_left_50_mean,crop_bottom_right_50_mean,crop_center_50_mean,jpeg_q30_mean,jpeg_q20_mean,resize_0.25_jpeg_q50_mean
dwsf_q10_5block,10,5,47.2094,0.815625,0.618750,0.975000,0.981250,0.981250,0.618750,0.700000,0.793750,0.850000,0.681250,0.918750
dwsf_q10_9block,10,9,46.7827,0.805469,0.593750,0.975000,0.956250,0.962500,0.593750,0.668750,0.750000,0.818750,0.768750,0.925000
dwsf_q20_5block,20,5,43.9523,0.919531,0.812500,1.000000,1.000000,1.000000,0.812500,0.881250,0.918750,0.925000,0.862500,0.956250
dwsf_q20_9block,20,9,43.7132,0.888281,0.743750,1.000000,1.000000,1.000000,0.743750,0.881250,0.825000,0.875000,0.831250,0.950000
dwsf_q25_5block,25,5,42.9056,0.947656,0.868750,1.000000,1.000000,1.000000,0.887500,0.975000,0.950000,0.943750,0.868750,0.956250
dwsf_q25_9block,25,9,42.6563,0.914844,0.818750,1.000000,1.000000,1.000000,0.818750,0.912500,0.856250,0.925000,0.850000,0.956250
dwsf_q30_5block,30,5,42.0691,0.957812,0.887500,1.000000,1.000000,1.000000,0.937500,0.962500,0.968750,0.937500,0.887500,0.968750
dwsf_q30_9block,30,9,41.8059,0.935938,0.862500,1.000000,1.000000,1.000000,0.862500,0.950000,0.906250,0.943750,0.862500,0.962500
dwsf_q50_5block,50,5,39.7612,0.968750,0.875000,1.000000,1.000000,1.000000,0.962500,0.987500,1.000000,0.943750,0.875000,0.981250
dwsf_q50_9block,50,9,39.4684,0.964844,0.893750,1.000000,1.000000,1.000000,0.968750,0.993750,0.962500,0.950000,0.893750,0.950000
single_center_50pct,50,1,39.1467,0.948438,0.737500,1.000000,1.000000,1.000000,1.000000,0.975000,1.000000,0.943750,0.737500,0.931250
