attack,scheme,mean_bit_accuracy,min_bit_accuracy,num_images
none,single_center_50pct,1.000000,1.000000,5
none,dwsf_5region_spatial,1.000000,1.000000,5
remove_center_25,single_center_50pct,1.000000,1.000000,5
remove_center_25,dwsf_5region_spatial,1.000000,1.000000,5
remove_center_40,single_center_50pct,0.975000,0.875000,5
remove_center_40,dwsf_5region_spatial,1.000000,1.000000,5
black_center_25,single_center_50pct,1.000000,1.000000,5
black_center_25,dwsf_5region_spatial,1.000000,1.000000,5
black_center_40,single_center_50pct,0.981250,0.906250,5
black_center_40,dwsf_5region_spatial,1.000000,1.000000,5
remove_left_half,single_center_50pct,1.000000,1.000000,5
remove_left_half,dwsf_5region_spatial,1.000000,1.000000,5
remove_right_half,single_center_50pct,1.000000,1.000000,5
remove_right_half,dwsf_5region_spatial,1.000000,1.000000,5
crop_top_left_50,single_center_50pct,0.981250,0.937500,5
crop_top_left_50,dwsf_5region_spatial,0.943750,0.906250,5
crop_bottom_right_50,single_center_50pct,0.975000,0.937500,5
crop_bottom_right_50,dwsf_5region_spatial,0.931250,0.750000,5
crop_center_50,single_center_50pct,0.987500,0.968750,5
crop_center_50,dwsf_5region_spatial,0.975000,0.937500,5
