attack,mean_bit_accuracy,message_success_rate,num_samples,ecc_mode,payload_bits
center_crop_0.5,1.000000,1.0000,50,bch_31_16,16
center_crop_0.75,1.000000,1.0000,50,bch_31_16,16
crop_50_jpeg_30,1.000000,1.0000,50,bch_31_16,16
jpeg_q10,0.987500,0.8000,50,bch_31_16,16
jpeg_q30,1.000000,1.0000,50,bch_31_16,16
jpeg_q5,0.961250,0.4400,50,bch_31_16,16
none,1.000000,1.0000,50,bch_31_16,16
random_crop_0.5,0.752500,0.0000,50,bch_31_16,16
resize_0.25,0.988750,0.8400,50,bch_31_16,16
resize_0.5,1.000000,1.0000,50,bch_31_16,16
