image,attack,bit_accuracy,message_success,ecc_mode,payload_bits
000000005529.png,none,1.000000,1,rep3_interleaved,10
000000005529.png,center_crop_0.5,1.000000,1,rep3_interleaved,10
000000005529.png,center_crop_0.75,1.000000,1,rep3_interleaved,10
000000005529.png,random_crop_0.5,0.700000,0,rep3_interleaved,10
000000005529.png,jpeg_q30,1.000000,1,rep3_interleaved,10
000000005529.png,jpeg_q10,1.000000,1,rep3_interleaved,10
000000005529.png,jpeg_q5,1.000000,1,rep3_interleaved,10
000000005529.png,resize_0.5,1.000000,1,rep3_interleaved,10
000000005529.png,resize_0.25,1.000000,1,rep3_interleaved,10
000000005529.png,crop_50_jpeg_30,1.000000,1,rep3_interleaved,10
000000021167.png,none,1.000000,1,rep3_interleaved,10
000000021167.png,center_crop_0.5,1.000000,1,rep3_interleaved,10
000000021167.png,center_crop_0.75,1.000000,1,rep3_interleaved,10
000000021167.png,random_crop_0.5,0.700000,0,rep3_interleaved,10
000000021167.png,jpeg_q30,1.000000,1,rep3_interleaved,10
000000021167.png,jpeg_q10,1.000000,1,rep3_interleaved,10
000000021167.png,jpeg_q5,1.000000,1,rep3_interleaved,10
000000021167.png,resize_0.5,1.000000,1,rep3_interleaved,10
000000021167.png,resize_0.25,1.000000,1,rep3_interleaved,10
000000021167.png,crop_50_jpeg_30,1.000000,1,rep3_interleaved,10
000000022705.png,none,1.000000,1,rep3_interleaved,10
000000022705.png,center_crop_0.5,1.000000,1,rep3_interleaved,10
000000022705.png,center_crop_0.75,1.000000,1,rep3_interleaved,10
000000022705.png,random_crop_0.5,0.700000,0,rep3_interleaved,10
000000022705.png,jpeg_q30,1.000000,1,rep3_interleaved,10
000000022705.png,jpeg_q10,1.000000,1,rep3_interleaved,10
000000022705.png,jpeg_q5,1.000000,1,rep3_interleaved,10
000000022705.png,resize_0.5,1.000000,1,rep3_interleaved,10
000000022705.png,resize_0.25,1.000000,1,rep3_interleaved,10
000000022705.png,crop_50_jpeg_30,1.000000,1,rep3_interleaved,10
000000025228.png,none,1.000000,1,rep3_interleaved,10
000000025228.png,center_crop_0.5,1.000000,1,rep3_interleaved,10
