attack,mean_bit_accuracy,message_success_rate,num_samples,ecc_mode,payload_bits
center_crop_0.5,1.000000,1.0000,50,rep4_adjacent,8
center_crop_0.75,1.000000,1.0000,50,rep4_adjacent,8
crop_50_jpeg_30,1.000000,1.0000,50,rep4_adjacent,8
jpeg_q10,1.000000,1.0000,50,rep4_adjacent,8
jpeg_q30,1.000000,1.0000,50,rep4_adjacent,8
jpeg_q5,0.997500,0.9800,50,rep4_adjacent,8
none,1.000000,1.0000,50,rep4_adjacent,8
random_crop_0.5,0.817500,0.1800,50,rep4_adjacent,8
resize_0.25,1.000000,1.0000,50,rep4_adjacent,8
resize_0.5,1.000000,1.0000,50,rep4_adjacent,8
