image,attack,bit_accuracy,message_success
000000005529.png,center_crop_0.4,0.531250,0
000000005529.png,center_crop_0.3,0.531250,0
000000021167.png,center_crop_0.4,0.531250,0
000000021167.png,center_crop_0.3,0.562500,0
000000022705.png,center_crop_0.4,0.531250,0
000000022705.png,center_crop_0.3,0.562500,0
000000025228.png,center_crop_0.4,0.531250,0
000000025228.png,center_crop_0.3,0.500000,0
000000027620.png,center_crop_0.4,0.531250,0
000000027620.png,center_crop_0.3,0.531250,0
000000039405.png,center_crop_0.4,0.593750,0
000000039405.png,center_crop_0.3,0.500000,0
000000075612.png,center_crop_0.4,0.593750,0
000000075612.png,center_crop_0.3,0.500000,0
000000083531.png,center_crop_0.4,0.531250,0
000000083531.png,center_crop_0.3,0.531250,0
000000088848.png,center_crop_0.4,0.500000,0
000000088848.png,center_crop_0.3,0.531250,0
000000089648.png,center_crop_0.4,0.531250,0
000000089648.png,center_crop_0.3,0.500000,0
000000092177.png,center_crop_0.4,0.500000,0
000000092177.png,center_crop_0.3,0.531250,0
000000098392.png,center_crop_0.4,0.531250,0
000000098392.png,center_crop_0.3,0.500000,0
000000098520.png,center_crop_0.4,0.531250,0
000000098520.png,center_crop_0.3,0.500000,0
000000107554.png,center_crop_0.4,0.531250,0
000000107554.png,center_crop_0.3,0.500000,0
000000121673.png,center_crop_0.4,0.500000,0
000000121673.png,center_crop_0.3,0.500000,0
000000134322.png,center_crop_0.4,0.562500,0
000000134322.png,center_crop_0.3,0.562500,0
000000150649.png,center_crop_0.4,0.531250,0
000000150649.png,center_crop_0.3,0.531250,0
000000154000.png,center_crop_0.4,0.531250,0
000000154000.png,center_crop_0.3,0.500000,0
000000186632.png,center_crop_0.4,0.531250,0
000000186632.png,center_crop_0.3,0.562500,0
000000201775.png,center_crop_0.4,0.531250,0
000000201775.png,center_crop_0.3,0.500000,0
000000205647.png,center_crop_0.4,0.531250,0
000000205647.png,center_crop_0.3,0.500000,0
000000207306.png,center_crop_0.4,0.531250,0
000000207306.png,center_crop_0.3,0.500000,0
000000210299.png,center_crop_0.4,0.531250,0
000000210299.png,center_crop_0.3,0.500000,0
000000219440.png,center_crop_0.4,0.562500,0
000000219440.png,center_crop_0.3,0.562500,0
000000230166.png,center_crop_0.4,0.500000,0
000000230166.png,center_crop_0.3,0.531250,0
000000249180.png,center_crop_0.4,0.531250,0
000000249180.png,center_crop_0.3,0.500000,0
000000260657.png,center_crop_0.4,0.531250,0
000000260657.png,center_crop_0.3,0.500000,0
000000262938.png,center_crop_0.4,0.531250,0
000000262938.png,center_crop_0.3,0.531250,0
000000263299.png,center_crop_0.4,0.531250,0
000000263299.png,center_crop_0.3,0.531250,0
000000319617.png,center_crop_0.4,0.531250,0
000000319617.png,center_crop_0.3,0.562500,0
000000322895.png,center_crop_0.4,0.531250,0
000000322895.png,center_crop_0.3,0.500000,0
000000326128.png,center_crop_0.4,0.531250,0
000000326128.png,center_crop_0.3,0.531250,0
000000341681.png,center_crop_0.4,0.531250,0
000000341681.png,center_crop_0.3,0.500000,0
000000358427.png,center_crop_0.4,0.500000,0
000000358427.png,center_crop_0.3,0.500000,0
000000360137.png,center_crop_0.4,0.531250,0
000000360137.png,center_crop_0.3,0.500000,0
000000397681.png,center_crop_0.4,0.500000,0
000000397681.png,center_crop_0.3,0.531250,0
000000400573.png,center_crop_0.4,0.531250,0
000000400573.png,center_crop_0.3,0.500000,0
000000401250.png,center_crop_0.4,0.531250,0
000000401250.png,center_crop_0.3,0.531250,0
000000426372.png,center_crop_0.4,0.531250,0
000000426372.png,center_crop_0.3,0.500000,0
000000437351.png,center_crop_0.4,0.531250,0
000000437351.png,center_crop_0.3,0.500000,0
000000477805.png,center_crop_0.4,0.562500,0
000000477805.png,center_crop_0.3,0.562500,0
000000508730.png,center_crop_0.4,0.531250,0
000000508730.png,center_crop_0.3,0.500000,0
000000517056.png,center_crop_0.4,0.500000,0
000000517056.png,center_crop_0.3,0.500000,0
000000517687.png,center_crop_0.4,0.531250,0
000000517687.png,center_crop_0.3,0.500000,0
000000523957.png,center_crop_0.4,0.531250,0
000000523957.png,center_crop_0.3,0.500000,0
000000533145.png,center_crop_0.4,0.531250,0
000000533145.png,center_crop_0.3,0.500000,0
000000562243.png,center_crop_0.4,0.531250,0
000000562243.png,center_crop_0.3,0.500000,0
000000563470.png,center_crop_0.4,0.531250,0
000000563470.png,center_crop_0.3,0.500000,0
000000573258.png,center_crop_0.4,0.531250,0
000000573258.png,center_crop_0.3,0.500000,0
000000575243.png,center_crop_0.4,0.500000,0
000000575243.png,center_crop_0.3,0.500000,0
