image,attack,bit_accuracy,message_success
000000005529.png,resize_0.2,0.812500,0
000000005529.png,resize_0.15,0.625000,0
000000005529.png,resize_0.1,0.562500,0
000000021167.png,resize_0.2,0.718750,0
000000021167.png,resize_0.15,0.656250,0
000000021167.png,resize_0.1,0.625000,0
000000022705.png,resize_0.2,0.812500,0
000000022705.png,resize_0.15,0.625000,0
000000022705.png,resize_0.1,0.562500,0
000000025228.png,resize_0.2,0.812500,0
000000025228.png,resize_0.15,0.687500,0
000000025228.png,resize_0.1,0.593750,0
000000027620.png,resize_0.2,0.843750,0
000000027620.png,resize_0.15,0.656250,0
000000027620.png,resize_0.1,0.593750,0
000000039405.png,resize_0.2,0.750000,0
000000039405.png,resize_0.15,0.656250,0
000000039405.png,resize_0.1,0.531250,0
000000075612.png,resize_0.2,0.718750,0
000000075612.png,resize_0.15,0.625000,0
000000075612.png,resize_0.1,0.531250,0
000000083531.png,resize_0.2,0.812500,0
000000083531.png,resize_0.15,0.625000,0
000000083531.png,resize_0.1,0.562500,0
000000088848.png,resize_0.2,0.781250,0
000000088848.png,resize_0.15,0.656250,0
000000088848.png,resize_0.1,0.500000,0
000000089648.png,resize_0.2,0.781250,0
000000089648.png,resize_0.15,0.687500,0
000000089648.png,resize_0.1,0.500000,0
000000092177.png,resize_0.2,0.781250,0
000000092177.png,resize_0.15,0.593750,0
000000092177.png,resize_0.1,0.593750,0
000000098392.png,resize_0.2,0.750000,0
000000098392.png,resize_0.15,0.656250,0
000000098392.png,resize_0.1,0.593750,0
000000098520.png,resize_0.2,0.781250,0
000000098520.png,resize_0.15,0.750000,0
000000098520.png,resize_0.1,0.531250,0
000000107554.png,resize_0.2,0.812500,0
000000107554.png,resize_0.15,0.625000,0
000000107554.png,resize_0.1,0.500000,0
000000121673.png,resize_0.2,0.750000,0
000000121673.png,resize_0.15,0.687500,0
000000121673.png,resize_0.1,0.593750,0
000000134322.png,resize_0.2,0.812500,0
000000134322.png,resize_0.15,0.687500,0
000000134322.png,resize_0.1,0.531250,0
000000150649.png,resize_0.2,0.843750,0
000000150649.png,resize_0.15,0.687500,0
000000150649.png,resize_0.1,0.656250,0
000000154000.png,resize_0.2,0.781250,0
000000154000.png,resize_0.15,0.656250,0
000000154000.png,resize_0.1,0.625000,0
000000186632.png,resize_0.2,0.750000,0
000000186632.png,resize_0.15,0.687500,0
000000186632.png,resize_0.1,0.562500,0
000000201775.png,resize_0.2,0.781250,0
000000201775.png,resize_0.15,0.625000,0
000000201775.png,resize_0.1,0.562500,0
000000205647.png,resize_0.2,0.750000,0
000000205647.png,resize_0.15,0.625000,0
000000205647.png,resize_0.1,0.562500,0
000000207306.png,resize_0.2,0.781250,0
000000207306.png,resize_0.15,0.687500,0
000000207306.png,resize_0.1,0.562500,0
000000210299.png,resize_0.2,0.718750,0
000000210299.png,resize_0.15,0.656250,0
000000210299.png,resize_0.1,0.531250,0
000000219440.png,resize_0.2,0.812500,0
000000219440.png,resize_0.15,0.687500,0
000000219440.png,resize_0.1,0.531250,0
000000230166.png,resize_0.2,0.812500,0
000000230166.png,resize_0.15,0.687500,0
000000230166.png,resize_0.1,0.500000,0
000000249180.png,resize_0.2,0.781250,0
000000249180.png,resize_0.15,0.718750,0
000000249180.png,resize_0.1,0.656250,0
000000260657.png,resize_0.2,0.781250,0
000000260657.png,resize_0.15,0.687500,0
000000260657.png,resize_0.1,0.625000,0
000000262938.png,resize_0.2,0.781250,0
000000262938.png,resize_0.15,0.687500,0
000000262938.png,resize_0.1,0.500000,0
000000263299.png,resize_0.2,0.781250,0
000000263299.png,resize_0.15,0.562500,0
000000263299.png,resize_0.1,0.500000,0
000000319617.png,resize_0.2,0.750000,0
000000319617.png,resize_0.15,0.625000,0
000000319617.png,resize_0.1,0.562500,0
000000322895.png,resize_0.2,0.750000,0
000000322895.png,resize_0.15,0.687500,0
000000322895.png,resize_0.1,0.562500,0
000000326128.png,resize_0.2,0.812500,0
000000326128.png,resize_0.15,0.687500,0
000000326128.png,resize_0.1,0.625000,0
000000341681.png,resize_0.2,0.750000,0
000000341681.png,resize_0.15,0.656250,0
000000341681.png,resize_0.1,0.562500,0
000000358427.png,resize_0.2,0.718750,0
000000358427.png,resize_0.15,0.656250,0
000000358427.png,resize_0.1,0.531250,0
000000360137.png,resize_0.2,0.812500,0
000000360137.png,resize_0.15,0.718750,0
000000360137.png,resize_0.1,0.593750,0
000000397681.png,resize_0.2,0.750000,0
000000397681.png,resize_0.15,0.656250,0
000000397681.png,resize_0.1,0.593750,0
000000400573.png,resize_0.2,0.812500,0
000000400573.png,resize_0.15,0.625000,0
000000400573.png,resize_0.1,0.531250,0
000000401250.png,resize_0.2,0.812500,0
000000401250.png,resize_0.15,0.625000,0
000000401250.png,resize_0.1,0.500000,0
000000426372.png,resize_0.2,0.781250,0
000000426372.png,resize_0.15,0.687500,0
000000426372.png,resize_0.1,0.593750,0
000000437351.png,resize_0.2,0.781250,0
000000437351.png,resize_0.15,0.625000,0
000000437351.png,resize_0.1,0.625000,0
000000477805.png,resize_0.2,0.687500,0
000000477805.png,resize_0.15,0.562500,0
000000477805.png,resize_0.1,0.562500,0
000000508730.png,resize_0.2,0.781250,0
000000508730.png,resize_0.15,0.531250,0
000000508730.png,resize_0.1,0.500000,0
000000517056.png,resize_0.2,0.781250,0
000000517056.png,resize_0.15,0.718750,0
000000517056.png,resize_0.1,0.593750,0
000000517687.png,resize_0.2,0.750000,0
000000517687.png,resize_0.15,0.750000,0
000000517687.png,resize_0.1,0.593750,0
000000523957.png,resize_0.2,0.812500,0
000000523957.png,resize_0.15,0.625000,0
000000523957.png,resize_0.1,0.531250,0
000000533145.png,resize_0.2,0.750000,0
000000533145.png,resize_0.15,0.656250,0
000000533145.png,resize_0.1,0.625000,0
000000562243.png,resize_0.2,0.781250,0
000000562243.png,resize_0.15,0.656250,0
000000562243.png,resize_0.1,0.531250,0
000000563470.png,resize_0.2,0.718750,0
000000563470.png,resize_0.15,0.687500,0
000000563470.png,resize_0.1,0.562500,0
000000573258.png,resize_0.2,0.812500,0
000000573258.png,resize_0.15,0.750000,0
000000573258.png,resize_0.1,0.562500,0
000000575243.png,resize_0.2,0.812500,0
000000575243.png,resize_0.15,0.625000,0
000000575243.png,resize_0.1,0.593750,0
