image,attack,bit_accuracy,message_success
000000005529.png,gauss_0.01,1.000000,1
000000005529.png,gauss_0.03,1.000000,1
000000005529.png,gauss_0.05,1.000000,1
000000005529.png,gauss_0.10,1.000000,1
000000021167.png,gauss_0.01,0.968750,0
000000021167.png,gauss_0.03,0.968750,0
000000021167.png,gauss_0.05,0.968750,0
000000021167.png,gauss_0.10,0.968750,0
000000022705.png,gauss_0.01,1.000000,1
000000022705.png,gauss_0.03,1.000000,1
000000022705.png,gauss_0.05,1.000000,1
000000022705.png,gauss_0.10,1.000000,1
000000025228.png,gauss_0.01,1.000000,1
000000025228.png,gauss_0.03,1.000000,1
000000025228.png,gauss_0.05,1.000000,1
000000025228.png,gauss_0.10,1.000000,1
000000027620.png,gauss_0.01,1.000000,1
000000027620.png,gauss_0.03,1.000000,1
000000027620.png,gauss_0.05,1.000000,1
000000027620.png,gauss_0.10,1.000000,1
000000039405.png,gauss_0.01,0.968750,0
000000039405.png,gauss_0.03,0.968750,0
000000039405.png,gauss_0.05,1.000000,1
000000039405.png,gauss_0.10,0.968750,0
000000075612.png,gauss_0.01,0.968750,0
000000075612.png,gauss_0.03,0.968750,0
000000075612.png,gauss_0.05,0.968750,0
000000075612.png,gauss_0.10,0.968750,0
000000083531.png,gauss_0.01,1.000000,1
000000083531.png,gauss_0.03,1.000000,1
000000083531.png,gauss_0.05,1.000000,1
000000083531.png,gauss_0.10,1.000000,1
000000088848.png,gauss_0.01,0.968750,0
000000088848.png,gauss_0.03,0.968750,0
000000088848.png,gauss_0.05,0.968750,0
000000088848.png,gauss_0.10,0.968750,0
000000089648.png,gauss_0.01,1.000000,1
000000089648.png,gauss_0.03,1.000000,1
000000089648.png,gauss_0.05,1.000000,1
000000089648.png,gauss_0.10,1.000000,1
000000092177.png,gauss_0.01,0.937500,0
000000092177.png,gauss_0.03,0.937500,0
000000092177.png,gauss_0.05,0.937500,0
000000092177.png,gauss_0.10,0.937500,0
000000098392.png,gauss_0.01,1.000000,1
000000098392.png,gauss_0.03,1.000000,1
000000098392.png,gauss_0.05,1.000000,1
000000098392.png,gauss_0.10,1.000000,1
000000098520.png,gauss_0.01,1.000000,1
000000098520.png,gauss_0.03,1.000000,1
000000098520.png,gauss_0.05,1.000000,1
000000098520.png,gauss_0.10,1.000000,1
000000107554.png,gauss_0.01,1.000000,1
000000107554.png,gauss_0.03,1.000000,1
000000107554.png,gauss_0.05,1.000000,1
000000107554.png,gauss_0.10,1.000000,1
000000121673.png,gauss_0.01,1.000000,1
000000121673.png,gauss_0.03,1.000000,1
