image,attack,method,bit_accuracy,message_success
000000005529.png,none,hierarchical,1.000000,1
000000005529.png,rotate_252,hierarchical,0.968750,0
000000005529.png,rotate_235,hierarchical,0.968750,0
000000005529.png,rotate_344,hierarchical,1.000000,1
000000005529.png,flip_h,hierarchical,0.656250,0
000000005529.png,flip_v,hierarchical,0.531250,0
000000005529.png,rotate_45_crop_50,hierarchical,1.000000,1
000000021167.png,none,hierarchical,1.000000,1
000000021167.png,rotate_169,hierarchical,0.968750,0
000000021167.png,rotate_187,hierarchical,1.000000,1
000000021167.png,rotate_270,hierarchical,1.000000,1
000000021167.png,flip_h,hierarchical,0.656250,0
000000021167.png,flip_v,hierarchical,0.468750,0
000000021167.png,rotate_45_crop_50,hierarchical,1.000000,1
000000022705.png,none,hierarchical,1.000000,1
000000022705.png,rotate_174,hierarchical,1.000000,1
000000022705.png,rotate_50,hierarchical,1.000000,1
000000022705.png,rotate_54,hierarchical,1.000000,1
000000022705.png,flip_h,hierarchical,0.593750,0
000000022705.png,flip_v,hierarchical,0.500000,0
000000022705.png,rotate_45_crop_50,hierarchical,1.000000,1
000000025228.png,none,hierarchical,1.000000,1
000000025228.png,rotate_306,hierarchical,1.000000,1
000000025228.png,rotate_134,hierarchical,1.000000,1
000000025228.png,rotate_20,hierarchical,0.656250,0
000000025228.png,flip_h,hierarchical,0.781250,0
000000025228.png,flip_v,hierarchical,0.500000,0
000000025228.png,rotate_45_crop_50,hierarchical,1.000000,1
000000027620.png,none,hierarchical,1.000000,1
000000027620.png,rotate_273,hierarchical,1.000000,1
000000027620.png,rotate_88,hierarchical,1.000000,1
000000027620.png,rotate_315,hierarchical,1.000000,1
000000027620.png,flip_h,hierarchical,0.656250,0
000000027620.png,flip_v,hierarchical,0.468750,0
000000027620.png,rotate_45_crop_50,hierarchical,1.000000,1
000000039405.png,none,hierarchical,1.000000,1
000000039405.png,rotate_345,hierarchical,0.562500,0
000000039405.png,rotate_52,hierarchical,1.000000,1
000000039405.png,rotate_339,hierarchical,0.687500,0
000000039405.png,flip_h,hierarchical,0.750000,0
000000039405.png,flip_v,hierarchical,0.531250,0
000000039405.png,rotate_45_crop_50,hierarchical,1.000000,1
000000075612.png,none,hierarchical,1.000000,1
000000075612.png,rotate_263,hierarchical,1.000000,1
000000075612.png,rotate_34,hierarchical,0.531250,0
000000075612.png,rotate_205,hierarchical,0.687500,0
000000075612.png,flip_h,hierarchical,0.656250,0
000000075612.png,flip_v,hierarchical,0.500000,0
000000075612.png,rotate_45_crop_50,hierarchical,1.000000,1
000000083531.png,none,hierarchical,1.000000,1
000000083531.png,rotate_1,hierarchical,1.000000,1
000000083531.png,rotate_53,hierarchical,1.000000,1
000000083531.png,rotate_105,hierarchical,0.562500,0
000000083531.png,flip_h,hierarchical,0.593750,0
000000083531.png,flip_v,hierarchical,0.531250,0
000000083531.png,rotate_45_crop_50,hierarchical,1.000000,1
000000088848.png,none,hierarchical,1.000000,1
000000088848.png,rotate_190,hierarchical,1.000000,1
000000088848.png,rotate_217,hierarchical,0.562500,0
000000088848.png,rotate_43,hierarchical,0.531250,0
000000088848.png,flip_h,hierarchical,0.656250,0
000000088848.png,flip_v,hierarchical,0.531250,0
000000088848.png,rotate_45_crop_50,hierarchical,1.000000,1
000000089648.png,none,hierarchical,1.000000,1
000000089648.png,rotate_269,hierarchical,1.000000,1
000000089648.png,rotate_350,hierarchical,1.000000,1
000000089648.png,rotate_303,hierarchical,1.000000,1
000000089648.png,flip_h,hierarchical,0.656250,0
000000089648.png,flip_v,hierarchical,0.468750,0
000000089648.png,rotate_45_crop_50,hierarchical,1.000000,1
000000092177.png,none,hierarchical,1.000000,1
000000092177.png,rotate_214,hierarchical,0.500000,0
000000092177.png,rotate_251,hierarchical,0.968750,0
000000092177.png,rotate_189,hierarchical,0.968750,0
000000092177.png,flip_h,hierarchical,0.593750,0
000000092177.png,flip_v,hierarchical,0.468750,0
000000092177.png,rotate_45_crop_50,hierarchical,1.000000,1
000000098392.png,none,hierarchical,1.000000,1
000000098392.png,rotate_279,hierarchical,1.000000,1
000000098392.png,rotate_216,hierarchical,0.656250,0
000000098392.png,rotate_251,hierarchical,1.000000,1
000000098392.png,flip_h,hierarchical,0.656250,0
000000098392.png,flip_v,hierarchical,0.531250,0
000000098392.png,rotate_45_crop_50,hierarchical,1.000000,1
000000098520.png,none,hierarchical,1.000000,1
000000098520.png,rotate_156,hierarchical,0.531250,0
000000098520.png,rotate_14,hierarchical,0.593750,0
000000098520.png,rotate_300,hierarchical,1.000000,1
000000098520.png,flip_h,hierarchical,0.593750,0
