attack,mean_bit_accuracy,message_success_rate,num_samples,method
flip_h,0.653125,0.0000,50,hierarchical
flip_v,0.510000,0.0000,50,hierarchical
none,1.000000,1.0000,50,hierarchical
rotate_1,1.000000,1.0000,2,hierarchical
rotate_100,1.000000,1.0000,1,hierarchical
rotate_103,1.000000,1.0000,1,hierarchical
rotate_105,0.562500,0.0000,1,hierarchical
rotate_107,1.000000,1.0000,1,hierarchical
rotate_111,0.968750,0.0000,1,hierarchical
rotate_112,0.984375,0.5000,4,hierarchical
rotate_115,0.984375,0.5000,2,hierarchical
rotate_12,1.000000,1.0000,1,hierarchical
rotate_120,1.000000,1.0000,1,hierarchical
rotate_122,0.968750,0.0000,1,hierarchical
rotate_123,1.000000,1.0000,1,hierarchical
rotate_125,1.000000,1.0000,1,hierarchical
rotate_127,1.000000,1.0000,2,hierarchical
rotate_128,1.000000,1.0000,1,hierarchical
rotate_129,0.984375,0.5000,2,hierarchical
rotate_130,1.000000,1.0000,1,hierarchical
rotate_134,1.000000,1.0000,1,hierarchical
rotate_136,0.625000,0.0000,1,hierarchical
rotate_138,0.968750,0.0000,1,hierarchical
rotate_139,0.687500,0.0000,1,hierarchical
rotate_14,0.593750,0.0000,2,hierarchical
rotate_146,0.562500,0.0000,1,hierarchical
rotate_147,0.640625,0.0000,2,hierarchical
rotate_150,0.656250,0.0000,1,hierarchical
rotate_151,0.656250,0.0000,2,hierarchical
rotate_156,0.531250,0.0000,1,hierarchical
rotate_159,0.656250,0.0000,2,hierarchical
rotate_162,0.687500,0.0000,1,hierarchical
rotate_164,0.500000,0.0000,1,hierarchical
rotate_169,0.984375,0.5000,2,hierarchical
rotate_174,1.000000,1.0000,1,hierarchical
rotate_183,1.000000,1.0000,1,hierarchical
rotate_186,1.000000,1.0000,1,hierarchical
rotate_187,1.000000,1.0000,1,hierarchical
rotate_189,0.968750,0.0000,1,hierarchical
rotate_190,1.000000,1.0000,1,hierarchical
rotate_193,0.593750,0.0000,1,hierarchical
rotate_197,0.640625,0.0000,2,hierarchical
rotate_20,0.656250,0.0000,1,hierarchical
rotate_200,0.843750,0.5000,2,hierarchical
rotate_205,0.687500,0.0000,1,hierarchical
rotate_206,0.593750,0.0000,1,hierarchical
rotate_207,0.562500,0.0000,1,hierarchical
rotate_213,0.562500,0.0000,1,hierarchical
rotate_214,0.500000,0.0000,1,hierarchical
rotate_215,0.562500,0.0000,1,hierarchical
rotate_216,0.656250,0.0000,1,hierarchical
rotate_217,0.609375,0.0000,2,hierarchical
rotate_221,0.531250,0.0000,1,hierarchical
rotate_226,1.000000,1.0000,1,hierarchical
rotate_230,1.000000,1.0000,3,hierarchical
rotate_232,0.968750,0.0000,1,hierarchical
rotate_235,0.968750,0.0000,1,hierarchical
rotate_236,1.000000,1.0000,1,hierarchical
rotate_242,1.000000,1.0000,1,hierarchical
rotate_246,0.968750,0.0000,1,hierarchical
rotate_251,0.984375,0.5000,2,hierarchical
rotate_252,0.968750,0.0000,1,hierarchical
rotate_253,1.000000,1.0000,2,hierarchical
rotate_254,1.000000,1.0000,1,hierarchical
rotate_256,0.687500,0.0000,1,hierarchical
rotate_258,0.625000,0.0000,1,hierarchical
rotate_260,0.718750,0.0000,1,hierarchical
rotate_263,1.000000,1.0000,1,hierarchical
rotate_267,1.000000,1.0000,2,hierarchical
rotate_269,1.000000,1.0000,1,hierarchical
rotate_27,1.000000,1.0000,1,hierarchical
rotate_270,1.000000,1.0000,1,hierarchical
rotate_273,1.000000,1.0000,1,hierarchical
rotate_279,1.000000,1.0000,1,hierarchical
rotate_28,1.000000,1.0000,1,hierarchical
rotate_282,1.000000,1.0000,1,hierarchical
rotate_283,1.000000,1.0000,1,hierarchical
rotate_294,1.000000,1.0000,1,hierarchical
rotate_297,1.000000,1.0000,1,hierarchical
rotate_300,1.000000,1.0000,1,hierarchical
rotate_303,1.000000,1.0000,2,hierarchical
rotate_306,1.000000,1.0000,1,hierarchical
rotate_309,1.000000,1.0000,1,hierarchical
rotate_314,1.000000,1.0000,1,hierarchical
rotate_315,1.000000,1.0000,1,hierarchical
rotate_317,0.812500,0.0000,1,hierarchical
rotate_323,0.531250,0.0000,1,hierarchical
rotate_324,1.000000,1.0000,1,hierarchical
rotate_327,1.000000,1.0000,1,hierarchical
rotate_330,0.531250,0.0000,1,hierarchical
rotate_337,1.000000,1.0000,2,hierarchical
rotate_339,0.843750,0.5000,2,hierarchical
rotate_34,0.546875,0.0000,2,hierarchical
rotate_343,1.000000,1.0000,1,hierarchical
rotate_344,1.000000,1.0000,1,hierarchical
rotate_345,0.781250,0.5000,4,hierarchical
rotate_347,1.000000,1.0000,1,hierarchical
rotate_348,1.000000,1.0000,1,hierarchical
rotate_35,1.000000,1.0000,1,hierarchical
rotate_350,1.000000,1.0000,1,hierarchical
rotate_351,1.000000,1.0000,1,hierarchical
rotate_38,0.968750,0.0000,1,hierarchical
rotate_4,1.000000,1.0000,1,hierarchical
rotate_40,0.906250,0.0000,1,hierarchical
rotate_43,0.531250,0.0000,1,hierarchical
rotate_44,0.531250,0.0000,1,hierarchical
rotate_45_crop_50,1.000000,1.0000,50,hierarchical
rotate_47,1.000000,1.0000,1,hierarchical
rotate_50,1.000000,1.0000,1,hierarchical
rotate_51,1.000000,1.0000,1,hierarchical
rotate_52,1.000000,1.0000,2,hierarchical
rotate_53,1.000000,1.0000,1,hierarchical
rotate_54,1.000000,1.0000,1,hierarchical
rotate_59,1.000000,1.0000,1,hierarchical
rotate_61,1.000000,1.0000,2,hierarchical
rotate_62,0.968750,0.0000,1,hierarchical
rotate_74,1.000000,1.0000,1,hierarchical
rotate_8,1.000000,1.0000,2,hierarchical
rotate_80,1.000000,1.0000,1,hierarchical
rotate_85,1.000000,1.0000,1,hierarchical
rotate_88,1.000000,1.0000,1,hierarchical
rotate_96,1.000000,1.0000,1,hierarchical
rotate_97,1.000000,1.0000,1,hierarchical
rotate_98,1.000000,1.0000,1,hierarchical
