image,attack,method,bit_accuracy,message_success
000000005529.png,none,angle_scan,1.000000,1
000000005529.png,rotate_252,angle_scan,0.937500,0
000000005529.png,rotate_235,angle_scan,0.906250,0
000000005529.png,rotate_344,angle_scan,0.968750,0
000000005529.png,flip_h,angle_scan,1.000000,1
000000005529.png,flip_v,angle_scan,1.000000,1
000000005529.png,rotate_45_crop_50,angle_scan,0.937500,0
000000021167.png,none,angle_scan,1.000000,1
000000021167.png,rotate_169,angle_scan,0.906250,0
000000021167.png,rotate_187,angle_scan,0.843750,0
000000021167.png,rotate_270,angle_scan,1.000000,1
000000021167.png,flip_h,angle_scan,1.000000,1
000000021167.png,flip_v,angle_scan,1.000000,1
000000021167.png,rotate_45_crop_50,angle_scan,0.937500,0
000000022705.png,none,angle_scan,1.000000,1
000000022705.png,rotate_174,angle_scan,0.843750,0
000000022705.png,rotate_50,angle_scan,0.937500,0
000000022705.png,rotate_54,angle_scan,0.906250,0
000000022705.png,flip_h,angle_scan,1.000000,1
000000022705.png,flip_v,angle_scan,1.000000,1
000000022705.png,rotate_45_crop_50,angle_scan,0.937500,0
000000025228.png,none,angle_scan,1.000000,1
000000025228.png,rotate_306,angle_scan,0.968750,0
000000025228.png,rotate_134,angle_scan,0.937500,0
000000025228.png,rotate_20,angle_scan,0.937500,0
000000025228.png,flip_h,angle_scan,1.000000,1
000000025228.png,flip_v,angle_scan,1.000000,1
000000025228.png,rotate_45_crop_50,angle_scan,0.937500,0
000000027620.png,none,angle_scan,1.000000,1
000000027620.png,rotate_273,angle_scan,0.906250,0
000000027620.png,rotate_88,angle_scan,0.937500,0
000000027620.png,rotate_315,angle_scan,1.000000,1
000000027620.png,flip_h,angle_scan,1.000000,1
000000027620.png,flip_v,angle_scan,1.000000,1
000000027620.png,rotate_45_crop_50,angle_scan,0.937500,0
000000039405.png,none,angle_scan,1.000000,1
000000039405.png,rotate_345,angle_scan,1.000000,1
000000039405.png,rotate_52,angle_scan,0.906250,0
000000039405.png,rotate_339,angle_scan,0.937500,0
000000039405.png,flip_h,angle_scan,1.000000,1
000000039405.png,flip_v,angle_scan,1.000000,1
000000039405.png,rotate_45_crop_50,angle_scan,0.968750,0
000000075612.png,none,angle_scan,1.000000,1
000000075612.png,rotate_263,angle_scan,0.843750,0
000000075612.png,rotate_34,angle_scan,0.937500,0
000000075612.png,rotate_205,angle_scan,0.937500,0
000000075612.png,flip_h,angle_scan,1.000000,1
000000075612.png,flip_v,angle_scan,1.000000,1
000000075612.png,rotate_45_crop_50,angle_scan,0.906250,0
000000083531.png,none,angle_scan,1.000000,1
000000083531.png,rotate_1,angle_scan,1.000000,1
000000083531.png,rotate_53,angle_scan,0.875000,0
000000083531.png,rotate_105,angle_scan,1.000000,1
000000083531.png,flip_h,angle_scan,1.000000,1
000000083531.png,flip_v,angle_scan,1.000000,1
000000083531.png,rotate_45_crop_50,angle_scan,0.875000,0
000000088848.png,none,angle_scan,1.000000,1
000000088848.png,rotate_190,angle_scan,0.937500,0
000000088848.png,rotate_217,angle_scan,0.843750,0
000000088848.png,rotate_43,angle_scan,0.968750,0
000000088848.png,flip_h,angle_scan,1.000000,1
000000088848.png,flip_v,angle_scan,1.000000,1
000000088848.png,rotate_45_crop_50,angle_scan,0.937500,0
000000089648.png,none,angle_scan,1.000000,1
000000089648.png,rotate_269,angle_scan,1.000000,1
000000089648.png,rotate_350,angle_scan,0.906250,0
000000089648.png,rotate_303,angle_scan,0.937500,0
000000089648.png,flip_h,angle_scan,1.000000,1
000000089648.png,flip_v,angle_scan,1.000000,1
000000089648.png,rotate_45_crop_50,angle_scan,0.937500,0
000000092177.png,none,angle_scan,1.000000,1
000000092177.png,rotate_214,angle_scan,0.937500,0
000000092177.png,rotate_251,angle_scan,0.937500,0
000000092177.png,rotate_189,angle_scan,0.937500,0
000000092177.png,flip_h,angle_scan,1.000000,1
000000092177.png,flip_v,angle_scan,1.000000,1
000000092177.png,rotate_45_crop_50,angle_scan,0.875000,0
000000098392.png,none,angle_scan,1.000000,1
000000098392.png,rotate_279,angle_scan,0.937500,0
000000098392.png,rotate_216,angle_scan,0.937500,0
000000098392.png,rotate_251,angle_scan,0.968750,0
000000098392.png,flip_h,angle_scan,1.000000,1
000000098392.png,flip_v,angle_scan,1.000000,1
000000098392.png,rotate_45_crop_50,angle_scan,0.937500,0
000000098520.png,none,angle_scan,1.000000,1
000000098520.png,rotate_156,angle_scan,0.937500,0
000000098520.png,rotate_14,angle_scan,0.968750,0
000000098520.png,rotate_300,angle_scan,1.000000,1
000000098520.png,flip_h,angle_scan,1.000000,1
000000098520.png,flip_v,angle_scan,1.000000,1
000000098520.png,rotate_45_crop_50,angle_scan,0.906250,0
000000107554.png,none,angle_scan,1.000000,1
000000107554.png,rotate_8,angle_scan,0.875000,0
000000107554.png,rotate_343,angle_scan,0.937500,0
000000107554.png,rotate_128,angle_scan,0.843750,0
000000107554.png,flip_h,angle_scan,1.000000,1
000000107554.png,flip_v,angle_scan,1.000000,1
000000107554.png,rotate_45_crop_50,angle_scan,0.906250,0
000000121673.png,none,angle_scan,1.000000,1
000000121673.png,rotate_138,angle_scan,0.968750,0
000000121673.png,rotate_80,angle_scan,0.937500,0
000000121673.png,rotate_162,angle_scan,0.937500,0
000000121673.png,flip_h,angle_scan,1.000000,1
000000121673.png,flip_v,angle_scan,1.000000,1
000000121673.png,rotate_45_crop_50,angle_scan,0.937500,0
000000134322.png,none,angle_scan,1.000000,1
000000134322.png,rotate_260,angle_scan,0.937500,0
000000134322.png,rotate_230,angle_scan,0.906250,0
000000134322.png,rotate_40,angle_scan,0.875000,0
000000134322.png,flip_h,angle_scan,1.000000,1
000000134322.png,flip_v,angle_scan,1.000000,1
000000134322.png,rotate_45_crop_50,angle_scan,0.906250,0
000000150649.png,none,angle_scan,1.000000,1
000000150649.png,rotate_200,angle_scan,0.968750,0
000000150649.png,rotate_327,angle_scan,0.937500,0
000000150649.png,rotate_267,angle_scan,0.906250,0
000000150649.png,flip_h,angle_scan,1.000000,1
000000150649.png,flip_v,angle_scan,1.000000,1
000000150649.png,rotate_45_crop_50,angle_scan,0.937500,0
000000154000.png,none,angle_scan,1.000000,1
000000154000.png,rotate_47,angle_scan,0.937500,0
000000154000.png,rotate_61,angle_scan,1.000000,1
000000154000.png,rotate_215,angle_scan,0.906250,0
000000154000.png,flip_h,angle_scan,1.000000,1
000000154000.png,flip_v,angle_scan,1.000000,1
000000154000.png,rotate_45_crop_50,angle_scan,0.875000,0
000000186632.png,none,angle_scan,1.000000,1
000000186632.png,rotate_213,angle_scan,0.968750,0
000000186632.png,rotate_34,angle_scan,0.968750,0
000000186632.png,rotate_226,angle_scan,1.000000,1
000000186632.png,flip_h,angle_scan,1.000000,1
000000186632.png,flip_v,angle_scan,1.000000,1
000000186632.png,rotate_45_crop_50,angle_scan,0.937500,0
000000201775.png,none,angle_scan,1.000000,1
000000201775.png,rotate_256,angle_scan,1.000000,1
000000201775.png,rotate_4,angle_scan,0.843750,0
000000201775.png,rotate_217,angle_scan,0.843750,0
000000201775.png,flip_h,angle_scan,1.000000,1
000000201775.png,flip_v,angle_scan,1.000000,1
000000201775.png,rotate_45_crop_50,angle_scan,0.843750,0
000000205647.png,none,angle_scan,1.000000,1
000000205647.png,rotate_206,angle_scan,0.937500,0
000000205647.png,rotate_14,angle_scan,1.000000,1
000000205647.png,rotate_345,angle_scan,1.000000,1
000000205647.png,flip_h,angle_scan,1.000000,1
000000205647.png,flip_v,angle_scan,1.000000,1
000000205647.png,rotate_45_crop_50,angle_scan,0.968750,0
000000207306.png,none,angle_scan,1.000000,1
000000207306.png,rotate_62,angle_scan,0.937500,0
000000207306.png,rotate_351,angle_scan,0.968750,0
000000207306.png,rotate_230,angle_scan,0.906250,0
000000207306.png,flip_h,angle_scan,1.000000,1
000000207306.png,flip_v,angle_scan,1.000000,1
000000207306.png,rotate_45_crop_50,angle_scan,0.906250,0
000000210299.png,none,angle_scan,1.000000,1
000000210299.png,rotate_221,angle_scan,0.906250,0
000000210299.png,rotate_230,angle_scan,0.906250,0
000000210299.png,rotate_236,angle_scan,0.906250,0
000000210299.png,flip_h,angle_scan,1.000000,1
000000210299.png,flip_v,angle_scan,1.000000,1
000000210299.png,rotate_45_crop_50,angle_scan,0.906250,0
000000219440.png,none,angle_scan,1.000000,1
000000219440.png,rotate_28,angle_scan,1.000000,1
000000219440.png,rotate_35,angle_scan,0.906250,0
000000219440.png,rotate_12,angle_scan,0.937500,0
000000219440.png,flip_h,angle_scan,1.000000,1
000000219440.png,flip_v,angle_scan,1.000000,1
000000219440.png,rotate_45_crop_50,angle_scan,0.906250,0
000000230166.png,none,angle_scan,1.000000,1
000000230166.png,rotate_186,angle_scan,0.875000,0
000000230166.png,rotate_242,angle_scan,0.937500,0
000000230166.png,rotate_85,angle_scan,0.875000,0
000000230166.png,flip_h,angle_scan,1.000000,1
000000230166.png,flip_v,angle_scan,1.000000,1
000000230166.png,rotate_45_crop_50,angle_scan,0.937500,0
000000249180.png,none,angle_scan,1.000000,1
000000249180.png,rotate_169,angle_scan,0.937500,0
000000249180.png,rotate_44,angle_scan,1.000000,1
000000249180.png,rotate_61,angle_scan,1.000000,1
000000249180.png,flip_h,angle_scan,1.000000,1
000000249180.png,flip_v,angle_scan,1.000000,1
000000249180.png,rotate_45_crop_50,angle_scan,0.937500,0
000000260657.png,none,angle_scan,1.000000,1
000000260657.png,rotate_283,angle_scan,0.937500,0
000000260657.png,rotate_27,angle_scan,0.906250,0
000000260657.png,rotate_107,angle_scan,0.968750,0
000000260657.png,flip_h,angle_scan,1.000000,1
000000260657.png,flip_v,angle_scan,1.000000,1
000000260657.png,rotate_45_crop_50,angle_scan,0.937500,0
000000262938.png,none,angle_scan,1.000000,1
000000262938.png,rotate_330,angle_scan,1.000000,1
000000262938.png,rotate_127,angle_scan,0.875000,0
000000262938.png,rotate_347,angle_scan,0.937500,0
000000262938.png,flip_h,angle_scan,1.000000,1
000000262938.png,flip_v,angle_scan,1.000000,1
000000262938.png,rotate_45_crop_50,angle_scan,0.843750,0
000000263299.png,none,angle_scan,1.000000,1
000000263299.png,rotate_282,angle_scan,1.000000,1
000000263299.png,rotate_120,angle_scan,1.000000,1
000000263299.png,rotate_115,angle_scan,0.937500,0
000000263299.png,flip_h,angle_scan,1.000000,1
000000263299.png,flip_v,angle_scan,1.000000,1
000000263299.png,rotate_45_crop_50,angle_scan,0.937500,0
000000319617.png,none,angle_scan,1.000000,1
000000319617.png,rotate_136,angle_scan,0.937500,0
000000319617.png,rotate_317,angle_scan,0.937500,0
000000319617.png,rotate_164,angle_scan,1.000000,1
000000319617.png,flip_h,angle_scan,1.000000,1
000000319617.png,flip_v,angle_scan,1.000000,1
000000319617.png,rotate_45_crop_50,angle_scan,0.906250,0
000000322895.png,none,angle_scan,1.000000,1
000000322895.png,rotate_151,angle_scan,1.000000,1
000000322895.png,rotate_314,angle_scan,0.968750,0
000000322895.png,rotate_159,angle_scan,0.906250,0
000000322895.png,flip_h,angle_scan,1.000000,1
000000322895.png,flip_v,angle_scan,1.000000,1
000000322895.png,rotate_45_crop_50,angle_scan,0.937500,0
000000326128.png,none,angle_scan,1.000000,1
000000326128.png,rotate_51,angle_scan,0.968750,0
000000326128.png,rotate_267,angle_scan,0.875000,0
000000326128.png,rotate_294,angle_scan,0.937500,0
000000326128.png,flip_h,angle_scan,1.000000,1
000000326128.png,flip_v,angle_scan,1.000000,1
000000326128.png,rotate_45_crop_50,angle_scan,0.937500,0
000000341681.png,none,angle_scan,1.000000,1
000000341681.png,rotate_112,angle_scan,0.812500,0
000000341681.png,rotate_100,angle_scan,0.906250,0
000000341681.png,rotate_112,angle_scan,0.812500,0
000000341681.png,flip_h,angle_scan,1.000000,1
000000341681.png,flip_v,angle_scan,1.000000,1
000000341681.png,rotate_45_crop_50,angle_scan,0.937500,0
000000358427.png,none,angle_scan,1.000000,1
000000358427.png,rotate_112,angle_scan,0.875000,0
000000358427.png,rotate_1,angle_scan,1.000000,1
000000358427.png,rotate_129,angle_scan,0.906250,0
000000358427.png,flip_h,angle_scan,1.000000,1
000000358427.png,flip_v,angle_scan,1.000000,1
000000358427.png,rotate_45_crop_50,angle_scan,0.937500,0
000000360137.png,none,angle_scan,1.000000,1
000000360137.png,rotate_125,angle_scan,0.937500,0
