image,attack,bit_accuracy,message_success
000000005529.png,none,1.000000,1
000000005529.png,rotate_15,0.531250,0
000000005529.png,rotate_30,0.500000,0
000000005529.png,rotate_45,0.468750,0
000000005529.png,rotate_90,0.500000,0
000000005529.png,rotate_180,0.593750,0
000000005529.png,flip_h,0.656250,0
000000005529.png,flip_v,0.531250,0
000000005529.png,rotate_45_crop_50,0.500000,0
000000021167.png,none,1.000000,1
000000021167.png,rotate_15,0.625000,0
000000021167.png,rotate_30,0.500000,0
000000021167.png,rotate_45,0.437500,0
000000021167.png,rotate_90,0.500000,0
000000021167.png,rotate_180,0.593750,0
000000021167.png,flip_h,0.656250,0
000000021167.png,flip_v,0.468750,0
000000021167.png,rotate_45_crop_50,0.437500,0
000000022705.png,none,1.000000,1
000000022705.png,rotate_15,0.562500,0
000000022705.png,rotate_30,0.500000,0
000000022705.png,rotate_45,0.406250,0
000000022705.png,rotate_90,0.500000,0
000000022705.png,rotate_180,0.500000,0
000000022705.png,flip_h,0.593750,0
000000022705.png,flip_v,0.500000,0
000000022705.png,rotate_45_crop_50,0.437500,0
000000025228.png,none,1.000000,1
000000025228.png,rotate_15,0.500000,0
000000025228.png,rotate_30,0.500000,0
000000025228.png,rotate_45,0.500000,0
000000025228.png,rotate_90,0.500000,0
000000025228.png,rotate_180,0.562500,0
000000025228.png,flip_h,0.625000,0
000000025228.png,flip_v,0.468750,0
000000025228.png,rotate_45_crop_50,0.500000,0
000000027620.png,none,1.000000,1
000000027620.png,rotate_15,0.562500,0
000000027620.png,rotate_30,0.500000,0
000000027620.png,rotate_45,0.500000,0
000000027620.png,rotate_90,0.500000,0
000000027620.png,rotate_180,0.500000,0
000000027620.png,flip_h,0.625000,0
000000027620.png,flip_v,0.500000,0
000000027620.png,rotate_45_crop_50,0.437500,0
000000039405.png,none,1.000000,1
000000039405.png,rotate_15,0.625000,0
000000039405.png,rotate_30,0.500000,0
000000039405.png,rotate_45,0.500000,0
000000039405.png,rotate_90,0.468750,0
000000039405.png,rotate_180,0.500000,0
000000039405.png,flip_h,0.812500,0
000000039405.png,flip_v,0.500000,0
000000039405.png,rotate_45_crop_50,0.500000,0
000000075612.png,none,1.000000,1
000000075612.png,rotate_15,0.531250,0
000000075612.png,rotate_30,0.500000,0
000000075612.png,rotate_45,0.500000,0
000000075612.png,rotate_90,0.500000,0
000000075612.png,rotate_180,0.531250,0
000000075612.png,flip_h,0.593750,0
000000075612.png,flip_v,0.500000,0
000000075612.png,rotate_45_crop_50,0.500000,0
000000083531.png,none,1.000000,1
000000083531.png,rotate_15,0.500000,0
000000083531.png,rotate_30,0.500000,0
000000083531.png,rotate_45,0.468750,0
000000083531.png,rotate_90,0.500000,0
000000083531.png,rotate_180,0.562500,0
000000083531.png,flip_h,0.562500,0
000000083531.png,flip_v,0.562500,0
000000083531.png,rotate_45_crop_50,0.500000,0
000000088848.png,none,1.000000,1
000000088848.png,rotate_15,0.500000,0
000000088848.png,rotate_30,0.500000,0
000000088848.png,rotate_45,0.500000,0
000000088848.png,rotate_90,0.500000,0
000000088848.png,rotate_180,0.531250,0
000000088848.png,flip_h,0.593750,0
000000088848.png,flip_v,0.500000,0
000000088848.png,rotate_45_crop_50,0.468750,0
000000089648.png,none,1.000000,1
000000089648.png,rotate_15,0.531250,0
000000089648.png,rotate_30,0.437500,0
000000089648.png,rotate_45,0.500000,0
000000089648.png,rotate_90,0.500000,0
000000089648.png,rotate_180,0.531250,0
000000089648.png,flip_h,0.625000,0
000000089648.png,flip_v,0.468750,0
000000089648.png,rotate_45_crop_50,0.437500,0
000000092177.png,none,1.000000,1
000000092177.png,rotate_15,0.500000,0
000000092177.png,rotate_30,0.500000,0
000000092177.png,rotate_45,0.531250,0
000000092177.png,rotate_90,0.500000,0
000000092177.png,rotate_180,0.562500,0
000000092177.png,flip_h,0.656250,0
000000092177.png,flip_v,0.500000,0
000000092177.png,rotate_45_crop_50,0.500000,0
000000098392.png,none,1.000000,1
000000098392.png,rotate_15,0.562500,0
000000098392.png,rotate_30,0.500000,0
000000098392.png,rotate_45,0.375000,0
000000098392.png,rotate_90,0.500000,0
000000098392.png,rotate_180,0.593750,0
000000098392.png,flip_h,0.625000,0
000000098392.png,flip_v,0.500000,0
000000098392.png,rotate_45_crop_50,0.500000,0
000000098520.png,none,1.000000,1
000000098520.png,rotate_15,0.531250,0
000000098520.png,rotate_30,0.500000,0
000000098520.png,rotate_45,0.500000,0
000000098520.png,rotate_90,0.500000,0
000000098520.png,rotate_180,0.500000,0
000000098520.png,flip_h,0.625000,0
000000098520.png,flip_v,0.468750,0
000000098520.png,rotate_45_crop_50,0.500000,0
000000107554.png,none,1.000000,1
000000107554.png,rotate_15,0.562500,0
000000107554.png,rotate_30,0.500000,0
000000107554.png,rotate_45,0.468750,0
000000107554.png,rotate_90,0.500000,0
000000107554.png,rotate_180,0.500000,0
000000107554.png,flip_h,0.593750,0
000000107554.png,flip_v,0.468750,0
000000107554.png,rotate_45_crop_50,0.500000,0
000000121673.png,none,1.000000,1
000000121673.png,rotate_15,0.531250,0
000000121673.png,rotate_30,0.500000,0
000000121673.png,rotate_45,0.468750,0
000000121673.png,rotate_90,0.500000,0
000000121673.png,rotate_180,0.562500,0
000000121673.png,flip_h,0.625000,0
000000121673.png,flip_v,0.468750,0
000000121673.png,rotate_45_crop_50,0.437500,0
000000134322.png,none,0.968750,0
000000134322.png,rotate_15,0.531250,0
000000134322.png,rotate_30,0.500000,0
000000134322.png,rotate_45,0.437500,0
000000134322.png,rotate_90,0.500000,0
000000134322.png,rotate_180,0.562500,0
000000134322.png,flip_h,0.812500,0
000000134322.png,flip_v,0.500000,0
000000134322.png,rotate_45_crop_50,0.437500,0
000000150649.png,none,1.000000,1
000000150649.png,rotate_15,0.562500,0
000000150649.png,rotate_30,0.500000,0
000000150649.png,rotate_45,0.437500,0
000000150649.png,rotate_90,0.500000,0
000000150649.png,rotate_180,0.500000,0
000000150649.png,flip_h,0.625000,0
000000150649.png,flip_v,0.500000,0
000000150649.png,rotate_45_crop_50,0.437500,0
000000154000.png,none,1.000000,1
000000154000.png,rotate_15,0.531250,0
000000154000.png,rotate_30,0.500000,0
000000154000.png,rotate_45,0.500000,0
000000154000.png,rotate_90,0.500000,0
000000154000.png,rotate_180,0.531250,0
000000154000.png,flip_h,0.656250,0
000000154000.png,flip_v,0.531250,0
000000154000.png,rotate_45_crop_50,0.437500,0
000000186632.png,none,1.000000,1
000000186632.png,rotate_15,0.500000,0
000000186632.png,rotate_30,0.500000,0
000000186632.png,rotate_45,0.500000,0
000000186632.png,rotate_90,0.468750,0
000000186632.png,rotate_180,0.500000,0
000000186632.png,flip_h,0.656250,0
000000186632.png,flip_v,0.562500,0
000000186632.png,rotate_45_crop_50,0.500000,0
000000201775.png,none,1.000000,1
000000201775.png,rotate_15,0.531250,0
000000201775.png,rotate_30,0.500000,0
000000201775.png,rotate_45,0.500000,0
000000201775.png,rotate_90,0.468750,0
000000201775.png,rotate_180,0.625000,0
000000201775.png,flip_h,0.656250,0
000000201775.png,flip_v,0.500000,0
000000201775.png,rotate_45_crop_50,0.500000,0
000000205647.png,none,1.000000,1
000000205647.png,rotate_15,0.562500,0
000000205647.png,rotate_30,0.500000,0
000000205647.png,rotate_45,0.437500,0
000000205647.png,rotate_90,0.500000,0
000000205647.png,rotate_180,0.500000,0
000000205647.png,flip_h,0.593750,0
000000205647.png,flip_v,0.468750,0
000000205647.png,rotate_45_crop_50,0.500000,0
000000207306.png,none,1.000000,1
000000207306.png,rotate_15,0.562500,0
000000207306.png,rotate_30,0.500000,0
000000207306.png,rotate_45,0.500000,0
000000207306.png,rotate_90,0.500000,0
000000207306.png,rotate_180,0.562500,0
000000207306.png,flip_h,0.656250,0
000000207306.png,flip_v,0.562500,0
000000207306.png,rotate_45_crop_50,0.500000,0
000000210299.png,none,0.968750,0
000000210299.png,rotate_15,0.593750,0
000000210299.png,rotate_30,0.500000,0
000000210299.png,rotate_45,0.500000,0
000000210299.png,rotate_90,0.468750,0
000000210299.png,rotate_180,0.562500,0
000000210299.png,flip_h,0.593750,0
000000210299.png,flip_v,0.468750,0
000000210299.png,rotate_45_crop_50,0.437500,0
000000219440.png,none,1.000000,1
000000219440.png,rotate_15,0.562500,0
000000219440.png,rotate_30,0.500000,0
000000219440.png,rotate_45,0.500000,0
000000219440.png,rotate_90,0.500000,0
000000219440.png,rotate_180,0.562500,0
000000219440.png,flip_h,0.625000,0
000000219440.png,flip_v,0.500000,0
000000219440.png,rotate_45_crop_50,0.468750,0
000000230166.png,none,1.000000,1
000000230166.png,rotate_15,0.500000,0
000000230166.png,rotate_30,0.500000,0
000000230166.png,rotate_45,0.468750,0
000000230166.png,rotate_90,0.500000,0
000000230166.png,rotate_180,0.562500,0
000000230166.png,flip_h,0.593750,0
000000230166.png,flip_v,0.500000,0
000000230166.png,rotate_45_crop_50,0.500000,0
000000249180.png,none,1.000000,1
000000249180.png,rotate_15,0.562500,0
000000249180.png,rotate_30,0.500000,0
000000249180.png,rotate_45,0.500000,0
000000249180.png,rotate_90,0.500000,0
000000249180.png,rotate_180,0.531250,0
000000249180.png,flip_h,0.593750,0
000000249180.png,flip_v,0.531250,0
000000249180.png,rotate_45_crop_50,0.500000,0
000000260657.png,none,1.000000,1
000000260657.png,rotate_15,0.562500,0
000000260657.png,rotate_30,0.500000,0
000000260657.png,rotate_45,0.500000,0
000000260657.png,rotate_90,0.500000,0
000000260657.png,rotate_180,0.562500,0
000000260657.png,flip_h,0.656250,0
000000260657.png,flip_v,0.500000,0
000000260657.png,rotate_45_crop_50,0.500000,0
000000262938.png,none,1.000000,1
000000262938.png,rotate_15,0.531250,0
000000262938.png,rotate_30,0.500000,0
000000262938.png,rotate_45,0.500000,0
000000262938.png,rotate_90,0.468750,0
000000262938.png,rotate_180,0.500000,0
000000262938.png,flip_h,0.593750,0
000000262938.png,flip_v,0.500000,0
000000262938.png,rotate_45_crop_50,0.500000,0
000000263299.png,none,1.000000,1
000000263299.png,rotate_15,0.531250,0
000000263299.png,rotate_30,0.500000,0
000000263299.png,rotate_45,0.500000,0
000000263299.png,rotate_90,0.500000,0
000000263299.png,rotate_180,0.500000,0
000000263299.png,flip_h,0.562500,0
000000263299.png,flip_v,0.531250,0
000000263299.png,rotate_45_crop_50,0.500000,0
000000319617.png,none,1.000000,1
000000319617.png,rotate_15,0.531250,0
000000319617.png,rotate_30,0.500000,0
000000319617.png,rotate_45,0.468750,0
000000319617.png,rotate_90,0.500000,0
000000319617.png,rotate_180,0.562500,0
000000319617.png,flip_h,0.625000,0
000000319617.png,flip_v,0.531250,0
000000319617.png,rotate_45_crop_50,0.500000,0
000000322895.png,none,1.000000,1
000000322895.png,rotate_15,0.531250,0
000000322895.png,rotate_30,0.500000,0
000000322895.png,rotate_45,0.500000,0
000000322895.png,rotate_90,0.500000,0
000000322895.png,rotate_180,0.593750,0
000000322895.png,flip_h,0.656250,0
000000322895.png,flip_v,0.468750,0
000000322895.png,rotate_45_crop_50,0.500000,0
000000326128.png,none,1.000000,1
000000326128.png,rotate_15,0.500000,0
000000326128.png,rotate_30,0.500000,0
000000326128.png,rotate_45,0.468750,0
000000326128.png,rotate_90,0.468750,0
000000326128.png,rotate_180,0.531250,0
000000326128.png,flip_h,0.656250,0
000000326128.png,flip_v,0.562500,0
000000326128.png,rotate_45_crop_50,0.500000,0
000000341681.png,none,1.000000,1
000000341681.png,rotate_15,0.531250,0
000000341681.png,rotate_30,0.500000,0
000000341681.png,rotate_45,0.468750,0
000000341681.png,rotate_90,0.500000,0
000000341681.png,rotate_180,0.593750,0
000000341681.png,flip_h,0.625000,0
000000341681.png,flip_v,0.562500,0
000000341681.png,rotate_45_crop_50,0.437500,0
000000358427.png,none,1.000000,1
000000358427.png,rotate_15,0.562500,0
000000358427.png,rotate_30,0.500000,0
000000358427.png,rotate_45,0.500000,0
000000358427.png,rotate_90,0.468750,0
000000358427.png,rotate_180,0.562500,0
000000358427.png,flip_h,0.687500,0
000000358427.png,flip_v,0.500000,0
000000358427.png,rotate_45_crop_50,0.500000,0
000000360137.png,none,1.000000,1
000000360137.png,rotate_15,0.531250,0
000000360137.png,rotate_30,0.500000,0
000000360137.png,rotate_45,0.500000,0
000000360137.png,rotate_90,0.468750,0
000000360137.png,rotate_180,0.531250,0
000000360137.png,flip_h,0.781250,0
000000360137.png,flip_v,0.500000,0
000000360137.png,rotate_45_crop_50,0.437500,0
000000397681.png,none,1.000000,1
000000397681.png,rotate_15,0.500000,0
000000397681.png,rotate_30,0.500000,0
000000397681.png,rotate_45,0.500000,0
000000397681.png,rotate_90,0.531250,0
000000397681.png,rotate_180,0.500000,0
000000397681.png,flip_h,0.625000,0
000000397681.png,flip_v,0.500000,0
000000397681.png,rotate_45_crop_50,0.437500,0
000000400573.png,none,1.000000,1
000000400573.png,rotate_15,0.562500,0
000000400573.png,rotate_30,0.500000,0
000000400573.png,rotate_45,0.468750,0
000000400573.png,rotate_90,0.500000,0
000000400573.png,rotate_180,0.531250,0
000000400573.png,flip_h,0.593750,0
000000400573.png,flip_v,0.531250,0
000000400573.png,rotate_45_crop_50,0.500000,0
000000401250.png,none,1.000000,1
000000401250.png,rotate_15,0.531250,0
000000401250.png,rotate_30,0.500000,0
000000401250.png,rotate_45,0.468750,0
000000401250.png,rotate_90,0.500000,0
000000401250.png,rotate_180,0.593750,0
000000401250.png,flip_h,0.625000,0
000000401250.png,flip_v,0.500000,0
000000401250.png,rotate_45_crop_50,0.437500,0
000000426372.png,none,1.000000,1
000000426372.png,rotate_15,0.500000,0
000000426372.png,rotate_30,0.500000,0
000000426372.png,rotate_45,0.500000,0
000000426372.png,rotate_90,0.468750,0
000000426372.png,rotate_180,0.562500,0
000000426372.png,flip_h,0.656250,0
000000426372.png,flip_v,0.500000,0
000000426372.png,rotate_45_crop_50,0.500000,0
000000437351.png,none,1.000000,1
000000437351.png,rotate_15,0.562500,0
000000437351.png,rotate_30,0.500000,0
000000437351.png,rotate_45,0.500000,0
000000437351.png,rotate_90,0.500000,0
000000437351.png,rotate_180,0.500000,0
000000437351.png,flip_h,0.625000,0
000000437351.png,flip_v,0.468750,0
000000437351.png,rotate_45_crop_50,0.500000,0
000000477805.png,none,1.000000,1
000000477805.png,rotate_15,0.500000,0
000000477805.png,rotate_30,0.500000,0
000000477805.png,rotate_45,0.500000,0
000000477805.png,rotate_90,0.500000,0
000000477805.png,rotate_180,0.531250,0
000000477805.png,flip_h,0.906250,0
000000477805.png,flip_v,0.468750,0
000000477805.png,rotate_45_crop_50,0.468750,0
000000508730.png,none,1.000000,1
000000508730.png,rotate_15,0.562500,0
000000508730.png,rotate_30,0.500000,0
000000508730.png,rotate_45,0.500000,0
000000508730.png,rotate_90,0.500000,0
000000508730.png,rotate_180,0.562500,0
000000508730.png,flip_h,0.625000,0
000000508730.png,flip_v,0.531250,0
000000508730.png,rotate_45_crop_50,0.500000,0
000000517056.png,none,1.000000,1
000000517056.png,rotate_15,0.531250,0
000000517056.png,rotate_30,0.500000,0
000000517056.png,rotate_45,0.468750,0
000000517056.png,rotate_90,0.468750,0
000000517056.png,rotate_180,0.562500,0
000000517056.png,flip_h,0.687500,0
000000517056.png,flip_v,0.562500,0
000000517056.png,rotate_45_crop_50,0.500000,0
000000517687.png,none,1.000000,1
000000517687.png,rotate_15,0.531250,0
000000517687.png,rotate_30,0.468750,0
000000517687.png,rotate_45,0.437500,0
000000517687.png,rotate_90,0.468750,0
000000517687.png,rotate_180,0.562500,0
000000517687.png,flip_h,0.593750,0
000000517687.png,flip_v,0.500000,0
000000517687.png,rotate_45_crop_50,0.437500,0
000000523957.png,none,1.000000,1
000000523957.png,rotate_15,0.562500,0
000000523957.png,rotate_30,0.500000,0
000000523957.png,rotate_45,0.500000,0
000000523957.png,rotate_90,0.500000,0
000000523957.png,rotate_180,0.593750,0
000000523957.png,flip_h,0.656250,0
000000523957.png,flip_v,0.531250,0
000000523957.png,rotate_45_crop_50,0.406250,0
000000533145.png,none,1.000000,1
000000533145.png,rotate_15,0.500000,0
000000533145.png,rotate_30,0.500000,0
000000533145.png,rotate_45,0.500000,0
000000533145.png,rotate_90,0.500000,0
000000533145.png,rotate_180,0.625000,0
000000533145.png,flip_h,0.750000,0
000000533145.png,flip_v,0.531250,0
000000533145.png,rotate_45_crop_50,0.468750,0
000000562243.png,none,1.000000,1
000000562243.png,rotate_15,0.531250,0
000000562243.png,rotate_30,0.500000,0
000000562243.png,rotate_45,0.500000,0
000000562243.png,rotate_90,0.500000,0
