image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000005529.png,none,single_scale,1.000000,1,10.3899,10.3899,1.0
000000005529.png,none,multi_scale,1.000000,1,10.3899,10.3899,1.00
000000005529.png,center_crop_0.5,single_scale,0.500000,0,10.3899,6.9257,1.0
000000005529.png,center_crop_0.5,multi_scale,1.000000,1,10.3899,6.9257,0.50
000000005529.png,center_crop_0.75,single_scale,0.531250,0,10.3899,7.8876,1.0
000000005529.png,center_crop_0.75,multi_scale,1.000000,1,10.3899,7.8876,0.75
000000005529.png,random_crop_0.5,single_scale,0.593750,0,10.3899,8.6994,1.0
000000005529.png,random_crop_0.5,multi_scale,0.593750,0,10.3899,8.6994,1.00
000000005529.png,jpeg_q30,single_scale,1.000000,1,10.3899,12.9961,1.0
000000005529.png,jpeg_q30,multi_scale,1.000000,1,10.3899,12.9961,1.00
000000021167.png,none,single_scale,1.000000,1,10.6151,10.6151,1.0
000000021167.png,none,multi_scale,1.000000,1,10.6151,10.6151,1.00
000000021167.png,center_crop_0.5,single_scale,0.500000,0,10.6151,7.4021,1.0
000000021167.png,center_crop_0.5,multi_scale,1.000000,1,10.6151,7.4021,0.50
000000021167.png,center_crop_0.75,single_scale,0.531250,0,10.6151,8.5036,1.0
000000021167.png,center_crop_0.75,multi_scale,1.000000,1,10.6151,8.5036,0.75
000000021167.png,random_crop_0.5,single_scale,0.531250,0,10.6151,7.7566,1.0
000000021167.png,random_crop_0.5,multi_scale,0.593750,0,10.6151,7.7566,0.50
000000021167.png,jpeg_q30,single_scale,1.000000,1,10.6151,13.2009,1.0
000000021167.png,jpeg_q30,multi_scale,1.000000,1,10.6151,13.2009,1.00
000000022705.png,none,single_scale,1.000000,1,10.0887,10.0887,1.0
000000022705.png,none,multi_scale,1.000000,1,10.0887,10.0887,1.00
000000022705.png,center_crop_0.5,single_scale,0.500000,0,10.0887,7.0201,1.0
000000022705.png,center_crop_0.5,multi_scale,1.000000,1,10.0887,7.0201,0.50
000000022705.png,center_crop_0.75,single_scale,0.531250,0,10.0887,8.1954,1.0
000000022705.png,center_crop_0.75,multi_scale,1.000000,1,10.0887,8.1954,0.75
000000022705.png,random_crop_0.5,single_scale,0.562500,0,10.0887,7.0358,1.0
000000022705.png,random_crop_0.5,multi_scale,0.750000,0,10.0887,7.0358,0.50
000000022705.png,jpeg_q30,single_scale,1.000000,1,10.0887,12.9828,1.0
000000022705.png,jpeg_q30,multi_scale,1.000000,1,10.0887,12.9828,1.00
000000025228.png,none,single_scale,1.000000,1,10.1974,10.1974,1.0
000000025228.png,none,multi_scale,1.000000,1,10.1974,10.1974,1.00
000000025228.png,center_crop_0.5,single_scale,0.500000,0,10.1974,7.5830,1.0
000000025228.png,center_crop_0.5,multi_scale,1.000000,1,10.1974,7.5830,0.50
000000025228.png,center_crop_0.75,single_scale,0.500000,0,10.1974,8.6551,1.0
000000025228.png,center_crop_0.75,multi_scale,1.000000,1,10.1974,8.6551,0.75
000000025228.png,random_crop_0.5,single_scale,0.593750,0,10.1974,8.4500,1.0
000000025228.png,random_crop_0.5,multi_scale,0.593750,0,10.1974,8.4500,1.00
000000025228.png,jpeg_q30,single_scale,1.000000,1,10.1974,12.9065,1.0
000000025228.png,jpeg_q30,multi_scale,1.000000,1,10.1974,12.9065,1.00
000000027620.png,none,single_scale,1.000000,1,10.0226,10.0226,1.0
000000027620.png,none,multi_scale,1.000000,1,10.0226,10.0226,1.00
000000027620.png,center_crop_0.5,single_scale,0.500000,0,10.0226,6.7739,1.0
000000027620.png,center_crop_0.5,multi_scale,1.000000,1,10.0226,6.7739,0.50
000000027620.png,center_crop_0.75,single_scale,0.531250,0,10.0226,7.5891,1.0
000000027620.png,center_crop_0.75,multi_scale,1.000000,1,10.0226,7.5891,0.75
000000027620.png,random_crop_0.5,single_scale,0.531250,0,10.0226,7.3034,1.0
000000027620.png,random_crop_0.5,multi_scale,0.687500,0,10.0226,7.3034,0.50
000000027620.png,jpeg_q30,single_scale,1.000000,1,10.0226,13.0083,1.0
000000027620.png,jpeg_q30,multi_scale,1.000000,1,10.0226,13.0083,1.00
000000039405.png,none,single_scale,1.000000,1,10.8173,10.8173,1.0
000000039405.png,none,multi_scale,1.000000,1,10.8173,10.8173,1.00
000000039405.png,center_crop_0.5,single_scale,0.500000,0,10.8173,7.9610,1.0
000000039405.png,center_crop_0.5,multi_scale,1.000000,1,10.8173,7.9610,0.50
000000039405.png,center_crop_0.75,single_scale,0.531250,0,10.8173,9.0996,1.0
000000039405.png,center_crop_0.75,multi_scale,1.000000,1,10.8173,9.0996,0.75
000000039405.png,random_crop_0.5,single_scale,0.500000,0,10.8173,7.8058,1.0
000000039405.png,random_crop_0.5,multi_scale,0.500000,0,10.8173,7.8058,1.00
000000039405.png,jpeg_q30,single_scale,1.000000,1,10.8173,13.0954,1.0
000000039405.png,jpeg_q30,multi_scale,1.000000,1,10.8173,13.0954,1.00
000000075612.png,none,single_scale,1.000000,1,10.0977,10.0977,1.0
000000075612.png,none,multi_scale,1.000000,1,10.0977,10.0977,1.00
000000075612.png,center_crop_0.5,single_scale,0.500000,0,10.0977,6.9649,1.0
000000075612.png,center_crop_0.5,multi_scale,1.000000,1,10.0977,6.9649,0.50
000000075612.png,center_crop_0.75,single_scale,0.562500,0,10.0977,7.8792,1.0
000000075612.png,center_crop_0.75,multi_scale,1.000000,1,10.0977,7.8792,0.75
000000075612.png,random_crop_0.5,single_scale,0.468750,0,10.0977,7.0416,1.0
000000075612.png,random_crop_0.5,multi_scale,0.687500,0,10.0977,7.0416,0.50
000000075612.png,jpeg_q30,single_scale,1.000000,1,10.0977,12.9690,1.0
000000075612.png,jpeg_q30,multi_scale,1.000000,1,10.0977,12.9690,1.00
000000083531.png,none,single_scale,1.000000,1,10.0489,10.0489,1.0
000000083531.png,none,multi_scale,1.000000,1,10.0489,10.0489,1.00
000000083531.png,center_crop_0.5,single_scale,0.500000,0,10.0489,6.6866,1.0
000000083531.png,center_crop_0.5,multi_scale,1.000000,1,10.0489,6.6866,0.50
000000083531.png,center_crop_0.75,single_scale,0.531250,0,10.0489,7.7952,1.0
000000083531.png,center_crop_0.75,multi_scale,1.000000,1,10.0489,7.7952,0.75
000000083531.png,random_crop_0.5,single_scale,0.500000,0,10.0489,8.3430,1.0
000000083531.png,random_crop_0.5,multi_scale,0.843750,0,10.0489,8.3430,0.50
000000083531.png,jpeg_q30,single_scale,1.000000,1,10.0489,12.8817,1.0
000000083531.png,jpeg_q30,multi_scale,1.000000,1,10.0489,12.8817,1.00
000000088848.png,none,single_scale,1.000000,1,10.1326,10.1326,1.0
000000088848.png,none,multi_scale,1.000000,1,10.1326,10.1326,1.00
000000088848.png,center_crop_0.5,single_scale,0.500000,0,10.1326,6.2482,1.0
000000088848.png,center_crop_0.5,multi_scale,1.000000,1,10.1326,6.2482,0.50
000000088848.png,center_crop_0.75,single_scale,0.500000,0,10.1326,6.8604,1.0
000000088848.png,center_crop_0.75,multi_scale,1.000000,1,10.1326,6.8604,0.75
000000088848.png,random_crop_0.5,single_scale,0.562500,0,10.1326,7.6307,1.0
000000088848.png,random_crop_0.5,multi_scale,0.656250,0,10.1326,7.6307,0.50
000000088848.png,jpeg_q30,single_scale,1.000000,1,10.1326,12.9265,1.0
000000088848.png,jpeg_q30,multi_scale,1.000000,1,10.1326,12.9265,1.00
000000089648.png,none,single_scale,1.000000,1,10.2146,10.2146,1.0
000000089648.png,none,multi_scale,1.000000,1,10.2146,10.2146,1.00
000000089648.png,center_crop_0.5,single_scale,0.500000,0,10.2146,7.1466,1.0
000000089648.png,center_crop_0.5,multi_scale,1.000000,1,10.2146,7.1466,0.50
000000089648.png,center_crop_0.75,single_scale,0.531250,0,10.2146,7.8921,1.0
000000089648.png,center_crop_0.75,multi_scale,1.000000,1,10.2146,7.8921,0.75
000000089648.png,random_crop_0.5,single_scale,0.500000,0,10.2146,7.6561,1.0
000000089648.png,random_crop_0.5,multi_scale,0.750000,0,10.2146,7.6561,0.50
000000089648.png,jpeg_q30,single_scale,1.000000,1,10.2146,12.8960,1.0
000000089648.png,jpeg_q30,multi_scale,1.000000,1,10.2146,12.8960,1.00
000000092177.png,none,single_scale,1.000000,1,10.4022,10.4022,1.0
000000092177.png,none,multi_scale,1.000000,1,10.4022,10.4022,1.00
000000092177.png,center_crop_0.5,single_scale,0.500000,0,10.4022,5.8281,1.0
000000092177.png,center_crop_0.5,multi_scale,1.000000,1,10.4022,5.8281,0.50
000000092177.png,center_crop_0.75,single_scale,0.531250,0,10.4022,7.1549,1.0
000000092177.png,center_crop_0.75,multi_scale,1.000000,1,10.4022,7.1549,0.75
000000092177.png,random_crop_0.5,single_scale,0.437500,0,10.4022,6.3235,1.0
000000092177.png,random_crop_0.5,multi_scale,0.750000,0,10.4022,6.3235,0.50
000000092177.png,jpeg_q30,single_scale,1.000000,1,10.4022,12.9832,1.0
000000092177.png,jpeg_q30,multi_scale,1.000000,1,10.4022,12.9832,1.00
000000098392.png,none,single_scale,1.000000,1,10.3808,10.3808,1.0
000000098392.png,none,multi_scale,1.000000,1,10.3808,10.3808,1.00
000000098392.png,center_crop_0.5,single_scale,0.500000,0,10.3808,7.0581,1.0
000000098392.png,center_crop_0.5,multi_scale,1.000000,1,10.3808,7.0581,0.50
000000098392.png,center_crop_0.75,single_scale,0.531250,0,10.3808,7.8475,1.0
000000098392.png,center_crop_0.75,multi_scale,1.000000,1,10.3808,7.8475,0.75
000000098392.png,random_crop_0.5,single_scale,0.406250,0,10.3808,6.6704,1.0
000000098392.png,random_crop_0.5,multi_scale,0.750000,0,10.3808,6.6704,0.50
000000098392.png,jpeg_q30,single_scale,1.000000,1,10.3808,12.9899,1.0
000000098392.png,jpeg_q30,multi_scale,1.000000,1,10.3808,12.9899,1.00
000000098520.png,none,single_scale,1.000000,1,10.2634,10.2634,1.0
000000098520.png,none,multi_scale,1.000000,1,10.2634,10.2634,1.00
000000098520.png,center_crop_0.5,single_scale,0.500000,0,10.2634,7.7319,1.0
000000098520.png,center_crop_0.5,multi_scale,1.000000,1,10.2634,7.7319,0.50
000000098520.png,center_crop_0.75,single_scale,0.531250,0,10.2634,9.2153,1.0
000000098520.png,center_crop_0.75,multi_scale,1.000000,1,10.2634,9.2153,0.75
000000098520.png,random_crop_0.5,single_scale,0.500000,0,10.2634,8.0696,1.0
000000098520.png,random_crop_0.5,multi_scale,0.593750,0,10.2634,8.0696,0.50
000000098520.png,jpeg_q30,single_scale,1.000000,1,10.2634,12.9957,1.0
000000098520.png,jpeg_q30,multi_scale,1.000000,1,10.2634,12.9957,1.00
000000107554.png,none,single_scale,1.000000,1,10.1989,10.1989,1.0
000000107554.png,none,multi_scale,1.000000,1,10.1989,10.1989,1.00
000000107554.png,center_crop_0.5,single_scale,0.500000,0,10.1989,7.3615,1.0
000000107554.png,center_crop_0.5,multi_scale,1.000000,1,10.1989,7.3615,0.50
000000107554.png,center_crop_0.75,single_scale,0.500000,0,10.1989,8.1657,1.0
000000107554.png,center_crop_0.75,multi_scale,1.000000,1,10.1989,8.1657,0.75
000000107554.png,random_crop_0.5,single_scale,0.531250,0,10.1989,7.0688,1.0
000000107554.png,random_crop_0.5,multi_scale,0.656250,0,10.1989,7.0688,0.50
000000107554.png,jpeg_q30,single_scale,1.000000,1,10.1989,12.8921,1.0
000000107554.png,jpeg_q30,multi_scale,1.000000,1,10.1989,12.8921,1.00
