image,attack,method,preprocess,bit_accuracy,message_success
000000005529.png,none,preprocess_ms,none,1.000000,1
000000005529.png,random_crop_0.5,preprocess_ms,none,0.593750,0
000000005529.png,random_crop_0.5,preprocess_ms,best:none,0.593750,0
000000021167.png,none,preprocess_ms,none,1.000000,1
000000021167.png,random_crop_0.5,preprocess_ms,none,0.593750,0
000000021167.png,random_crop_0.5,preprocess_ms,best:denoise,0.656250,0
000000022705.png,none,preprocess_ms,none,1.000000,1
000000022705.png,random_crop_0.5,preprocess_ms,none,0.750000,0
000000022705.png,random_crop_0.5,preprocess_ms,best:denoise,0.781250,0
000000025228.png,none,preprocess_ms,none,1.000000,1
000000025228.png,random_crop_0.5,preprocess_ms,none,0.593750,0
000000025228.png,random_crop_0.5,preprocess_ms,best:sharpen_2x,0.656250,0
000000027620.png,none,preprocess_ms,none,1.000000,1
000000027620.png,random_crop_0.5,preprocess_ms,none,0.687500,0
000000027620.png,random_crop_0.5,preprocess_ms,best:none,0.687500,0
000000039405.png,none,preprocess_ms,none,1.000000,1
000000039405.png,random_crop_0.5,preprocess_ms,none,0.500000,0
000000039405.png,random_crop_0.5,preprocess_ms,best:none,0.500000,0
000000075612.png,none,preprocess_ms,none,1.000000,1
000000075612.png,random_crop_0.5,preprocess_ms,none,0.687500,0
000000075612.png,random_crop_0.5,preprocess_ms,best:none,0.687500,0
000000083531.png,none,preprocess_ms,none,1.000000,1
000000083531.png,random_crop_0.5,preprocess_ms,none,0.843750,0
000000083531.png,random_crop_0.5,preprocess_ms,best:none,0.843750,0
000000088848.png,none,preprocess_ms,none,1.000000,1
000000088848.png,random_crop_0.5,preprocess_ms,none,0.656250,0
000000088848.png,random_crop_0.5,preprocess_ms,best:none,0.656250,0
000000089648.png,none,preprocess_ms,none,1.000000,1
000000089648.png,random_crop_0.5,preprocess_ms,none,0.750000,0
000000089648.png,random_crop_0.5,preprocess_ms,best:none,0.750000,0
000000092177.png,none,preprocess_ms,none,1.000000,1
000000092177.png,random_crop_0.5,preprocess_ms,none,0.750000,0
000000092177.png,random_crop_0.5,preprocess_ms,best:none,0.750000,0
000000098392.png,none,preprocess_ms,none,1.000000,1
000000098392.png,random_crop_0.5,preprocess_ms,none,0.750000,0
000000098392.png,random_crop_0.5,preprocess_ms,best:sharpen_2x,0.781250,0
000000098520.png,none,preprocess_ms,none,1.000000,1
000000098520.png,random_crop_0.5,preprocess_ms,none,0.593750,0
000000098520.png,random_crop_0.5,preprocess_ms,best:none,0.593750,0
000000107554.png,none,preprocess_ms,none,1.000000,1
000000107554.png,random_crop_0.5,preprocess_ms,none,0.656250,0
000000107554.png,random_crop_0.5,preprocess_ms,best:detail,0.687500,0
000000121673.png,none,preprocess_ms,none,1.000000,1
000000121673.png,random_crop_0.5,preprocess_ms,none,0.812500,0
000000121673.png,random_crop_0.5,preprocess_ms,best:none,0.812500,0
000000134322.png,none,preprocess_ms,none,1.000000,1
000000134322.png,random_crop_0.5,preprocess_ms,none,0.812500,0
000000134322.png,random_crop_0.5,preprocess_ms,best:none,0.812500,0
000000150649.png,none,preprocess_ms,none,1.000000,1
000000150649.png,random_crop_0.5,preprocess_ms,none,0.750000,0
000000150649.png,random_crop_0.5,preprocess_ms,best:none,0.750000,0
000000154000.png,none,preprocess_ms,none,1.000000,1
000000154000.png,random_crop_0.5,preprocess_ms,none,0.500000,0
000000154000.png,random_crop_0.5,preprocess_ms,best:sharpen_2x,0.593750,0
000000186632.png,none,preprocess_ms,none,1.000000,1
000000186632.png,random_crop_0.5,preprocess_ms,none,0.937500,0
000000186632.png,random_crop_0.5,preprocess_ms,best:none,0.937500,0
000000201775.png,none,preprocess_ms,none,1.000000,1
000000201775.png,random_crop_0.5,preprocess_ms,none,0.500000,0
000000201775.png,random_crop_0.5,preprocess_ms,best:sharpen_2x,0.625000,0
000000205647.png,none,preprocess_ms,none,1.000000,1
000000205647.png,random_crop_0.5,preprocess_ms,none,0.718750,0
