image,model,bit_accuracy,message_success,infer_ms
000000005529.png,fp32,1.000000,1,9.8
000000005529.png,fp16,1.000000,1,11.1
000000021167.png,fp32,1.000000,1,11.1
000000021167.png,fp16,1.000000,1,10.1
000000022705.png,fp32,1.000000,1,11.5
000000022705.png,fp16,1.000000,1,10.1
000000025228.png,fp32,1.000000,1,10.2
000000025228.png,fp16,1.000000,1,11.2
000000027620.png,fp32,1.000000,1,9.9
000000027620.png,fp16,1.000000,1,10.1
000000039405.png,fp32,1.000000,1,16.1
000000039405.png,fp16,1.000000,1,14.4
000000075612.png,fp32,1.000000,1,11.4
000000075612.png,fp16,1.000000,1,12.7
000000083531.png,fp32,1.000000,1,15.5
000000083531.png,fp16,1.000000,1,17.6
000000088848.png,fp32,1.000000,1,10.6
000000088848.png,fp16,1.000000,1,10.0
000000089648.png,fp32,1.000000,1,9.8
000000089648.png,fp16,1.000000,1,10.8
000000092177.png,fp32,1.000000,1,12.6
000000092177.png,fp16,1.000000,1,9.9
000000098392.png,fp32,1.000000,1,10.6
000000098392.png,fp16,1.000000,1,12.2
000000098520.png,fp32,1.000000,1,11.0
000000098520.png,fp16,1.000000,1,11.6
000000107554.png,fp32,1.000000,1,10.0
000000107554.png,fp16,1.000000,1,10.1
000000121673.png,fp32,1.000000,1,10.0
000000121673.png,fp16,1.000000,1,10.6
000000134322.png,fp32,0.968750,0,10.3
000000134322.png,fp16,0.968750,0,10.2
000000150649.png,fp32,1.000000,1,9.8
000000150649.png,fp16,1.000000,1,10.7
000000154000.png,fp32,1.000000,1,11.6
000000154000.png,fp16,1.000000,1,11.2
000000186632.png,fp32,1.000000,1,11.3
000000186632.png,fp16,1.000000,1,11.6
000000201775.png,fp32,1.000000,1,10.0
000000201775.png,fp16,1.000000,1,11.4
000000205647.png,fp32,1.000000,1,10.5
000000205647.png,fp16,1.000000,1,10.6
000000207306.png,fp32,1.000000,1,10.2
000000207306.png,fp16,1.000000,1,11.0
000000210299.png,fp32,0.968750,0,11.6
000000210299.png,fp16,0.968750,0,10.7
000000219440.png,fp32,1.000000,1,10.4
000000219440.png,fp16,1.000000,1,10.7
000000230166.png,fp32,1.000000,1,11.1
000000230166.png,fp16,1.000000,1,10.9
000000249180.png,fp32,1.000000,1,10.6
000000249180.png,fp16,1.000000,1,10.1
000000260657.png,fp32,1.000000,1,10.7
000000260657.png,fp16,1.000000,1,10.4
000000262938.png,fp32,1.000000,1,10.9
000000262938.png,fp16,1.000000,1,10.0
000000263299.png,fp32,1.000000,1,9.8
000000263299.png,fp16,1.000000,1,10.0
000000319617.png,fp32,1.000000,1,10.0
000000319617.png,fp16,1.000000,1,10.0
000000322895.png,fp32,1.000000,1,9.8
000000322895.png,fp16,1.000000,1,10.0
000000326128.png,fp32,1.000000,1,9.8
000000326128.png,fp16,1.000000,1,10.2
000000341681.png,fp32,1.000000,1,10.6
000000341681.png,fp16,1.000000,1,10.0
000000358427.png,fp32,1.000000,1,10.8
000000358427.png,fp16,1.000000,1,11.9
000000360137.png,fp32,1.000000,1,11.4
000000360137.png,fp16,1.000000,1,10.4
000000397681.png,fp32,1.000000,1,9.9
000000397681.png,fp16,1.000000,1,10.7
000000400573.png,fp32,1.000000,1,10.3
000000400573.png,fp16,1.000000,1,11.3
000000401250.png,fp32,1.000000,1,11.5
000000401250.png,fp16,1.000000,1,11.1
000000426372.png,fp32,1.000000,1,11.5
000000426372.png,fp16,1.000000,1,12.6
000000437351.png,fp32,1.000000,1,14.0
000000437351.png,fp16,1.000000,1,10.2
000000477805.png,fp32,1.000000,1,9.9
000000477805.png,fp16,1.000000,1,11.3
000000508730.png,fp32,1.000000,1,11.0
000000508730.png,fp16,1.000000,1,10.6
000000517056.png,fp32,1.000000,1,10.4
000000517056.png,fp16,1.000000,1,11.7
000000517687.png,fp32,1.000000,1,10.1
000000517687.png,fp16,1.000000,1,11.7
000000523957.png,fp32,1.000000,1,9.9
000000523957.png,fp16,1.000000,1,10.0
000000533145.png,fp32,1.000000,1,10.1
000000533145.png,fp16,1.000000,1,11.1
000000562243.png,fp32,1.000000,1,11.5
000000562243.png,fp16,1.000000,1,10.6
000000563470.png,fp32,1.000000,1,9.9
000000563470.png,fp16,1.000000,1,10.1
000000573258.png,fp32,1.000000,1,10.4
000000573258.png,fp16,1.000000,1,10.2
000000575243.png,fp32,1.000000,1,10.0
000000575243.png,fp16,1.000000,1,10.1
